source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Jaylen Brown,PR,2026-05-02 22:30:29,41.1,1.0,0.64973864613679,0.35026135386321,5,1,19,side=over; rating=5; diff=9.6; line=37.5; L10=2o/8u/10g; streak=4u; opp_rank=19
bettingpros,NBA,Jaylen Brown,PA,2026-05-02 22:30:29,38.9,0.2,None,None,None,None,17,side=over; rating=0; diff=8.4; line=35.5; L10=2o/8u/10g; streak=4u; opp_rank=17
bettingpros,NBA,Sam Hauser,PRA,2026-05-02 22:30:29,17.1,0.2,None,None,None,None,19,side=over; rating=0; diff=6.6; line=13.5; L10=2o/8u/10g; streak=5u; opp_rank=19
bettingpros,NBA,Paul George,PTS,2026-05-02 22:30:29,19.6,0.2,None,None,None,None,1,side=over; rating=0; diff=4.1; line=15.5; L10=8o/2u/10g; streak=7o; opp_rank=1
bettingpros,NBA,Paul George,PR,2026-05-02 22:30:29,25.4,0.2,None,None,None,None,1,side=over; rating=0; diff=3.9; line=21.5; L10=4o/6u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Jaylen Brown,PRA,2026-05-02 22:30:29,47.1,0.2,None,None,None,None,19,side=over; rating=0; diff=3.6; line=43.5; L10=2o/8u/10g; streak=4u; opp_rank=19
bettingpros,NBA,Sam Hauser,PA,2026-05-02 22:30:29,12.5,0.2,None,None,None,None,17,side=over; rating=0; diff=3; line=9.5; L10=2o/8u/10g; streak=5u; opp_rank=17
bettingpros,NBA,Sam Hauser,PR,2026-05-02 22:30:29,15.4,0.2,None,None,None,None,19,side=over; rating=0; diff=2.9; line=12.5; L10=3o/7u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Jaylen Brown,RA,2026-05-02 22:30:29,14.2,0.2,None,None,None,None,22,side=over; rating=0; diff=2.7; line=12.5; L10=0o/10u/10g; streak=11u; opp_rank=22
bettingpros,NBA,Tyrese Maxey,PA,2026-05-02 22:30:29,33.1,0.2,None,None,None,None,1,side=over; rating=0; diff=2.6; line=30.5; L10=5o/5u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Neemias Queta,PR,2026-05-02 22:30:29,20.1,0.2,None,None,None,None,19,side=over; rating=0; diff=2.6; line=17.5; L10=3o/7u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Tyrese Maxey,PRA,2026-05-02 22:30:29,37.1,0.2,None,None,None,None,1,side=over; rating=0; diff=2.6; line=34.5; L10=6o/4u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Jaylen Brown,PTS,2026-05-02 22:30:29,32.9,0.2,None,None,None,None,16,side=over; rating=0; diff=2.4; line=30.5; L10=2o/8u/10g; streak=4u; opp_rank=16
bettingpros,NBA,Tyrese Maxey,PTS,2026-05-02 22:30:29,26.9,0.2,None,None,None,None,1,side=over; rating=0; diff=2.4; line=24.5; L10=6o/4u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Tyrese Maxey,PR,2026-05-02 22:30:29,30.9,0.2,None,None,None,None,1,side=over; rating=0; diff=2.4; line=28.5; L10=6o/4u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Baylor Scheierman,PRA,2026-05-02 22:30:29,9.2,0.2,None,None,None,None,19,side=under; rating=0; diff=-2.3; line=11.5; L10=3o/7u/10g; streak=6u; opp_rank=19
bettingpros,NBA,Payton Pritchard,PRA,2026-05-02 22:30:29,29.7,0.2,None,None,None,None,19,side=over; rating=0; diff=2.2; line=27.5; L10=3o/7u/10g; streak=2u; opp_rank=19
bettingpros,NBA,Quentin Grimes,RA,2026-05-02 22:30:29,5.5,0.2,None,None,None,None,5,side=over; rating=0; diff=2; line=3.5; L10=8o/2u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Luka Garza,PTS,2026-05-02 22:30:29,6,0.2,None,None,None,None,16,side=over; rating=0; diff=1.5; line=4; L10=6o/3u/10g; streak=2o; opp_rank=16
bettingpros,NBA,Paul George,RA,2026-05-02 22:30:29,9.8,0.2,None,None,None,None,5,side=over; rating=0; diff=1.3; line=8.5; L10=2o/8u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Jordan Walsh,PRA,2026-05-02 22:30:29,9.2,0.2,None,None,None,None,19,side=under; rating=0; diff=-1.3; line=10.5; L10=3o/7u/10g; streak=1o; opp_rank=19
bettingpros,NBA,Payton Pritchard,PR,2026-05-02 22:30:29,23.7,0.2,None,None,None,None,19,side=over; rating=0; diff=1.2; line=22.5; L10=3o/7u/10g; streak=2u; opp_rank=19
bettingpros,NBA,Baylor Scheierman,RA,2026-05-02 22:30:29,4.4,0.2,None,None,None,None,22,side=under; rating=0; diff=-1.1; line=5.5; L10=1o/9u/10g; streak=6u; opp_rank=22
bettingpros,NBA,Neemias Queta,BLK,2026-05-02 22:30:29,1.5,0.2,None,None,None,None,20,side=over; rating=0; diff=1; line=1; L10=3o/3u/10g; streak=1o; opp_rank=20
bettingpros,NBA,Quentin Grimes,FG3M,2026-05-02 22:30:29,1.5,0.2,None,None,None,None,22,side=over; rating=0; diff=1; line=0.5; L10=6o/4u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Nikola Vucevic,AST,2026-05-02 22:30:29,2.4,0.2,None,None,None,None,19,side=over; rating=0; diff=0.9; line=1.5; L10=7o/3u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Tyrese Maxey,FG3M,2026-05-02 22:30:29,3.4,0.2,None,None,None,None,22,side=over; rating=0; diff=0.9; line=2.5; L10=7o/3u/10g; streak=5o; opp_rank=22
bettingpros,NBA,Joel Embiid,PTS,2026-05-02 22:30:29,27.3,0.2,None,None,None,None,1,side=over; rating=0; diff=0.8; line=26.5; L10=5o/5u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Jordan Walsh,REB,2026-05-02 22:30:29,3.7,0.2,None,None,None,None,22,side=under; rating=0; diff=-0.8; line=4.5; L10=3o/7u/10g; streak=1o; opp_rank=22
bettingpros,NBA,Jaylen Brown,FG3M,2026-05-02 22:30:29,2.3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.8; line=1.5; L10=7o/3u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Sam Hauser,RA,2026-05-02 22:30:29,6.3,0.2,None,None,None,None,22,side=over; rating=0; diff=0.8; line=5.5; L10=3o/7u/10g; streak=5u; opp_rank=22
bettingpros,NBA,Jordan Walsh,PTS,2026-05-02 22:30:29,4.8,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.7; line=5.5; L10=3o/7u/10g; streak=6u; opp_rank=16
bettingpros,NBA,Jaylen Brown,REB,2026-05-02 22:30:29,8.2,0.2,None,None,None,None,22,side=over; rating=0; diff=0.7; line=7.5; L10=1o/9u/10g; streak=7u; opp_rank=22
bettingpros,NBA,Luka Garza,REB,2026-05-02 22:30:29,3.2,0.2,None,None,None,None,22,side=over; rating=0; diff=0.7; line=2.5; L10=5o/5u/10g; streak=2u; opp_rank=22
bettingpros,NBA,Neemias Queta,REB,2026-05-02 22:30:29,9.2,0.2,None,None,None,None,22,side=over; rating=0; diff=0.7; line=8.5; L10=4o/6u/10g; streak=2o; opp_rank=22
bettingpros,NBA,VJ Edgecombe,FG3M,2026-05-02 22:30:29,2.2,0.2,None,None,None,None,22,side=over; rating=0; diff=0.7; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Tyrese Maxey,RA,2026-05-02 22:30:29,10.2,0.2,None,None,None,None,5,side=over; rating=0; diff=0.7; line=9.5; L10=4o/6u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Payton Pritchard,PTS,2026-05-02 22:30:29,19.1,0.2,None,None,None,None,16,side=over; rating=0; diff=0.6; line=17.5; L10=3o/7u/10g; streak=2u; opp_rank=16
bettingpros,NBA,Kelly Oubre Jr.,STL,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,1,side=over; rating=0; diff=0.6; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Derrick White,STL,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,2,side=over; rating=0; diff=0.6; line=0.5; L10=8o/2u/10g; streak=1o; opp_rank=2
bettingpros,NBA,VJ Edgecombe,STL,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,1,side=over; rating=0; diff=0.6; line=0.5; L10=9o/1u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Nikola Vucevic,FG3M,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,18,side=over; rating=0; diff=0.6; line=0.5; L10=6o/4u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Payton Pritchard,FG3M,2026-05-02 22:30:29,3.1,0.2,None,None,None,None,18,side=over; rating=0; diff=0.6; line=2.5; L10=5o/5u/10g; streak=2u; opp_rank=18
bettingpros,NBA,Payton Pritchard,PA,2026-05-02 22:30:29,25.1,0.2,None,None,None,None,17,side=over; rating=0; diff=0.6; line=23.5; L10=3o/7u/10g; streak=2u; opp_rank=17
bettingpros,NBA,Paul George,AST,2026-05-02 22:30:29,4,0.2,None,None,None,None,4,side=over; rating=0; diff=0.5; line=3.5; L10=3o/7u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Jaylen Brown,AST,2026-05-02 22:30:29,6,0.2,None,None,None,None,19,side=over; rating=0; diff=0.5; line=5.5; L10=0o/10u/10g; streak=10u; opp_rank=19
bettingpros,NBA,Payton Pritchard,AST,2026-05-02 22:30:29,6,0.2,None,None,None,None,19,side=over; rating=0; diff=0.5; line=5.5; L10=4o/6u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Derrick White,REB,2026-05-02 22:30:29,5,0.2,None,None,None,None,22,side=over; rating=0; diff=0.5; line=4.5; L10=2o/8u/10g; streak=2u; opp_rank=22
bettingpros,NBA,Tyrese Maxey,REB,2026-05-02 22:30:29,4,0.2,None,None,None,None,6,side=over; rating=0; diff=0.5; line=3.5; L10=4o/6u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Derrick White,FG3M,2026-05-02 22:30:29,3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.5; line=2.5; L10=3o/7u/10g; streak=1o; opp_rank=18
