source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Tyrese Maxey,PA,2026-05-04 22:30:22,34.9,1.0,0.64472211106125,0.35527788893875,5,1,5,side=over; rating=5; diff=4.4; line=31.5; L10=5o/5u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Tyrese Maxey,PR,2026-05-04 22:30:22,32.4,0.2,None,None,None,None,4,side=over; rating=0; diff=3.9; line=28.5; L10=6o/4u/10g; streak=3o; opp_rank=4
bettingpros,NBA,Kelly Oubre Jr.,PR,2026-05-04 22:30:22,19.2,0.2,None,None,None,None,4,side=over; rating=0; diff=3.7; line=15.5; L10=7o/3u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Julius Randle,PRA,2026-05-04 22:30:22,33.2,0.2,None,None,None,None,8,side=over; rating=0; diff=3.7; line=29.5; L10=5o/5u/10g; streak=1u; opp_rank=8
bettingpros,NBA,De'Aaron Fox,PR,2026-05-04 22:30:22,24.9,0.2,None,None,None,None,13,side=over; rating=0; diff=3.4; line=21.5; L10=6o/4u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Tyrese Maxey,PRA,2026-05-04 22:30:22,38.9,0.2,None,None,None,None,4,side=over; rating=0; diff=3.4; line=35.5; L10=6o/4u/10g; streak=3o; opp_rank=4
bettingpros,NBA,Julian Champagnie,PA,2026-05-04 22:30:22,12.5,0.2,None,None,None,None,12,side=over; rating=0; diff=3; line=9.5; L10=4o/6u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Terrence Shannon Jr.,PR,2026-05-04 22:30:22,6.5,0.2,None,None,None,None,7,side=under; rating=0; diff=-3; line=9.5; L10=6o/4u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Miles McBride,PTS,2026-05-04 22:30:22,10.4,0.2,None,None,None,None,15,side=over; rating=0; diff=2.9; line=7; L10=3o/7u/10g; streak=2u; opp_rank=15
bettingpros,NBA,Jordan Clarkson,PR,2026-05-04 22:30:22,10.4,0.2,None,None,None,None,19,side=over; rating=0; diff=2.9; line=7.5; L10=6o/4u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Keldon Johnson,PA,2026-05-04 22:30:22,12.3,0.2,None,None,None,None,12,side=over; rating=0; diff=2.8; line=9.5; L10=6o/4u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Keldon Johnson,PTS,2026-05-04 22:30:22,11.2,0.2,None,None,None,None,13,side=over; rating=0; diff=2.7; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Josh Hart,PRA,2026-05-04 22:30:22,27.2,0.2,None,None,None,None,19,side=over; rating=0; diff=2.7; line=25.5; L10=3o/7u/10g; streak=4u; opp_rank=19
bettingpros,NBA,Julian Champagnie,PTS,2026-05-04 22:30:22,11,0.2,None,None,None,None,13,side=over; rating=0; diff=2.5; line=8.5; L10=5o/5u/10g; streak=1o; opp_rank=13
bettingpros,NBA,De'Aaron Fox,PA,2026-05-04 22:30:22,27.5,0.2,None,None,None,None,12,side=over; rating=0; diff=2.5; line=23.5; L10=7o/3u/10g; streak=3o; opp_rank=12
bettingpros,NBA,Devin Vassell,PRA,2026-05-04 22:30:22,22,0.2,None,None,None,None,13,side=over; rating=0; diff=2.5; line=19.5; L10=7o/3u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Joel Embiid,PTS,2026-05-04 22:30:22,28.8,0.2,None,None,None,None,5,side=over; rating=0; diff=2.3; line=26.5; L10=5o/5u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Miles McBride,RA,2026-05-04 22:30:22,4.8,0.2,None,None,None,None,22,side=over; rating=0; diff=2.3; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Victor Wembanyama,PRA,2026-05-04 22:30:22,44.8,0.2,None,None,None,None,13,side=over; rating=0; diff=2.3; line=42.5; L10=5o/5u/10g; streak=4u; opp_rank=13
bettingpros,NBA,Devin Vassell,PA,2026-05-04 22:30:22,17.7,0.2,None,None,None,None,12,side=over; rating=0; diff=2.2; line=15.5; L10=4o/6u/10g; streak=3u; opp_rank=12
bettingpros,NBA,Terrence Shannon Jr.,PA,2026-05-04 22:30:22,6.3,0.2,None,None,None,None,8,side=under; rating=0; diff=-2.2; line=8.5; L10=6o/4u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Andre Drummond,PRA,2026-05-04 22:30:22,7.7,0.2,None,None,None,None,4,side=over; rating=0; diff=2.2; line=5.5; L10=8o/2u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Karl-Anthony Towns,PR,2026-05-04 22:30:22,33.6,0.2,None,None,None,None,19,side=over; rating=0; diff=2.1; line=31.5; L10=4o/6u/10g; streak=3u; opp_rank=19
bettingpros,NBA,Joel Embiid,PR,2026-05-04 22:30:22,37.4,0.2,None,None,None,None,4,side=over; rating=0; diff=1.9; line=35.5; L10=6o/4u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Julius Randle,PA,2026-05-04 22:30:22,26.3,0.2,None,None,None,None,8,side=over; rating=0; diff=1.8; line=22.5; L10=7o/3u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Devin Vassell,PR,2026-05-04 22:30:22,19.3,0.2,None,None,None,None,13,side=over; rating=0; diff=1.8; line=17.5; L10=6o/4u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Victor Wembanyama,PR,2026-05-04 22:30:22,41.3,0.2,None,None,None,None,13,side=over; rating=0; diff=1.8; line=39.5; L10=5o/5u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Julius Randle,PTS,2026-05-04 22:30:22,21.2,0.2,None,None,None,None,6,side=over; rating=0; diff=1.7; line=18.5; L10=6o/4u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Josh Hart,PTS,2026-05-04 22:30:22,13.2,0.2,None,None,None,None,15,side=over; rating=0; diff=1.7; line=11.5; L10=3o/7u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Jose Alvarado,PTS,2026-05-04 22:30:22,4.1,0.2,None,None,None,None,15,side=over; rating=0; diff=1.6; line=2.5; L10=8o/2u/10g; streak=4o; opp_rank=15
bettingpros,NBA,Andre Drummond,PR,2026-05-04 22:30:22,7.1,0.2,None,None,None,None,4,side=over; rating=0; diff=1.6; line=5.5; L10=8o/2u/10g; streak=1u; opp_rank=4
