source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Victor Wembanyama,PR,2026-05-10 22:45:48,43.9,1.0,0.69497538235393,0.30502461764607003,5,1,14,side=over; rating=5; diff=4.4; line=39.5; L10=4o/6u/10g; streak=1o; opp_rank=14
bettingpros,NBA,De'Aaron Fox,PA,2026-05-10 22:45:48,26.7,0.2,None,None,None,None,12,side=over; rating=0; diff=4.2; line=22.5; L10=6o/4u/10g; streak=3u; opp_rank=12
bettingpros,NBA,Anthony Edwards,PA,2026-05-10 22:45:48,34.7,0.2,None,None,None,None,7,side=over; rating=0; diff=4.2; line=30.5; L10=2o/8u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Devin Vassell,PR,2026-05-10 22:45:48,20.5,0.2,None,None,None,None,14,side=over; rating=0; diff=4; line=16.5; L10=7o/3u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Devin Vassell,PRA,2026-05-10 22:45:48,23.3,0.2,None,None,None,None,13,side=over; rating=0; diff=3.8; line=19.5; L10=7o/3u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Stephon Castle,PRA,2026-05-10 22:45:48,33.1,0.2,None,None,None,None,13,side=over; rating=0; diff=3.6; line=29.5; L10=5o/5u/10g; streak=5u; opp_rank=13
bettingpros,NBA,Anthony Edwards,PR,2026-05-10 22:45:48,36,0.2,None,None,None,None,7,side=over; rating=0; diff=3.5; line=32.5; L10=2o/8u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Devin Vassell,PA,2026-05-10 22:45:48,18.7,0.2,None,None,None,None,12,side=over; rating=0; diff=3.2; line=15.5; L10=5o/5u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Anthony Edwards,PRA,2026-05-10 22:45:48,40.3,0.2,None,None,None,None,7,side=over; rating=0; diff=2.8; line=36.5; L10=3o/7u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Julian Champagnie,PA,2026-05-10 22:45:48,13.1,0.2,None,None,None,None,12,side=over; rating=0; diff=2.6; line=10.5; L10=4o/6u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Stephon Castle,PA,2026-05-10 22:45:48,27.1,0.2,None,None,None,None,12,side=over; rating=0; diff=2.6; line=23.5; L10=6o/4u/10g; streak=2o; opp_rank=12
bettingpros,NBA,Stephon Castle,PR,2026-05-10 22:45:48,25.1,0.2,None,None,None,None,14,side=over; rating=0; diff=2.6; line=21.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Terrence Shannon Jr.,PR,2026-05-10 22:45:48,14,0.2,None,None,None,None,7,side=over; rating=0; diff=2.5; line=11.5; L10=7o/3u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Stephon Castle,RA,2026-05-10 22:45:48,14,0.2,None,None,None,None,14,side=over; rating=0; diff=2.5; line=11.5; L10=5o/5u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Keldon Johnson,PRA,2026-05-10 22:45:48,16,0.2,None,None,None,None,13,side=over; rating=0; diff=2.5; line=13.5; L10=5o/5u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Naz Reid,PA,2026-05-10 22:45:48,16.9,0.2,None,None,None,None,7,side=over; rating=0; diff=2.4; line=14.5; L10=4o/6u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Keldon Johnson,PR,2026-05-10 22:45:48,14.9,0.2,None,None,None,None,14,side=over; rating=0; diff=2.4; line=12.5; L10=5o/5u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Dylan Harper,PR,2026-05-10 22:45:48,15.9,0.2,None,None,None,None,14,side=over; rating=0; diff=2.4; line=13.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,De'Aaron Fox,RA,2026-05-10 22:45:48,10.7,0.2,None,None,None,None,14,side=over; rating=0; diff=2.2; line=8.5; L10=7o/3u/10g; streak=2u; opp_rank=14
bettingpros,NBA,Naz Reid,PRA,2026-05-10 22:45:48,23.7,0.2,None,None,None,None,7,side=over; rating=0; diff=2.2; line=20.5; L10=7o/3u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Naz Reid,PTS,2026-05-10 22:45:48,14.5,0.2,None,None,None,None,6,side=over; rating=0; diff=2; line=12.5; L10=4o/6u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Dylan Harper,PTS,2026-05-10 22:45:48,12.4,0.2,None,None,None,None,13,side=over; rating=0; diff=1.9; line=10.5; L10=5o/5u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Rudy Gobert,PRA,2026-05-10 22:45:48,22.4,0.2,None,None,None,None,7,side=over; rating=0; diff=1.9; line=20.5; L10=5o/5u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Julius Randle,RA,2026-05-10 22:45:48,12.2,0.2,None,None,None,None,9,side=over; rating=0; diff=1.7; line=10.5; L10=4o/6u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Stephon Castle,AST,2026-05-10 22:45:48,8,0.2,None,None,None,None,10,side=over; rating=0; diff=1.5; line=6.5; L10=5o/5u/10g; streak=1o; opp_rank=10
bettingpros,NBA,Dylan Harper,PA,2026-05-10 22:45:48,16.4,0.2,None,None,None,None,12,side=over; rating=0; diff=1.4; line=13.5; L10=5o/5u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Victor Wembanyama,REB,2026-05-10 22:45:48,13.8,0.2,None,None,None,None,15,side=over; rating=0; diff=1.3; line=12.5; L10=6o/4u/10g; streak=4o; opp_rank=15
bettingpros,NBA,Naz Reid,PR,2026-05-10 22:45:48,21.3,0.2,None,None,None,None,7,side=over; rating=0; diff=1.3; line=18.5; L10=7o/3u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Luke Kornet,PTS,2026-05-10 22:45:48,3.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=2.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Keldon Johnson,PA,2026-05-10 22:45:48,11.7,0.2,None,None,None,None,12,side=over; rating=0; diff=1.2; line=10.5; L10=4o/6u/10g; streak=1o; opp_rank=12
bettingpros,NBA,De'Aaron Fox,AST,2026-05-10 22:45:48,6.6,0.2,None,None,None,None,10,side=over; rating=0; diff=1.1; line=5.5; L10=6o/4u/10g; streak=2u; opp_rank=10
bettingpros,NBA,Keldon Johnson,PTS,2026-05-10 22:45:48,10.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=8.5; L10=6o/4u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Rudy Gobert,PA,2026-05-10 22:45:48,11.6,0.2,None,None,None,None,7,side=over; rating=0; diff=1.1; line=10.5; L10=4o/6u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Julian Champagnie,RA,2026-05-10 22:45:48,7.6,0.2,None,None,None,None,14,side=over; rating=0; diff=1.1; line=6.5; L10=6o/4u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Jaden McDaniels,PTS,2026-05-10 22:45:48,16.5,0.2,None,None,None,None,6,side=over; rating=0; diff=1; line=15.5; L10=6o/4u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Devin Vassell,FG3M,2026-05-10 22:45:48,2.5,0.2,None,None,None,None,2,side=over; rating=0; diff=1; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Terrence Shannon Jr.,FG3M,2026-05-10 22:45:48,1.5,0.2,None,None,None,None,14,side=over; rating=0; diff=1; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Jaden McDaniels,PA,2026-05-10 22:45:48,19.5,0.2,None,None,None,None,7,side=over; rating=0; diff=1; line=18.5; L10=4o/6u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Victor Wembanyama,RA,2026-05-10 22:45:48,17.5,0.2,None,None,None,None,14,side=over; rating=0; diff=1; line=15.5; L10=6o/4u/10g; streak=4o; opp_rank=14
bettingpros,NBA,Dylan Harper,RA,2026-05-10 22:45:48,7.5,0.2,None,None,None,None,14,side=over; rating=0; diff=1; line=6.5; L10=4o/6u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Naz Reid,AST,2026-05-10 22:45:48,2.4,0.2,None,None,None,None,9,side=over; rating=0; diff=0.9; line=1.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jaden McDaniels,PR,2026-05-10 22:45:48,21.4,0.2,None,None,None,None,7,side=over; rating=0; diff=0.9; line=20.5; L10=6o/4u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Keldon Johnson,RA,2026-05-10 22:45:48,5.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=4.5; L10=7o/3u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Devin Vassell,RA,2026-05-10 22:45:48,7.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=6.5; L10=6o/4u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Jaden McDaniels,PRA,2026-05-10 22:45:48,24.4,0.2,None,None,None,None,7,side=over; rating=0; diff=0.9; line=23.5; L10=5o/5u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Keldon Johnson,REB,2026-05-10 22:45:48,4.3,0.2,None,None,None,None,15,side=over; rating=0; diff=0.8; line=3.5; L10=7o/3u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Naz Reid,FG3M,2026-05-10 22:45:48,2.3,0.2,None,None,None,None,14,side=over; rating=0; diff=0.8; line=1.5; L10=4o/6u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Rudy Gobert,PR,2026-05-10 22:45:48,20.8,0.2,None,None,None,None,7,side=over; rating=0; diff=0.8; line=18.5; L10=5o/5u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Ayo Dosunmu,AST,2026-05-10 22:45:48,4.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=3.5; L10=5o/5u/10g; streak=1o; opp_rank=9
