source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Tobias Harris,PR,2026-05-07 22:30:39,22.9,0.2,None,None,None,None,14,side=under; rating=0; diff=-1.6; line=24.5; L10=8o/2u/10g; streak=7o; opp_rank=14
bettingpros,NBA,Jake LaRavia,PRA,2026-05-07 22:30:39,9.1,0.2,None,None,None,None,6,side=over; rating=0; diff=1.6; line=7.5; L10=5o/5u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Rui Hachimura,PTS,2026-05-07 22:30:39,14,0.2,None,None,None,None,2,side=over; rating=0; diff=1.5; line=12.5; L10=8o/2u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Jaylin Williams,PTS,2026-05-07 22:30:39,6,0.2,None,None,None,None,11,side=over; rating=0; diff=1.5; line=4.5; L10=5o/5u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Shai Gilgeous-Alexander,PRA,2026-05-07 22:30:39,43,0.2,None,None,None,None,11,side=over; rating=0; diff=1.5; line=40.5; L10=5o/5u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Luke Kennard,AST,2026-05-07 22:30:39,2.9,0.2,None,None,None,None,7,side=over; rating=0; diff=1.4; line=1.5; L10=8o/2u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Dean Wade,RA,2026-05-07 22:30:39,5.9,0.2,None,None,None,None,1,side=over; rating=0; diff=1.4; line=4.5; L10=6o/4u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Alex Caruso,PRA,2026-05-07 22:30:39,12.9,0.2,None,None,None,None,11,side=over; rating=0; diff=1.4; line=11.5; L10=2o/8u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Cade Cunningham,PTS,2026-05-07 22:30:39,28.8,0.2,None,None,None,None,14,side=over; rating=0; diff=1.3; line=27.5; L10=4o/6u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Alex Caruso,PA,2026-05-07 22:30:39,9.8,0.2,None,None,None,None,13,side=over; rating=0; diff=1.3; line=8.5; L10=2o/8u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Isaiah Hartenstein,PR,2026-05-07 22:30:39,17.8,0.2,None,None,None,None,8,side=over; rating=0; diff=1.3; line=16.5; L10=6o/4u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Jarrett Allen,RA,2026-05-07 22:30:39,9.8,0.2,None,None,None,None,1,side=over; rating=0; diff=1.3; line=8.5; L10=3o/7u/10g; streak=1u; opp_rank=1
bettingpros,NBA,LeBron James,PR,2026-05-07 22:30:39,29.7,0.2,None,None,None,None,6,side=over; rating=0; diff=1.2; line=27.5; L10=7o/3u/10g; streak=3o; opp_rank=6
bettingpros,NBA,Austin Reaves,RA,2026-05-07 22:30:39,10.7,0.2,None,None,None,None,14,side=over; rating=0; diff=1.2; line=9.5; L10=6o/4u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Ajay Mitchell,PRA,2026-05-07 22:30:39,24.7,0.2,None,None,None,None,11,side=over; rating=0; diff=1.2; line=23.5; L10=3o/7u/10g; streak=2o; opp_rank=11
bettingpros,NBA,Max Strus,AST,2026-05-07 22:30:39,2.6,0.2,None,None,None,None,1,side=over; rating=0; diff=1.1; line=1.5; L10=7o/3u/10g; streak=4o; opp_rank=1
bettingpros,NBA,Duncan Robinson,FG3M,2026-05-07 22:30:39,3.6,0.2,None,None,None,None,23,side=over; rating=0; diff=1.1; line=2.5; L10=7o/3u/10g; streak=1o; opp_rank=23
bettingpros,NBA,Evan Mobley,PA,2026-05-07 22:30:39,21.1,0.2,None,None,None,None,2,side=over; rating=0; diff=1.1; line=18.5; L10=7o/3u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Alex Caruso,RA,2026-05-07 22:30:39,5.6,0.2,None,None,None,None,7,side=over; rating=0; diff=1.1; line=4.5; L10=4o/6u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Alex Caruso,AST,2026-05-07 22:30:39,2.5,0.2,None,None,None,None,17,side=over; rating=0; diff=1; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Ajay Mitchell,AST,2026-05-07 22:30:39,4.5,0.2,None,None,None,None,17,side=over; rating=0; diff=1; line=3.5; L10=4o/6u/10g; streak=2o; opp_rank=17
bettingpros,NBA,Dean Wade,AST,2026-05-07 22:30:39,1.5,0.2,None,None,None,None,1,side=over; rating=0; diff=1; line=0.5; L10=6o/4u/10g; streak=2o; opp_rank=1
bettingpros,NBA,LeBron James,PTS,2026-05-07 22:30:39,22.5,0.2,None,None,None,None,2,side=over; rating=0; diff=1; line=20.5; L10=7o/3u/10g; streak=3o; opp_rank=2
bettingpros,NBA,Tobias Harris,PTS,2026-05-07 22:30:39,16.5,0.2,None,None,None,None,14,side=under; rating=0; diff=-1; line=17.5; L10=7o/3u/10g; streak=6o; opp_rank=14
