source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Miles McBride,PRA,2026-05-08 22:40:52,12.3,0.2,None,None,None,None,19,side=under; rating=0; diff=-2.2; line=15.5; L10=2o/8u/10g; streak=5u; opp_rank=19
bettingpros,NBA,Stephon Castle,PA,2026-05-08 22:40:52,25.6,0.2,None,None,None,None,12,side=over; rating=0; diff=2.1; line=23.5; L10=6o/4u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Kelly Oubre Jr.,PA,2026-05-08 22:40:52,15.6,0.2,None,None,None,None,5,side=over; rating=0; diff=2.1; line=13.5; L10=4o/6u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Karl-Anthony Towns,PRA,2026-05-08 22:40:52,34.4,0.2,None,None,None,None,19,side=under; rating=0; diff=-2.1; line=36.5; L10=5o/5u/10g; streak=1o; opp_rank=19
bettingpros,NBA,Julius Randle,PTS,2026-05-08 22:40:52,21.5,0.2,None,None,None,None,6,side=over; rating=0; diff=2; line=18.5; L10=5o/5u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Karl-Anthony Towns,PA,2026-05-08 22:40:52,22.5,0.2,None,None,None,None,17,side=under; rating=0; diff=-2; line=24.5; L10=5o/5u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Victor Wembanyama,RA,2026-05-08 22:40:52,17.4,0.2,None,None,None,None,13,side=over; rating=0; diff=1.9; line=15.5; L10=6o/4u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Anthony Edwards,PA,2026-05-08 22:40:52,24.8,0.2,None,None,None,None,7,side=under; rating=0; diff=-1.7; line=26.5; L10=2o/8u/10g; streak=4u; opp_rank=7
bettingpros,NBA,Stephon Castle,RA,2026-05-08 22:40:52,13.2,0.2,None,None,None,None,13,side=over; rating=0; diff=1.7; line=11.5; L10=5o/5u/10g; streak=5u; opp_rank=13
bettingpros,NBA,Tyrese Maxey,RA,2026-05-08 22:40:52,11.2,0.2,None,None,None,None,3,side=over; rating=0; diff=1.7; line=9.5; L10=4o/6u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Anthony Edwards,PRA,2026-05-08 22:40:52,28.8,0.2,None,None,None,None,7,side=under; rating=0; diff=-1.7; line=31.5; L10=2o/8u/10g; streak=4u; opp_rank=7
bettingpros,NBA,Kelly Oubre Jr.,PTS,2026-05-08 22:40:52,14.1,0.2,None,None,None,None,4,side=over; rating=0; diff=1.6; line=11.5; L10=6o/4u/10g; streak=2o; opp_rank=4
bettingpros,NBA,Terrence Shannon Jr.,PR,2026-05-08 22:40:52,11.9,0.2,None,None,None,None,7,side=under; rating=0; diff=-1.6; line=13.5; L10=7o/3u/10g; streak=4o; opp_rank=7
bettingpros,NBA,Dylan Harper,RA,2026-05-08 22:40:52,8.1,0.2,None,None,None,None,13,side=over; rating=0; diff=1.6; line=6.5; L10=5o/5u/10g; streak=2o; opp_rank=13
