source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Donovan Mitchell,PRA,2026-05-03 22:30:24,38.9,1.0,0.68685985224935,0.31314014775065,5,1,7,side=over; rating=5; diff=4.4; line=34.5; L10=4o/6u/10g; streak=4u; opp_rank=7
bettingpros,NBA,Donovan Mitchell,PA,2026-05-03 22:30:24,34.2,0.2,None,None,None,None,6,side=over; rating=0; diff=3.7; line=29.5; L10=4o/6u/10g; streak=4u; opp_rank=6
bettingpros,NBA,Donovan Mitchell,PTS,2026-05-03 22:30:24,28.7,0.2,None,None,None,None,9,side=over; rating=0; diff=3.2; line=25.5; L10=4o/6u/10g; streak=4u; opp_rank=9
bettingpros,NBA,Donovan Mitchell,PR,2026-05-03 22:30:24,33.4,0.2,None,None,None,None,9,side=over; rating=0; diff=2.9; line=29.5; L10=5o/5u/10g; streak=4u; opp_rank=9
bettingpros,NBA,Dean Wade,PRA,2026-05-03 22:30:24,12.3,0.2,None,None,None,None,7,side=over; rating=0; diff=2.8; line=9.5; L10=6o/4u/10g; streak=4o; opp_rank=7
bettingpros,NBA,Jarrett Allen,PA,2026-05-03 22:30:24,15.2,0.2,None,None,None,None,6,side=over; rating=0; diff=2.7; line=12.5; L10=6o/4u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Dennis Schroder,PRA,2026-05-03 22:30:24,12.2,0.2,None,None,None,None,7,side=over; rating=0; diff=2.7; line=9.5; L10=6o/4u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Ja'Kobe Walter,PRA,2026-05-03 22:30:24,14.8,0.2,None,None,None,None,15,side=under; rating=0; diff=-2.7; line=17.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Scottie Barnes,PR,2026-05-03 22:30:24,31.1,0.2,None,None,None,None,14,side=over; rating=0; diff=2.6; line=28.5; L10=6o/4u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Ja'Kobe Walter,PR,2026-05-03 22:30:24,13.2,0.2,None,None,None,None,14,side=under; rating=0; diff=-2.3; line=15.5; L10=4o/6u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Max Strus,PRA,2026-05-03 22:30:24,16.5,0.2,None,None,None,None,7,side=over; rating=0; diff=2; line=14.5; L10=4o/6u/10g; streak=3u; opp_rank=7
bettingpros,NBA,Dennis Schroder,PA,2026-05-03 22:30:24,10.4,0.2,None,None,None,None,6,side=over; rating=0; diff=1.9; line=8.5; L10=5o/5u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Evan Mobley,PRA,2026-05-03 22:30:24,30.4,0.2,None,None,None,None,7,side=over; rating=0; diff=1.9; line=28.5; L10=5o/5u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Evan Mobley,PA,2026-05-03 22:30:24,21.3,0.2,None,None,None,None,6,side=over; rating=0; diff=1.8; line=19.5; L10=7o/3u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Max Strus,PA,2026-05-03 22:30:24,12.2,0.2,None,None,None,None,6,side=over; rating=0; diff=1.7; line=10.5; L10=3o/7u/10g; streak=3u; opp_rank=6
bettingpros,NBA,Collin Murray-Boyles,PR,2026-05-03 22:30:24,17.8,0.2,None,None,None,None,14,side=under; rating=0; diff=-1.7; line=19.5; L10=5o/5u/10g; streak=1o; opp_rank=14
