n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Bub Carrington OVER PA 13.5 (STANDARD) [id:10648410] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.9315217037091795,6.0,1.0,6.0,5.589130222255077,6.0,atlas,0.9767189947671899,0.18981153983821664,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Bub Carrington OVER PA 13.5 (STANDARD) [id:10648410] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,5.589130222255077,"['ajay mitchell', 'bub carrington', 'coby white']",1,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254],Bub Carrington OVER PA 13.5 (STANDARD) [id:10648410],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Coby White OVER PA 19.5 (DEMON) [id:10644472],0.8978605964042381,6.0,1.0,6.0,5.387163578425429,6.0,atlas,0.9649201746492017,0.099022488419513,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Coby White OVER PA 19.5 (DEMON) [id:10644472],0.0,0.0,0.0,0.0,0.0,0,0.0,5.387163578425429,"['ajay mitchell', 'norman powell', 'coby white']",1,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Coby White OVER PA 19.5 (DEMON) [id:10644472],0,
3,Keldon Johnson OVER PRA 14.5 (GOBLIN) [id:10653386] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | Bub Carrington OVER PRA 18.5 (DEMON) [id:10652244],0.8977678730885146,6.0,1.0,6.0,5.386607238531088,6.0,atlas,0.964720194647202,0.23618187604110222,Keldon Johnson OVER PRA 14.5 (GOBLIN) [id:10653386] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | Bub Carrington OVER PRA 18.5 (DEMON) [id:10652244],0.0,0.0,0.0,0.0,0.0,0,0.0,5.386607238531088,"['keldon johnson', 'ajay mitchell', 'bub carrington']",1,Keldon Johnson OVER PRA 14.5 (GOBLIN) [id:10653386],Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],Bub Carrington OVER PRA 18.5 (DEMON) [id:10652244],0,
3,Bub Carrington OVER PRA 13.5 (GOBLIN) [id:10653521] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.8951703689839235,6.0,1.0,6.0,5.371022213903541,6.0,atlas,0.9639536046395362,0.16955327785984498,Bub Carrington OVER PRA 13.5 (GOBLIN) [id:10653521] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.0,0.0,0.0,0.0,0.0,0,0.0,5.371022213903541,"['bub carrington', 'jaime jaquez', 'ryan kalkbrenner']",1,Bub Carrington OVER PRA 13.5 (GOBLIN) [id:10653521],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0,
3,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Ajay Mitchell OVER PRA 20.5 (STANDARD) [id:10644953] | Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0.893786530974343,6.0,1.0,6.0,5.362719185846058,6.0,atlas,0.9634869846348698,0.08812630519199723,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Ajay Mitchell OVER PRA 20.5 (STANDARD) [id:10644953] | Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0.0,0.0,0.0,0.0,0.0,0,0.0,5.362719185846058,"['tyler herro', 'ajay mitchell', 'ryan kalkbrenner']",1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],Ajay Mitchell OVER PRA 20.5 (STANDARD) [id:10644953],Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0,
3,Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243] | Josh Hart OVER RA 12.5 (STANDARD) [id:10652186] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.8903881943985191,6.0,1.0,6.0,5.3423291663911145,6.0,atlas,0.962387094623871,0.2196589001962549,Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243] | Josh Hart OVER RA 12.5 (STANDARD) [id:10652186] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,5.3423291663911145,"['bub carrington', 'josh hart', 'coby white']",1,Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243],Josh Hart OVER RA 12.5 (STANDARD) [id:10652186],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Victor Wembanyama OVER PRA 34.5 (GOBLIN) [id:10650760] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Ivica Zubac OVER PR 19.5 (DEMON) [id:10652070],0.8902997314715513,6.0,1.0,6.0,5.341798388829307,6.0,atlas,0.962053794620538,0.174181335797975,Victor Wembanyama OVER PRA 34.5 (GOBLIN) [id:10650760] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Ivica Zubac OVER PR 19.5 (DEMON) [id:10652070],0.0,0.0,0.0,0.0,0.0,0,0.0,5.341798388829307,"['victor wembanyama', 'jaime jaquez', 'ivica zubac']",1,Victor Wembanyama OVER PRA 34.5 (GOBLIN) [id:10650760],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Ivica Zubac OVER PR 19.5 (DEMON) [id:10652070],0,
3,Karl-Anthony Towns OVER PR 24.5 (GOBLIN) [id:10652093] | Keldon Johnson OVER PRA 18.5 (STANDARD) [id:10651715] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.8901888780071663,6.0,1.0,6.0,5.341133268042998,6.0,atlas,0.9620204646202047,0.17270209395975153,Karl-Anthony Towns OVER PR 24.5 (GOBLIN) [id:10652093] | Keldon Johnson OVER PRA 18.5 (STANDARD) [id:10651715] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.0,0.0,0.0,0.0,0.0,0,0.0,5.341133268042998,"['karl-anthony towns', 'keldon johnson', 'ryan kalkbrenner']",1,Karl-Anthony Towns OVER PR 24.5 (GOBLIN) [id:10652093],Keldon Johnson OVER PRA 18.5 (STANDARD) [id:10651715],Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0,
3,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.8884913461199101,6.0,1.0,6.0,5.33094807671946,6.0,atlas,0.9615871746158717,0.06613082335149444,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.0,0.0,0.0,0.0,0.0,0,0.0,5.33094807671946,"['lamelo ball', 'tyler herro', 'kon knueppel']",1,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0,
3,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Shai Gilgeous-Alexander OVER PA 39 (STANDARD) [id:10645028] | Jaylon Tyson OVER PRA 16.5 (DEMON) [id:10646793],0.8846069905813564,6.0,1.0,6.0,5.307641943488139,6.0,atlas,0.9600873246008733,0.1377170389669894,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Shai Gilgeous-Alexander OVER PA 39 (STANDARD) [id:10645028] | Jaylon Tyson OVER PRA 16.5 (DEMON) [id:10646793],0.0,0.0,0.0,0.0,0.0,0,0.0,5.307641943488139,"['coby white', 'shai gilgeous-alexander', 'jaylon tyson']",1,Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Shai Gilgeous-Alexander OVER PA 39 (STANDARD) [id:10645028],Jaylon Tyson OVER PRA 16.5 (DEMON) [id:10646793],0,
3,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.8841124761710154,6.0,1.0,6.0,5.304674857026092,6.0,atlas,0.9600206646002066,0.07664801457733762,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.0,0.0,0.0,0.0,0.0,0,0.0,5.304674857026092,"['lamelo ball', 'norman powell', 'kon knueppel']",1,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0,
3,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | Bub Carrington OVER PRA 19.5 (DEMON) [id:10649047],0.8813962531794022,6.0,1.0,6.0,5.288377519076413,6.0,atlas,0.958820784588208,0.18243755387919894,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | Bub Carrington OVER PRA 19.5 (DEMON) [id:10649047],0.0,0.0,0.0,0.0,0.0,0,0.0,5.288377519076413,"['coby white', 'ajay mitchell', 'bub carrington']",1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],Bub Carrington OVER PRA 19.5 (DEMON) [id:10649047],0,
3,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10651848] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Isaiah Hartenstein OVER PRA 24.5 (DEMON) [id:10648224],0.8746796413519554,6.0,1.0,6.0,5.248077848111732,6.0,atlas,0.9568876445688765,0.1449536497417282,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10651848] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Isaiah Hartenstein OVER PRA 24.5 (DEMON) [id:10648224],0.0,0.0,0.0,0.0,0.0,0,0.0,5.248077848111732,"['russell westbrook', 'kon knueppel', 'isaiah hartenstein']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10651848],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Isaiah Hartenstein OVER PRA 24.5 (DEMON) [id:10648224],0,
3,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.8682602983774346,6.0,1.0,6.0,5.209561790264607,6.0,atlas,0.9540879245408792,0.10008147494553547,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.0,0.0,0.0,0.0,0.0,0,0.0,5.209561790264607,"['davion mitchell', 'shai gilgeous-alexander', 'kon knueppel']",1,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257],Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029],Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0,
3,Aaron Gordon OVER PRA 19.5 (GOBLIN) [id:10645832] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Russell Westbrook OVER PRA 28.5 (DEMON) [id:10651847],0.8654294252817922,6.0,1.0,6.0,5.192576551690753,6.0,atlas,0.9530880245308802,0.18228453048065707,Aaron Gordon OVER PRA 19.5 (GOBLIN) [id:10645832] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Russell Westbrook OVER PRA 28.5 (DEMON) [id:10651847],0.0,0.0,0.0,0.0,0.0,0,0.0,5.192576551690753,"['aaron gordon', 'lamelo ball', 'russell westbrook']",1,Aaron Gordon OVER PRA 19.5 (GOBLIN) [id:10645832],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],Russell Westbrook OVER PRA 28.5 (DEMON) [id:10651847],0,
