slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1349,2.145,0.2893,Andre Drummond,PHI,NYK,PTS,OVER,GOBLIN,0.5,0.7347
5-leg,True,0.1349,2.145,0.2893,De'Aaron Fox,SAS,MIN,PTS,OVER,GOBLIN,14.5,0.7128
5-leg,True,0.1349,2.145,0.2893,Jose Alvarado,NYK,PHI,PRA,OVER,STANDARD,5.5,0.7317
5-leg,True,0.1349,2.145,0.2893,Jordan Clarkson,NYK,PHI,PTS,OVER,STANDARD,5.5,0.6621
5-leg,True,0.1349,2.145,0.2893,Luke Kornet,SAS,MIN,REB,OVER,DEMON,4.5,0.6351
4-leg,True,0.2496,1.897,0.4735,Dylan Harper,SAS,MIN,PTS,OVER,GOBLIN,5.5,0.7199
4-leg,True,0.2496,1.897,0.4735,Jaden McDaniels,MIN,SAS,REB,OVER,GOBLIN,2.5,0.7895
4-leg,True,0.2496,1.897,0.4735,Mitchell Robinson,NYK,PHI,PTS,OVER,STANDARD,4.5,0.658
4-leg,True,0.2496,1.897,0.4735,VJ Edgecombe,PHI,NYK,REB,OVER,STANDARD,5.0,0.7047
3-leg,False,0.3842,1.931,0.7419,Joel Embiid,PHI,NYK,PA,OVER,GOBLIN,24.5,0.7282
3-leg,False,0.3842,1.931,0.7419,Anthony Edwards,MIN,SAS,PA,UNDER,STANDARD,28.5,0.6273
3-leg,False,0.3842,1.931,0.7419,Quentin Grimes,PHI,NYK,REB,OVER,STANDARD,2.5,0.692
