projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9798710,AJ Green,AST,2.5,OVER,DEMON,1,0,2.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:10:28.102000+00:00,0,0,demon,MIL,2026-02-09,,0,0.6,0.2840431913617277,0.27924415116976603,0.0,0.0,False,0.0,31.9,6.007495318350236,0.06214219780102505,0.02614355811390574,20,OK,0.27268146370725854,AJ Green|AST|2.5|DEMON,0.0,0,,0.03
9798708,AJ Green,FG3M,1.5,OVER,GOBLIN,1,0,1.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:04:09.680000+00:00,0,0,goblin,MIL,2026-02-09,,0,0.6,0.8037392521495701,0.7919416116776644,0.0,0.0,False,0.0,31.9,6.007495318350236,0.09175244734408392,0.050723314824255336,20,OK,0.7635522895420915,AJ Green|FG3M|1.5|GOBLIN,0.37875056718734074,1,rotowire,0.03
9798707,AJ Green,FG3M,2.5,OVER,STANDARD,1,0,2.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:58:52.451000+00:00,0,0,standard,MIL,2026-02-09,,0,0.6,0.5951809638072385,0.5835832833433313,0.0,0.0,False,0.0,31.9,6.007495318350236,0.09175244734408392,0.050723314824255336,20,OK,0.5951809638072385,AJ Green|FG3M|2.5|STANDARD,0.06517430942004357,1,rotowire,0.03
9798706,AJ Green,FG3M,4.5,OVER,DEMON,1,0,4.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:11:24.293000+00:00,0,0,demon,MIL,2026-02-09,,0,0.6,0.1910617876424715,0.18366326734653068,0.0,0.0,False,0.0,31.9,6.007495318350236,0.09175244734408392,0.050723314824255336,20,OK,0.1910617876424715,AJ Green|FG3M|4.5|DEMON,0.0,0,rotowire,0.03
9798720,AJ Green,PA,12.5,UNDER,STANDARD,0,1,12.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:39.382000+00:00,0,0,standard,MIL,2026-02-09,,0,1.0,0.5405918816236752,0.5417916416716657,0.002214430706772638,0.0011997600479904946,False,0.0,31.9,6.007495318350236,0.37964997117433047,0.1546770765739536,20,OK,0.48653269346130773,AJ Green|PA|12.5|STANDARD,0.0,0,rotowire,0.03
9798718,AJ Green,PA,14.5,OVER,DEMON,1,0,14.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:54:28.809000+00:00,0,0,demon,MIL,2026-02-09,,0,1.0,0.3240351929614077,0.3212357528494301,0.0,0.0,False,0.0,31.9,6.007495318350236,0.37964997117433047,0.1546770765739536,20,OK,0.3110737852429514,AJ Green|PA|14.5|DEMON,0.030916762574226275,1,rotowire,0.03
9798721,AJ Green,PA,9.5,OVER,GOBLIN,1,0,9.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:39.437000+00:00,0,0,goblin,MIL,2026-02-09,,0,1.0,0.676364727054589,0.6677664467106579,0.0,0.0,False,0.0,31.9,6.007495318350236,0.37964997117433047,0.1546770765739536,20,OK,0.676364727054589,AJ Green|PA|9.5|GOBLIN,0.935107529262116,1,rotowire,0.03
9798729,AJ Green,PRA,14.5,OVER,GOBLIN,1,0,14.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:40.358000+00:00,0,0,goblin,MIL,2026-02-09,,0,1.0,0.48060387922415515,0.4766046790641872,0.0,0.0,False,0.0,31.9,6.007495318350236,0.4519267318080892,0.1568980236836003,20,OK,0.48060387922415515,AJ Green|PRA|14.5|GOBLIN,0.8820486619928533,1,rotowire,0.03
9798728,AJ Green,PRA,15.5,UNDER,STANDARD,0,1,15.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:56:05.842000+00:00,0,0,standard,MIL,2026-02-09,,0,1.0,0.5897820435912817,0.5881823635272946,0.0,0.0,False,0.0,31.9,6.007495318350236,0.4519267318080892,0.1568980236836003,20,OK,0.5308038392321536,AJ Green|PRA|15.5|STANDARD,0.0,0,rotowire,0.03
9798727,AJ Green,PRA,24.5,OVER,DEMON,1,0,24.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:40.207000+00:00,0,0,demon,MIL,2026-02-09,,0,1.0,0.05968806238752249,0.056288742251549694,0.0,0.0,False,0.0,31.9,6.007495318350236,0.4519267318080892,0.1568980236836003,20,OK,0.05730053989202159,AJ Green|PRA|24.5|DEMON,0.0,0,rotowire,0.03
9798724,AJ Green,PR,13.5,UNDER,STANDARD,0,1,13.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:39.814000+00:00,0,0,standard,MIL,2026-02-09,,0,1.0,0.5847830433913217,0.5897820435912817,0.008476012883539611,0.004999000199960024,False,0.0,31.9,6.007495318350236,0.3897845340070641,0.15967084417802527,20,OK,0.5263047390521896,AJ Green|PR|13.5|STANDARD,0.0,0,rotowire,0.03
9798723,AJ Green,PR,14.5,OVER,DEMON,1,0,14.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:39.728000+00:00,0,0,demon,MIL,2026-02-09,,0,1.0,0.3468306338732254,0.34763047390521895,0.0023008340523438865,0.0007998400319935706,False,0.0,31.9,6.007495318350236,0.3897845340070641,0.15967084417802527,20,OK,0.33295740851829636,AJ Green|PR|14.5|DEMON,0.30783897693922185,1,rotowire,0.03
9798725,AJ Green,PR,9.5,OVER,GOBLIN,1,0,9.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:49:39.876000+00:00,0,0,goblin,MIL,2026-02-09,,0,1.0,0.6909618076384723,0.6849630073985203,0.0,0.0,False,0.0,31.9,6.007495318350236,0.3897845340070641,0.15967084417802527,20,OK,0.6909618076384723,AJ Green|PR|9.5|GOBLIN,0.9629394806999472,1,rotowire,0.03
9798715,AJ Green,PTS,10.5,UNDER,STANDARD,0,1,10.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:00:06.443000+00:00,0,0,standard,MIL,2026-02-09,,0,0.6,0.5335932813437313,0.5435912817436512,0.01839249586168829,0.009998000399919937,False,0.0,31.9,6.007495318350236,0.3175077733733055,0.15702798014388375,20,OK,0.4802339532093582,AJ Green|PTS|10.5|STANDARD,0.0,0,rotowire,0.03
9798712,AJ Green,PTS,14.5,OVER,DEMON,1,0,14.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:05:30.567000+00:00,0,0,demon,MIL,2026-02-09,,0,0.6,0.21725654869026195,0.21005798840231954,0.0,0.0,False,0.0,31.9,6.007495318350236,0.3175077733733055,0.15702798014388375,20,OK,0.21725654869026195,AJ Green|PTS|14.5|DEMON,0.0,0,rotowire,0.03
9798716,AJ Green,PTS,7.5,OVER,GOBLIN,1,0,7.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:07:36.917000+00:00,0,0,goblin,MIL,2026-02-09,,0,0.6,0.6819636072785443,0.6731653669266147,0.0,0.0,False,0.0,31.9,6.007495318350236,0.3175077733733055,0.15702798014388375,20,OK,0.6819636072785443,AJ Green|PTS|7.5|GOBLIN,0.8610767241613061,1,rotowire,0.03
9798732,AJ Green,RA,5.5,OVER,DEMON,1,0,5.5,2026-02-09T19:40:00.000-05:00,2026-02-09T00:10:20.403000+00:00,0,0,demon,MIL,2026-02-09,,0,1.0,0.2438512297540492,0.23645270945810837,0.0,0.0,False,0.0,31.9,6.007495318350236,0.13441895843478366,0.04711083318459005,20,OK,0.2340971805638872,AJ Green|RA|5.5|DEMON,0.0,0,,0.03
9798730,AJ Green,REB,3.5,OVER,DEMON,1,0,3.5,2026-02-09T19:40:00.000-05:00,2026-02-08T23:55:55.349000+00:00,0,0,demon,MIL,2026-02-09,,0,0.6,0.20425914817036592,0.19686062787442513,0.0,0.0,False,0.0,31.9,6.007495318350236,0.07227676063375861,0.040999330318817175,20,OK,0.20425914817036592,AJ Green|REB|3.5|DEMON,0.0,0,,0.03
