source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Max Strus,PRA,2026-05-15 11:26:54,16.9,0.2,None,None,None,None,1,side=over; rating=0; diff=1.4; line=15.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Victor Wembanyama,PA,2026-05-15 11:26:54,29.2,0.2,None,None,None,None,12,side=under; rating=0; diff=-1.3; line=30.5; L10=4o/6u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Caris LeVert,PA,2026-05-15 11:26:54,10.8,0.2,None,None,None,None,14,side=over; rating=0; diff=1.3; line=9; L10=1o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Naz Reid,PR,2026-05-15 11:26:54,19.2,0.2,None,None,None,None,7,side=under; rating=0; diff=-1.3; line=20.5; L10=5o/5u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Naz Reid,RA,2026-05-15 11:26:54,8.2,0.2,None,None,None,None,9,side=under; rating=0; diff=-1.3; line=9.5; L10=6o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Jarrett Allen,RA,2026-05-15 11:26:54,9.8,0.2,None,None,None,None,1,side=over; rating=0; diff=1.3; line=8.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Duncan Robinson,PRA,2026-05-15 11:26:54,16.8,0.2,None,None,None,None,14,side=over; rating=0; diff=1.3; line=14.5; L10=7o/3u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Dylan Harper,PTS,2026-05-15 11:26:54,11.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=10.5; L10=6o/4u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Paul Reed,PTS,2026-05-15 11:26:54,7.7,0.2,None,None,None,None,14,side=over; rating=0; diff=1.2; line=6.5; L10=5o/5u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Duncan Robinson,PR,2026-05-15 11:26:54,14.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=12.5; L10=7o/3u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Naz Reid,PRA,2026-05-15 11:26:54,21.3,0.2,None,None,None,None,7,side=under; rating=0; diff=-1.2; line=22.5; L10=4o/6u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Tobias Harris,AST,2026-05-15 11:26:54,2.6,0.2,None,None,None,None,16,side=over; rating=0; diff=1.1; line=1.5; L10=4o/6u/10g; streak=2o; opp_rank=16
bettingpros,NBA,Max Strus,AST,2026-05-15 11:26:54,2.6,0.2,None,None,None,None,1,side=over; rating=0; diff=1.1; line=1.5; L10=7o/3u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Terrence Shannon Jr.,PTS,2026-05-15 11:26:54,5.4,0.2,None,None,None,None,6,side=under; rating=0; diff=-1.1; line=6.5; L10=7o/3u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Jaden McDaniels,REB,2026-05-15 11:26:54,4.4,0.2,None,None,None,None,8,side=under; rating=0; diff=-1.1; line=5.5; L10=6o/4u/10g; streak=3o; opp_rank=8
bettingpros,NBA,Tobias Harris,REB,2026-05-15 11:26:54,5.4,0.2,None,None,None,None,9,side=under; rating=0; diff=-1.1; line=6.5; L10=7o/3u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Max Strus,PA,2026-05-15 11:26:54,12.6,0.2,None,None,None,None,2,side=over; rating=0; diff=1.1; line=11.5; L10=4o/6u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Evan Mobley,PA,2026-05-15 11:26:54,21.1,0.2,None,None,None,None,2,side=over; rating=0; diff=1.1; line=19.5; L10=5o/5u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Stephon Castle,RA,2026-05-15 11:26:54,12.6,0.2,None,None,None,None,14,side=over; rating=0; diff=1.1; line=11.5; L10=3o/7u/10g; streak=2u; opp_rank=14
bettingpros,NBA,Donovan Mitchell,RA,2026-05-15 11:26:54,9.6,0.2,None,None,None,None,1,side=over; rating=0; diff=1.1; line=8.5; L10=3o/7u/10g; streak=2u; opp_rank=1
bettingpros,NBA,Donovan Mitchell,PTS,2026-05-15 11:26:54,27.5,0.2,None,None,None,None,3,side=over; rating=0; diff=1; line=26.5; L10=3o/7u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Dennis Schroder,REB,2026-05-15 11:26:54,2.5,0.2,None,None,None,None,4,side=over; rating=0; diff=1; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Anthony Edwards,FG3M,2026-05-15 11:26:54,3.5,0.2,None,None,None,None,11,side=over; rating=0; diff=1; line=2.5; L10=4o/6u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Jaden McDaniels,PA,2026-05-15 11:26:54,17.5,0.2,None,None,None,None,7,side=under; rating=0; diff=-1; line=18.5; L10=4o/6u/10g; streak=1o; opp_rank=7
