source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Daniss Jenkins,AST,2026-05-15 11:26:54,2.5,0.4,0.5956,0.4044,,,,n_books=4
oddsapi,NBA,Tobias Harris,AST,2026-05-15 11:26:54,1.5,0.5,0.5849,0.4151,,,,n_books=5
oddsapi,NBA,Jarrett Allen,AST,2026-05-15 11:26:54,1.5,0.5,0.4132,0.5868,,,,n_books=5
oddsapi,NBA,Donovan Mitchell,AST,2026-05-15 11:26:54,3.5,0.5,0.4913,0.5087,,,,n_books=5
oddsapi,NBA,Jalen Duren,AST,2026-05-15 11:26:54,1.5,0.5,0.5234,0.4766,,,,n_books=5
oddsapi,NBA,Evan Mobley,AST,2026-05-15 11:26:54,4.5,0.4,0.4214,0.5786,,,,n_books=4
oddsapi,NBA,James Harden,AST,2026-05-15 11:26:54,6.5,0.5,0.4992,0.5008,,,,n_books=5
oddsapi,NBA,Cade Cunningham,AST,2026-05-15 11:26:54,8.5,0.5,0.5177,0.4823,,,,n_books=5
oddsapi,NBA,Duncan Robinson,AST,2026-05-15 11:26:54,1.5,0.4,0.5807,0.4193,,,,n_books=4
oddsapi,NBA,Ausar Thompson,AST,2026-05-15 11:26:54,3.5,0.3,0.4019,0.5981,,,,n_books=3
oddsapi,NBA,Dennis Schroder,AST,2026-05-15 11:26:54,2.5,0.5,0.5356,0.4644,,,,n_books=5
oddsapi,NBA,James Harden,BLK,2026-05-15 11:26:54,0.5,0.4,0.5178,0.4822,,,,n_books=4
oddsapi,NBA,Cade Cunningham,BLK,2026-05-15 11:26:54,0.5,0.4,0.5091,0.4909,,,,n_books=4
oddsapi,NBA,Jarrett Allen,BLK,2026-05-15 11:26:54,1.5,0.4,0.493,0.507,,,,n_books=4
oddsapi,NBA,Evan Mobley,BLK,2026-05-15 11:26:54,2.5,0.3,0.3846,0.6154,,,,n_books=3
oddsapi,NBA,Ausar Thompson,BLK,2026-05-15 11:26:54,1.5,0.4,0.3684,0.6316,,,,n_books=4
oddsapi,NBA,Jarrett Allen,PTS,2026-05-15 11:26:54,12.5,0.5,0.4986,0.5014,,,,n_books=5
oddsapi,NBA,Dean Wade,PTS,2026-05-15 11:26:54,3.5,0.3,0.4208,0.5792,,,,n_books=3
oddsapi,NBA,Daniss Jenkins,PTS,2026-05-15 11:26:54,9.5,0.5,0.4769,0.5231,,,,n_books=5
oddsapi,NBA,Jalen Duren,PTS,2026-05-15 11:26:54,10.5,0.5,0.4982,0.5018,,,,n_books=5
oddsapi,NBA,Tobias Harris,PTS,2026-05-15 11:26:54,17.5,0.5,0.5113,0.4887,,,,n_books=5
oddsapi,NBA,Donovan Mitchell,PTS,2026-05-15 11:26:54,26.5,0.5,0.5155,0.4845,,,,n_books=5
oddsapi,NBA,Evan Mobley,PTS,2026-05-15 11:26:54,14.5,0.4,0.5216,0.4784,,,,n_books=4
oddsapi,NBA,Cade Cunningham,PTS,2026-05-15 11:26:54,26.5,0.4,0.5112,0.4888,,,,n_books=4
oddsapi,NBA,Paul Reed Jr,PTS,2026-05-15 11:26:54,6.5,0.4,0.5146,0.4854,,,,n_books=4
oddsapi,NBA,Caris LeVert,PTS,2026-05-15 11:26:54,6.5,0.4,0.5061,0.4939,,,,n_books=4
oddsapi,NBA,Sam Merrill,PTS,2026-05-15 11:26:54,5.5,0.3,0.5363,0.4637,,,,n_books=3
oddsapi,NBA,James Harden,PTS,2026-05-15 11:26:54,19.5,0.5,0.5013,0.4987,,,,n_books=5
oddsapi,NBA,Max Strus,PTS,2026-05-15 11:26:54,8.5,0.4,0.5399,0.4601,,,,n_books=4
oddsapi,NBA,Ausar Thompson,PTS,2026-05-15 11:26:54,8.5,0.4,0.5128,0.4872,,,,n_books=4
oddsapi,NBA,Dennis Schroder,PTS,2026-05-15 11:26:54,6.5,0.5,0.4982,0.5018,,,,n_books=5
oddsapi,NBA,Duncan Robinson,PTS,2026-05-15 11:26:54,10.5,0.4,0.5082,0.4918,,,,n_books=4
oddsapi,NBA,Daniss Jenkins,PA,2026-05-15 11:26:54,12.5,0.3,0.4912,0.5088,,,,n_books=3
oddsapi,NBA,Jalen Duren,PA,2026-05-15 11:26:54,12.5,0.4,0.4831,0.5169,,,,n_books=4
oddsapi,NBA,Jarrett Allen,PA,2026-05-15 11:26:54,13.5,0.3,0.519,0.481,,,,n_books=3
oddsapi,NBA,Donovan Mitchell,PA,2026-05-15 11:26:54,30.5,0.4,0.4967,0.5033,,,,n_books=4
oddsapi,NBA,Evan Mobley,PA,2026-05-15 11:26:54,19.5,0.3,0.4864,0.5136,,,,n_books=3
oddsapi,NBA,James Harden,PA,2026-05-15 11:26:54,26.5,0.4,0.4899,0.5101,,,,n_books=4
