run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260312_215235,0.428571,0.389248,0.403127,0.225167,0.230022,0.0,0.264402
20260312_215521,0.381176,0.381805,0.39416,0.206529,0.206161,0.002386,0.243359
20260312_215725,0.45552,0.391269,0.401397,0.205442,0.203287,0.0,0.163181
20260312_215938,0.413687,0.383864,0.396523,0.196713,0.197537,0.0,0.219811
20260312_220221,0.407324,0.38328,0.395819,0.203201,0.202993,0.006449,0.239802
20260312_220414,0.419082,0.379596,0.384309,0.213953,0.21281,0.0,0.059911
20260312_220656,0.412601,0.39982,0.41622,0.213781,0.214739,0.007025,0.324025
20260312_220913,0.395634,0.398222,0.401473,0.206229,0.205723,0.0,0.023433
20260312_221145,0.432706,0.393747,0.408027,0.225337,0.225857,0.013826,0.273948
20260312_221416,0.441871,0.407797,0.418762,0.201391,0.199931,0.009376,0.185895
20260312_221632,0.427598,0.388429,0.399279,0.217547,0.217073,0.006081,0.188507
20260312_221903,0.427282,0.409976,0.419949,0.20713,0.205673,0.014657,0.172224
20260312_222108,0.435122,0.360715,0.366309,0.228052,0.228024,0.0,0.080932
