n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.22988302703558838,6.0,1.0,6.0,1.3792981622135303,6.0,atlas,0.6185550719412608,0.02598252627407074,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3792981622135303,"['coby white', 'trendon watford', 'tristan silva']",1,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.1944740592197689,6.0,1.0,6.0,1.1668443553186134,6.0,atlas,0.5805928051427522,0.0262402899670931,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1668443553186134,"['tyler herro', ""kel'el ware"", 'shai gilgeous-alexander']",1,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0,
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Oso Ighodaro OVER PA 9.5 (STANDARD) [id:10649470] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.19426577751553195,6.0,1.0,6.0,1.1655946650931917,6.0,atlas,0.5885550671009061,0.06133394098150021,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Oso Ighodaro OVER PA 9.5 (STANDARD) [id:10649470] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1655946650931917,"['james harden', 'oso ighodaro', 'tristan silva']",1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Oso Ighodaro OVER PA 9.5 (STANDARD) [id:10649470],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Julius Randle OVER PR 29.5 (STANDARD) [id:10649385],0.19125410691411285,6.0,1.0,6.0,1.1475246414846771,6.0,atlas,0.5830862568030973,0.04500580699795021,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Julius Randle OVER PR 29.5 (STANDARD) [id:10649385],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1475246414846771,"['coby white', 'tristan silva', 'julius randle']",1,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Julius Randle OVER PR 29.5 (STANDARD) [id:10649385],0,
3,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Tyler Herro UNDER FG3M 2.5 (STANDARD) [id:10644142] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.19081644344180757,6.0,1.0,6.0,1.1448986606508453,6.0,atlas,0.5824832953226168,0.02660978789636872,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Tyler Herro UNDER FG3M 2.5 (STANDARD) [id:10644142] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1448986606508453,"['coby white', 'tyler herro', 'tristan silva']",1,Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Tyler Herro UNDER FG3M 2.5 (STANDARD) [id:10644142],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Donte DiVincenzo OVER PR 17.5 (STANDARD) [id:10649233] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.19031271221461682,6.0,1.0,6.0,1.1418762732877008,6.0,atlas,0.5819795168185177,0.05577081456934996,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Donte DiVincenzo OVER PR 17.5 (STANDARD) [id:10649233] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1418762732877008,"['tyler herro', 'donte divincenzo', 'tristan silva']",1,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731],Donte DiVincenzo OVER PR 17.5 (STANDARD) [id:10649233],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0,
3,Ayo Dosunmu OVER PRA 21.5 (GOBLIN) [id:10652980] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.18828010505708095,6.0,1.0,6.0,1.1296806303424858,6.0,atlas,0.5745136818584374,0.027641363392394553,Ayo Dosunmu OVER PRA 21.5 (GOBLIN) [id:10652980] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1296806303424858,"['ayo dosunmu', ""kel'el ware"", 'jett howard']",1,Ayo Dosunmu OVER PRA 21.5 (GOBLIN) [id:10652980],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0,
3,Grant Williams OVER PR 7.5 (GOBLIN) [id:10650592] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.1854761975883234,6.0,1.0,6.0,1.1128571855299403,6.0,atlas,0.5713993397806839,0.0275929778609353,Grant Williams OVER PR 7.5 (GOBLIN) [id:10650592] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1128571855299403,"['grant williams', ""de'aaron fox"", 'jett howard']",1,Grant Williams OVER PR 7.5 (GOBLIN) [id:10650592],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0,
3,Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0.18029888675564976,6.0,1.0,6.0,1.0817933205338985,6.0,atlas,0.5656215317968117,0.026584777573385565,Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0817933205338985,"['grant williams', 'jett howard', 'trendon watford']",1,Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0,
3,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.18013564421075698,6.0,1.0,6.0,1.0808138652645418,6.0,atlas,0.5665099110986076,0.052733103372573344,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0808138652645418,"['coby white', 'jaime jaquez', 'moussa diabaté']",1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0,
3,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.1787111045452411,6.0,1.0,6.0,1.0722666272714467,6.0,atlas,0.5646018231867048,0.043010982429921775,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0722666272714467,"['miles bridges', 'lamelo ball', 'moussa diabaté']",1,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0,
