n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.17032991615640858,10.0,1.0,10.0,1.7032991615640858,10.0,atlas,0.6424924510652565,0.05541647505734761,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7032991615640858,"['norman powell', 'bam adebayo', 'rudy gobert', 'coby white']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0,
4,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Davion Mitchell OVER PA 13.5 (STANDARD) [id:10644481],0.1618194864839191,10.0,1.0,10.0,1.618194864839191,10.0,atlas,0.6343118657572872,0.07149638180097381,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Davion Mitchell OVER PA 13.5 (STANDARD) [id:10644481],0.0,0.0,0.0,0.0,0.0,0,0.0,1.618194864839191,"['tyler herro', 'bam adebayo', 'ryan kalkbrenner', 'davion mitchell']",1,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731],Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Davion Mitchell OVER PA 13.5 (STANDARD) [id:10644481],0,
4,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0.15968333134061963,10.0,1.0,10.0,1.5968333134061963,10.0,atlas,0.6322199380873581,0.06571718697872957,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5968333134061963,"['lamelo ball', 'tyler herro', 'jaime jaquez', 'miles bridges']",1,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0,
4,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.15842653843454563,10.0,1.0,10.0,1.5842653843454562,10.0,atlas,0.6311395441597435,0.07284909377906593,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5842653843454562,"['brandon miller', 'coby white', 'rudy gobert', 'lamelo ball']",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0,
4,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],0.15823746450943346,10.0,1.0,10.0,1.5823746450943346,10.0,atlas,0.6308603244876498,0.07230630774679661,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5823746450943346,"['ryan kalkbrenner', 'coby white', 'miles bridges', 'davion mitchell']",1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029],Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],0,
4,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | LaMelo Ball OVER REB 4.5 (STANDARD) [id:10644382] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.15796636582104656,10.0,1.0,10.0,1.5796636582104657,10.0,atlas,0.6306679434003124,0.05674521900705366,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | LaMelo Ball OVER REB 4.5 (STANDARD) [id:10644382] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5796636582104657,"['jaime jaquez', 'miles bridges', 'lamelo ball', 'ryan kalkbrenner']",1,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],LaMelo Ball OVER REB 4.5 (STANDARD) [id:10644382],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
4,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0.15627667524141578,10.0,1.0,10.0,1.5627667524141577,10.0,atlas,0.6287591464415956,0.0643959477245473,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5627667524141577,"['kon knueppel', 'davion mitchell', 'jaime jaquez', 'devin booker']",1,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615],Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0,
4,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0.15594475015151874,10.0,1.0,10.0,1.5594475015151874,10.0,atlas,0.6285996773127854,0.06559188374978743,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5594475015151874,"['naz reid', 'grayson allen', 'lamelo ball', 'rudy gobert']",1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0,
4,Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440] | Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | Norman Powell OVER PR 25 (STANDARD) [id:10644082] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.1557123152805096,10.0,1.0,10.0,1.557123152805096,10.0,atlas,0.6282126268397659,0.07292923928348297,Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440] | Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | Norman Powell OVER PR 25 (STANDARD) [id:10644082] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.0,0.0,0.0,0.0,0.0,0,0.0,1.557123152805096,"['naz reid', 'donte divincenzo', 'norman powell', 'lamelo ball']",1,Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440],Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247],Norman Powell OVER PR 25 (STANDARD) [id:10644082],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0,
4,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552],0.15562242775012558,10.0,1.0,10.0,1.5562242775012558,10.0,atlas,0.6283937388113422,0.06107337193456884,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5562242775012558,"['tyler herro', 'ryan kalkbrenner', 'tristan silva', 'rudy gobert']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552],0,
4,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.1549004219801177,10.0,1.0,10.0,1.5490042198011769,10.0,atlas,0.6275522186871274,0.06514251256525576,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5490042198011769,"['grant williams', 'kon knueppel', 'miles bridges', 'grayson allen']",1,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917],Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
