category,mode,n_legs,slip_count,mean_hit_prob,mean_ev_mult,strict_win_rate,mean_q_leg_count
system,ev,3,10,0.208637,1.593655,0.4,0.0
system,ev,4,10,0.195547,1.454335,0.0,0.0
system,ev,5,10,0.196339,1.713239,0.25,0.0
system,winprob,3,10,0.503139,3.018832,0.375,0.0
system,winprob,4,10,0.377327,3.773272,0.2,0.0
system,winprob,5,10,0.281507,5.630138,0.4,0.0
top,ev,3,10,0.208637,1.593655,0.4,0.0
top,ev,4,10,0.195547,1.454335,0.0,0.0
top,ev,5,10,0.196339,1.713239,0.25,0.0
top,winprob,3,10,0.503139,3.018832,0.375,0.0
top,winprob,4,10,0.377327,3.773272,0.2,0.0
top,winprob,5,10,0.281507,5.630138,0.4,0.0
windfall,ev,3,10,0.106025,0.985998,0.333333,0.0
windfall,ev,4,10,0.054007,1.118268,0.5,0.0
windfall,ev,5,10,0.039085,1.080809,0.5,0.0
windfall,winprob,3,10,0.363814,2.182887,0.428571,0.0
windfall,winprob,4,10,0.267383,2.673835,0.333333,0.0
windfall,winprob,5,10,0.206535,4.130693,0.428571,0.0
