n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.17895250224118275,6.0,1.0,6.0,1.0737150134470965,6.0,atlas,0.5642503122207971,0.026681177551009058,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0737150134470965,"['collin gillespie', ""de'aaron fox"", 'jett howard']",1,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0,
3,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.17302391526578934,6.0,1.0,6.0,1.038143491594736,6.0,atlas,0.5575818086572962,0.026765547358771107,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,1.038143491594736,"['ryan kalkbrenner', ""royce o'neale"", ""de'aaron fox""]",1,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
3,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.17167909453047708,6.0,1.0,6.0,1.0300745671828624,6.0,atlas,0.556356814531079,0.026227143957734875,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0300745671828624,"['coby white', 'karl-anthony towns', 'jett howard']",1,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
3,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.16950117867317707,6.0,1.0,6.0,1.0170070720390625,6.0,atlas,0.5548442995190991,0.05305369348358224,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0170070720390625,"['bam adebayo', ""kel'el ware"", 'grant williams']",1,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0,
3,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.16824549302578282,6.0,1.0,6.0,1.0094729581546968,6.0,atlas,0.5546334239214478,0.04590417095784342,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0094729581546968,"['miles bridges', 'ayo dosunmu', 'moussa diabaté']",1,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027],Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0.16758042100626824,6.0,1.0,6.0,1.0054825260376095,6.0,atlas,0.5515117391063494,0.015651695053541404,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0054825260376095,"['davion mitchell', ""de'aaron fox"", 'nikola jokić']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987],Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0,
3,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.16695581334284654,6.0,1.0,6.0,1.0017348800570791,6.0,atlas,0.55239489679712,0.05599883720671184,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0017348800570791,"['jaime jaquez', 'ayo dosunmu', ""kel'el ware""]",1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506],Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0,
3,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0.16541819227222962,6.0,1.0,6.0,0.9925091536333777,6.0,atlas,0.5494210555742755,0.015855296940837395,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9925091536333777,"['davion mitchell', 'jared mccain', 'nikola jokić']",1,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0,
3,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.16493107037545013,6.0,1.0,6.0,0.9895864222527008,6.0,atlas,0.5513708902119258,0.02661146528967225,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9895864222527008,"['jaime jaquez', 'dennis schröder', 'moussa diabaté']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0,
3,Naz Reid OVER PRA 21.5 (GOBLIN) [id:10652998] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Donovan Mitchell OVER PTS 25.5 (STANDARD) [id:10645084],0.1647392872627718,6.0,1.0,6.0,0.9884357235766308,6.0,atlas,0.5515745704137606,0.062203141882170014,Naz Reid OVER PRA 21.5 (GOBLIN) [id:10652998] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Donovan Mitchell OVER PTS 25.5 (STANDARD) [id:10645084],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9884357235766308,"['naz reid', ""kel'el ware"", 'donovan mitchell']",1,Naz Reid OVER PRA 21.5 (GOBLIN) [id:10652998],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Donovan Mitchell OVER PTS 25.5 (STANDARD) [id:10645084],0,
3,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.1635394506756147,6.0,1.0,6.0,0.9812367040536882,6.0,atlas,0.5469865246898707,0.04225110531900501,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9812367040536882,"['davion mitchell', 'coby white', ""royce o'neale""]",1,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0,
3,Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0.16281479737694643,6.0,1.0,6.0,0.9768887842616786,6.0,atlas,0.5462573329143959,0.026642343657005737,Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9768887842616786,"['ryan kalkbrenner', ""de'aaron fox"", 'nikola jokić']",1,Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267],De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],0,
3,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.16259836886367598,6.0,1.0,6.0,0.975590213182056,6.0,atlas,0.5458761732528243,0.042795156172959294,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,0.975590213182056,"['ryan kalkbrenner', 'coby white', 'quentin grimes']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Coby White OVER PA 16.5 (STANDARD) [id:10643854],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
3,Wendell Carter OVER AST 1.5 (GOBLIN) [id:10648763] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0.15993903082407482,6.0,1.0,6.0,0.959634184944449,6.0,atlas,0.5469669951202829,0.05789596491766433,Wendell Carter OVER AST 1.5 (GOBLIN) [id:10648763] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0.0,0.0,0.0,0.0,0.0,0,0.0,0.959634184944449,"['wendell carter', 'moussa diabaté', 'naz reid']",1,Wendell Carter OVER AST 1.5 (GOBLIN) [id:10648763],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0,
