projection_id,player,stat,line,tag,team,opp,home,game_date,direction
11795456,Cade Cunningham,PR,33.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11784242,Paolo Banchero,PR,32.5,,ORL,DET,1,2026-05-01,OVER
11784242,Paolo Banchero,PR,32.5,,ORL,DET,1,2026-05-01,UNDER
11802666,Paolo Banchero,PA,32.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802666,Paolo Banchero,PA,32.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785064,Desmond Bane,PRA,31.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785064,Desmond Bane,PRA,31.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785092,Jalen Duren,PRA,31.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785092,Jalen Duren,PRA,31.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785115,Paolo Banchero,PRA,31.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11785115,Paolo Banchero,PRA,31.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11785122,Tobias Harris,PRA,31.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785122,Tobias Harris,PRA,31.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11795591,Paolo Banchero,PR,30.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11795591,Paolo Banchero,PR,30.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11784141,Cade Cunningham,PTS,29.5,,DET,ORL,0,2026-05-01,OVER
11784141,Cade Cunningham,PTS,29.5,,DET,ORL,0,2026-05-01,UNDER
11784146,Cade Cunningham,PR,29.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11784146,Cade Cunningham,PR,29.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11784168,Desmond Bane,PA,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784168,Desmond Bane,PA,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784170,Desmond Bane,PR,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784170,Desmond Bane,PR,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784173,Desmond Bane,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784173,Desmond Bane,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784199,Jalen Duren,PR,29.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784199,Jalen Duren,PR,29.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784202,Jalen Duren,PRA,29.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784202,Jalen Duren,PRA,29.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784224,Jalen Suggs,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784224,Jalen Suggs,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784237,Paolo Banchero,PTS,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784237,Paolo Banchero,PTS,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784239,Paolo Banchero,PA,29.5,,ORL,DET,1,2026-05-01,OVER
11784239,Paolo Banchero,PA,29.5,,ORL,DET,1,2026-05-01,UNDER
11784243,Paolo Banchero,PR,29.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11784243,Paolo Banchero,PR,29.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11784269,Tobias Harris,PR,29.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784269,Tobias Harris,PR,29.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784274,Tobias Harris,PRA,29.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784274,Tobias Harris,PRA,29.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784289,Wendell Carter,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784289,Wendell Carter,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785029,Anthony Black,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785029,Anthony Black,PRA,29.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785381,Paolo Banchero,PRA,29.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11785381,Paolo Banchero,PRA,29.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11807239,Tobias Harris,PA,29.5,DEMON,DET,ORL,0,2026-05-01,OVER
11807239,Tobias Harris,PA,29.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785091,Jalen Duren,PRA,28.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785091,Jalen Duren,PRA,28.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785104,Jalen Suggs,PRA,28.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785104,Jalen Suggs,PRA,28.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785121,Tobias Harris,PRA,28.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785121,Tobias Harris,PRA,28.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784171,Desmond Bane,PRA,27.5,,ORL,DET,1,2026-05-01,OVER
11784171,Desmond Bane,PRA,27.5,,ORL,DET,1,2026-05-01,UNDER
11785961,Cade Cunningham,PTS,27.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11785961,Cade Cunningham,PTS,27.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11786020,Paolo Banchero,PTS,27.5,DEMON,ORL,DET,1,2026-05-01,OVER
11786020,Paolo Banchero,PTS,27.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11788882,Paolo Banchero,PA,27.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11788882,Paolo Banchero,PA,27.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11802656,Desmond Bane,PR,27.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802656,Desmond Bane,PR,27.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11788869,Cade Cunningham,PTS,26.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11788869,Cade Cunningham,PTS,26.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11800735,Paolo Banchero,PA,26.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11800735,Paolo Banchero,PA,26.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11802658,Jalen Duren,PR,26.5,DEMON,DET,ORL,0,2026-05-01,OVER
11802658,Jalen Duren,PR,26.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784200,Jalen Duren,PRA,25.5,,DET,ORL,0,2026-05-01,OVER
11784200,Jalen Duren,PRA,25.5,,DET,ORL,0,2026-05-01,UNDER
11784271,Tobias Harris,PRA,25.5,,DET,ORL,0,2026-05-01,OVER
11784271,Tobias Harris,PRA,25.5,,DET,ORL,0,2026-05-01,UNDER
11785041,Ausar Thompson,PRA,25.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785041,Ausar Thompson,PRA,25.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785066,Desmond Bane,PRA,25.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11785066,Desmond Bane,PRA,25.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11785135,Wendell Carter,PRA,25.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785135,Wendell Carter,PRA,25.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784130,Ausar Thompson,PR,24.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784130,Ausar Thompson,PR,24.5,DEMON,DET,ORL,0,2026-05-01,UNDER
