projection_id,usage_count
9868852,36
9868922,33
9868808,33
9868986,27
9868984,24
9868882,24
9868966,21
9868833,21
9868989,21
9869141,21
9868853,18
9868914,15
9868943,15
9868830,15
9868863,15
9868806,15
9869048,15
9869135,12
9869154,12
9868790,12
9868890,12
9869045,9
9868923,9
9868911,9
9869049,9
9868858,9
9869129,6
9868788,6
9868796,6
9868765,6
9868869,6
9868967,6
9868883,6
9869128,6
9869121,6
9868881,6
9868781,6
9868769,6
9868827,3
9868916,3
9868962,3
9869161,3
9868766,3
9868960,3
9869043,3
9868829,3
9868865,3
9868898,3
9869515,3
9869059,3
9868834,3
9869086,3
9868918,3
9869133,3
9868878,3
9868954,3
9869148,3
9868951,3
9868939,3
9869168,3
9868811,3
9869153,3
9868885,3
9868850,3
