file,rows,mean_hit_raw,mean_hit_adj,mean_delta,legs_matched_min,legs_matched_max,unique_players,max_exposure,top5_players_json,scored_legs_path,id_col,generated_at
data/output/latest/early/Windfall/recommended_3leg.csv,12,0.17431321872545066,0.1784776051648794,0.004164386439428763,3.0,3.0,9,5,"{""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Naji Marshall"": 5, ""P.J. Washington"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/Windfall/recommended_3leg.csv,12,0.17431321872545066,0.1784776051648794,0.004164386439428763,3.0,3.0,9,5,"{""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Naji Marshall"": 5, ""P.J. Washington"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/Windfall/recommended_3leg.csv,12,0.17431321872545066,0.1784776051648794,0.004164386439428763,3.0,3.0,9,5,"{""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Naji Marshall"": 5, ""P.J. Washington"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/early/System/recommended_3leg.csv,10,0.3032709937544019,0.36139741125245856,0.05812641749805662,3.0,3.0,8,5,"{""LeBron James"": 5, ""Deandre Ayton"": 5, ""P.J. Washington"": 5, ""Max Christie"": 4, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/System/recommended_3leg.csv,10,0.3032709937544019,0.36139741125245856,0.05812641749805662,3.0,3.0,8,5,"{""LeBron James"": 5, ""Deandre Ayton"": 5, ""P.J. Washington"": 5, ""Max Christie"": 4, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/System/recommended_3leg.csv,10,0.3032709937544019,0.36139741125245856,0.05812641749805662,3.0,3.0,8,5,"{""LeBron James"": 5, ""Deandre Ayton"": 5, ""P.J. Washington"": 5, ""Max Christie"": 4, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/early/Windfall/recommended_4leg.csv,9,0.12087377480721379,0.13207309341935877,0.011199318612145006,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Deandre Ayton"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/Windfall/recommended_4leg.csv,9,0.12087377480721379,0.13207309341935877,0.011199318612145006,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Deandre Ayton"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/Windfall/recommended_4leg.csv,9,0.12087377480721379,0.13207309341935877,0.011199318612145006,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Deandre Ayton"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/early/System/recommended_4leg.csv,8,0.18993783878838905,0.22924822884794482,0.03931039005955577,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/System/recommended_4leg.csv,8,0.18993783878838905,0.22924822884794482,0.03931039005955577,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/System/recommended_4leg.csv,8,0.18993783878838905,0.22924822884794482,0.03931039005955577,4.0,4.0,9,5,"{""Naji Marshall"": 5, ""Max Christie"": 5, ""LeBron James"": 5, ""Austin Reaves"": 5, ""Caleb Martin"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/early/System/recommended_5leg.csv,7,0.12562821632600937,0.1423913621654433,0.016763145839433866,5.0,5.0,9,5,"{""Marcus Smart"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Deandre Ayton"": 5, ""Austin Reaves"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/early/Windfall/recommended_5leg.csv,7,0.07391822420520956,0.07222895224877611,-0.001689271956433479,5.0,5.0,9,5,"{""Naji Marshall"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Daniel Gafford"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/System/recommended_5leg.csv,7,0.12562821632600937,0.1423913621654433,0.016763145839433866,5.0,5.0,9,5,"{""Marcus Smart"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Deandre Ayton"": 5, ""Austin Reaves"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/late/Windfall/recommended_5leg.csv,7,0.07391822420520956,0.07222895224877611,-0.001689271956433479,5.0,5.0,9,5,"{""Naji Marshall"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Daniel Gafford"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/System/recommended_5leg.csv,7,0.12562821632600937,0.1423913621654433,0.016763145839433866,5.0,5.0,9,5,"{""Marcus Smart"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Deandre Ayton"": 5, ""Austin Reaves"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/main/Windfall/recommended_5leg.csv,7,0.07391822420520956,0.07222895224877611,-0.001689271956433479,5.0,5.0,9,5,"{""Naji Marshall"": 5, ""P.J. Washington"": 5, ""Max Christie"": 5, ""Austin Reaves"": 5, ""Daniel Gafford"": 4}",data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/AI/recommended_3leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/AI/recommended_4leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/AI/recommended_5leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/Capper/recommended_3leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/Capper/recommended_4leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
data/output/latest/all/Capper/recommended_5leg.csv,0,,,,,,0,0,{},data/output/runs/20260211_221412/scored_legs_deduped.csv,projection_id,20260212_055749
