file,row_index,n_ids_found,n_ids_matched,slip_hit_raw,slip_hit_adj,slip_delta,ids_found_json,ids_matched_json,players_json,slip_key,n_legs
data/output/latest/late/Windfall/recommended_3leg.csv,4,3,3,0.1893129027542846,0.18375407700260732,-0.005558825751677293,"[9868922, 9868796, 9868790]","[9868922, 9868796, 9868790]","[""Max Christie"", ""Caleb Martin"", ""Austin Reaves""]",Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Caleb Martin OVER FG3M 0.5 (STANDARD) [id:9868796] | Austin Reaves OVER REB 4.5 (DEMON) [id:9868790],3
data/output/latest/late/Windfall/recommended_3leg.csv,5,3,3,0.17927637881311245,0.181383843330829,0.0021074645177165396,"[9869141, 9868878, 9868790]","[9869141, 9868878, 9868790]","[""Naji Marshall"", ""LeBron James"", ""Austin Reaves""]",Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | LeBron James UNDER PTS 22.5 (STANDARD) [id:9868878] | Austin Reaves OVER REB 4.5 (DEMON) [id:9868790],3
data/output/latest/late/Windfall/recommended_3leg.csv,6,3,3,0.23428960268276366,0.18034415946360852,-0.05394544321915515,"[9868863, 9868808, 9869049]","[9868863, 9868808, 9869049]","[""LeBron James"", ""Caleb Martin"", ""Austin Reaves""]",LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | Austin Reaves OVER RA 10.5 (DEMON) [id:9869049],3
data/output/latest/late/Windfall/recommended_3leg.csv,7,3,3,0.13401910904420822,0.17967278005670073,0.045653671012492514,"[9868833, 9868852, 9869154]","[9868833, 9868852, 9869154]","[""Daniel Gafford"", ""Deandre Ayton"", ""Naji Marshall""]",Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852] | Naji Marshall OVER RA 10.5 (DEMON) [id:9869154],3
data/output/latest/late/Windfall/recommended_3leg.csv,8,3,3,0.1518690730956389,0.1676341957100667,0.015765122614427807,"[9868989, 9868883, 9868954]","[9868989, 9868883, 9868954]","[""P.J. Washington"", ""LeBron James"", ""Naji Marshall""]",P.J. Washington OVER REB 4.5 (GOBLIN) [id:9868989] | LeBron James UNDER PRA 37.5 (STANDARD) [id:9868883] | Naji Marshall OVER AST 4.5 (DEMON) [id:9868954],3
data/output/latest/late/Windfall/recommended_3leg.csv,9,3,3,0.17990055020337273,0.1660498022133627,-0.013850747990010015,"[9868863, 9868806, 9868967]","[9868863, 9868806, 9868967]","[""LeBron James"", ""Caleb Martin"", ""Naji Marshall""]",LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Caleb Martin UNDER PTS 7.5 (STANDARD) [id:9868806] | Naji Marshall OVER REB 6.5 (DEMON) [id:9868967],3
data/output/latest/late/Windfall/recommended_3leg.csv,10,3,3,0.16822475428011557,0.157415606696315,-0.010809147583800582,"[9868833, 9868858, 9869049]","[9868833, 9868858, 9869049]","[""Daniel Gafford"", ""Deandre Ayton"", ""Austin Reaves""]",Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Deandre Ayton UNDER RA 10.5 (STANDARD) [id:9868858] | Austin Reaves OVER RA 10.5 (DEMON) [id:9869049],3
data/output/latest/late/Windfall/recommended_3leg.csv,11,3,3,0.12635717121639872,0.1405866254799195,0.014229454263520791,"[9868833, 9868986, 9869148]","[9868833, 9868986, 9869148]","[""Daniel Gafford"", ""P.J. Washington"", ""Naji Marshall""]",Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Naji Marshall OVER PRA 31.5 (DEMON) [id:9869148],3
data/output/latest/late/System/recommended_5leg.csv,0,5,5,0.1897083949699699,0.16330661270766744,-0.02640178226230247,"[9869048, 9868863, 9868914, 9868808, 9868986]","[9869048, 9868863, 9868914, 9868808, 9868986]","[""Austin Reaves"", ""LeBron James"", ""Marcus Smart"", ""Caleb Martin"", ""P.J. Washington""]",Austin Reaves OVER RA 7.5 (GOBLIN) [id:9869048] | LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986],5
data/output/latest/late/System/recommended_5leg.csv,1,5,5,0.12798606587719594,0.16057958429338443,0.03259351841618849,"[9868966, 9868989, 9869135, 9868858, 9868890]","[9868966, 9868989, 9869135, 9868858, 9868890]","[""Naji Marshall"", ""P.J. Washington"", ""Max Christie"", ""Deandre Ayton"", ""LeBron James""]",Naji Marshall OVER REB 4.5 (GOBLIN) [id:9868966] | P.J. Washington OVER REB 4.5 (GOBLIN) [id:9868989] | Max Christie OVER RA 5.5 (GOBLIN) [id:9869135] | Deandre Ayton UNDER RA 10.5 (STANDARD) [id:9868858] | LeBron James UNDER RA 14.5 (STANDARD) [id:9868890],5
