run_id,eval_rows,settled_eval_rows,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,logloss_p_adj,logloss_p_cal,games_used_min,games_used_lt5_share,role_ctx_outs_used_share,questionable_share,q_out_frac_mean,p_cal_equal_p_adj_share
20260311_162201,2937,2937,0.413687,0.384176,0.394606,0.196604,0.197573,0.574871,0.577568,9.0,0.0,0.219811,0.0,0.0,0.780189
20260311_162437,5789,5789,0.407324,0.383393,0.393668,0.203261,0.203102,0.591253,0.590673,0.0,0.006449,0.242202,0.0,0.0,0.757798
20260311_162636,2484,2484,0.419082,0.379743,0.382852,0.213206,0.212042,0.613792,0.610955,30.0,0.0,0.07429,0.0,0.0,0.92571
20260311_162914,5206,5206,0.412601,0.399878,0.414032,0.214152,0.215049,0.617868,0.619505,0.0,0.007025,0.328065,0.0,0.0,0.671935
20260311_163213,2932,2932,0.395634,0.398028,0.39896,0.206076,0.205702,0.597073,0.596174,13.0,0.0,0.023433,0.0,0.0,0.976567
20260311_163541,4354,4354,0.432706,0.394214,0.406613,0.225746,0.226359,0.648223,0.649355,0.0,0.013826,0.286194,0.0,0.0,0.713806
20260311_163805,4361,4361,0.441871,0.408194,0.417407,0.202154,0.201083,0.587701,0.585505,2.0,0.009376,0.199144,0.0,0.0,0.800856
20260311_164048,2935,2935,0.427598,0.388496,0.396949,0.218269,0.217913,0.626613,0.625906,0.0,0.006081,0.188507,0.0,0.0,0.811493
20260311_164326,4765,4765,0.427282,0.41025,0.417783,0.206959,0.205609,0.596749,0.593649,0.0,0.014657,0.172224,0.0,0.0,0.827776
20260311_164538,2181,2181,0.435122,0.347518,0.350915,0.230924,0.23096,0.659427,0.659108,28.0,0.0,0.080932,0.0,0.0,0.919068
