n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.1928381301209095,6.0,1.0,6.0,1.1570287807254571,6.0,atlas,0.5830530829038525,0.05403161288005356,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1570287807254571,"['lamelo ball', 'tristan silva', 'jaime jaquez']",1,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
3,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0.19211230222099865,6.0,1.0,6.0,1.152673813325992,6.0,atlas,0.5850871641527234,0.0554832469003772,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0.0,0.0,0.0,0.0,0.0,0,0.0,1.152673813325992,"['ryan kalkbrenner', 'tristan silva', 'brandon miller']",1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0,
3,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.18694107924952463,6.0,1.0,6.0,1.1216464754971478,6.0,atlas,0.5777022080987674,0.04470734216525419,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1216464754971478,"['norman powell', 'tristan silva', 'ryan kalkbrenner']",1,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.17479815812616953,6.0,1.0,6.0,1.0487889487570172,6.0,atlas,0.5600894454462347,0.04280281894463057,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0487889487570172,"['jaime jaquez', ""kel'el ware"", 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.1727528442436326,6.0,1.0,6.0,1.0365170654617957,6.0,atlas,0.5591094040607588,0.04375011563748966,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0365170654617957,"['collin gillespie', ""kel'el ware"", 'tyler herro']",1,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
3,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.16907664212589954,6.0,1.0,6.0,1.0144598527553972,6.0,atlas,0.5549513249922747,0.03103801184404024,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0144598527553972,"['ryan kalkbrenner', 'moussa diabaté', 'davion mitchell']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0,
3,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.16796850329233962,6.0,1.0,6.0,1.0078110197540378,6.0,atlas,0.55353900991641,0.033976221592197216,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0078110197540378,"['tyler herro', 'moussa diabaté', 'grayson allen']",1,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Collin Gillespie OVER PTS 13.5 (DEMON) [id:10649141],0.1675644515801212,6.0,1.0,6.0,1.0053867094807272,6.0,atlas,0.5536806390823417,0.03390102908832019,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Collin Gillespie OVER PTS 13.5 (DEMON) [id:10649141],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0053867094807272,"['ryan kalkbrenner', 'moussa diabaté', 'collin gillespie']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Collin Gillespie OVER PTS 13.5 (DEMON) [id:10649141],0,
3,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0.167106708533305,6.0,1.0,6.0,1.00264025119983,6.0,atlas,0.553417292312857,0.03430042908950206,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0.0,0.0,0.0,0.0,0.0,0,0.0,1.00264025119983,"['davion mitchell', ""kel'el ware"", 'lamelo ball']",1,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],LaMelo Ball OVER PTS 23.5 (DEMON) [id:10645622],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Brandon Miller OVER PRA 34.5 (DEMON) [id:10644466],0.1666467255267513,6.0,1.0,6.0,0.9998803531605078,6.0,atlas,0.5527021546959007,0.04506604681086198,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Brandon Miller OVER PRA 34.5 (DEMON) [id:10644466],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9998803531605078,"['norman powell', ""kel'el ware"", 'brandon miller']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Brandon Miller OVER PRA 34.5 (DEMON) [id:10644466],0,
3,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Ryan Kalkbrenner OVER PA 9.5 (DEMON) [id:10644579],0.16518013200893245,6.0,1.0,6.0,0.9910807920535947,6.0,atlas,0.5510830100590348,0.05551579056607917,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Ryan Kalkbrenner OVER PA 9.5 (DEMON) [id:10644579],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9910807920535947,"['brandon miller', 'moussa diabaté', 'ryan kalkbrenner']",1,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Ryan Kalkbrenner OVER PA 9.5 (DEMON) [id:10644579],0,
