n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.23848258606174458,6.0,1.0,6.0,1.4308955163704675,6.0,atlas,0.6255588596311489,0.026920290919554793,Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.0,0.0,0.0,0.0,0.0,0,0.0,1.4308955163704675,"['jaime jaquez', 'jett howard', 'tristan silva']",1,Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0,
3,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Tyler Herro UNDER REB 5 (STANDARD) [id:10651046] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.2068531725519192,6.0,1.0,6.0,1.2411190353115154,6.0,atlas,0.5997968574639794,0.027103642730624804,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Tyler Herro UNDER REB 5 (STANDARD) [id:10651046] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2411190353115154,"['bam adebayo', 'tyler herro', 'tristan silva']",1,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],Tyler Herro UNDER REB 5 (STANDARD) [id:10651046],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Jalen Green OVER PR 26.5 (STANDARD) [id:10649340] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.20134956413583407,6.0,1.0,6.0,1.2080973848150045,6.0,atlas,0.5949533285759068,0.045096415294443776,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Jalen Green OVER PR 26.5 (STANDARD) [id:10649340] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2080973848150045,"['jaime jaquez', 'jalen green', 'tristan silva']",1,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Jalen Green OVER PR 26.5 (STANDARD) [id:10649340],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0,
3,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0.2004063934194899,6.0,1.0,6.0,1.2024383605169393,6.0,atlas,0.5915340389505742,0.0825035512961333,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2024383605169393,"['davion mitchell', 'tristan silva', 'ajay mitchell']",1,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0,
3,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.1989846441192303,6.0,1.0,6.0,1.1939078647153818,6.0,atlas,0.5900531807938699,0.0444748408270573,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1939078647153818,"['tyler herro', 'ayo dosunmu', 'tristan silva']",1,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729],Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0,
3,Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.19641785591147382,6.0,1.0,6.0,1.178507135468843,6.0,atlas,0.582515654927458,0.026914986653275564,Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.0,0.0,0.0,0.0,0.0,0,0.0,1.178507135468843,"['grayson allen', 'moussa diabaté', 'trendon watford']",1,Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0,
3,Bam Adebayo OVER PA 19.5 (GOBLIN) [id:10644445] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.19573562726636062,6.0,1.0,6.0,1.1744137635981637,6.0,atlas,0.5818180264652106,0.027157437998750405,Bam Adebayo OVER PA 19.5 (GOBLIN) [id:10644445] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1744137635981637,"['bam adebayo', 'shai gilgeous-alexander', 'trendon watford']",1,Bam Adebayo OVER PA 19.5 (GOBLIN) [id:10644445],Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0,
3,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.19256469802583745,6.0,1.0,6.0,1.1553881881550248,6.0,atlas,0.5794367048205521,0.053698533459856305,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1553881881550248,"['davion mitchell', 'lamelo ball', ""kel'el ware""]",1,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0,
3,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.1896834434685495,6.0,1.0,6.0,1.1381006608112971,6.0,atlas,0.5752699047934706,0.026553378087759278,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1381006608112971,"['oso ighodaro', 'moussa diabaté', 'shai gilgeous-alexander']",1,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0,
3,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.18674338314674174,6.0,1.0,6.0,1.1204602988804504,6.0,atlas,0.5725501472032731,0.05375764639884969,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1204602988804504,"['grayson allen', 'davion mitchell', 'jett howard']",1,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210],Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0,
3,Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.1836101029824599,6.0,1.0,6.0,1.1016606178947592,6.0,atlas,0.5689188389700475,0.02666021240615726,Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1016606178947592,"['donte divincenzo', 'trendon watford', ""royce o'neale""]",1,Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0,
