rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Jarrett Allen,CLE,TOR,PA,OVER,7.5,86.5,0.8653922291580624,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
2,GOBLIN,Jarrett Allen,CLE,TOR,PTS,OVER,7.5,88.1,0.8813721683001308,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
3,GOBLIN,Jarrett Allen,CLE,TOR,PTS,OVER,8.5,87.6,0.8761073097253895,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
4,GOBLIN,Dean Wade,CLE,TOR,RA,OVER,3.5,86.7,0.8668171220956242,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
5,GOBLIN,Jarrett Allen,CLE,TOR,PA,OVER,9.5,86.3,0.8634027683550517,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
6,GOBLIN,Jarrett Allen,CLE,TOR,PRA,OVER,14.5,86.3,0.8632446472823787,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
7,GOBLIN,Jarrett Allen,CLE,TOR,PR,OVER,14.5,86.2,0.8621654555266025,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
8,GOBLIN,Jarrett Allen,CLE,TOR,PRA,OVER,15.5,85.8,0.8579500591744925,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
9,GOBLIN,Sam Merrill,CLE,TOR,PA,OVER,4.5,85.2,0.8519582417646809,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
10,GOBLIN,Isaiah Stewart,DET,ORL,PR,OVER,5.5,75.4,0.7537227604815051,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
1,STANDARD,Anthony Black,ORL,DET,PRA,UNDER,19.5,82.3,0.8232489091706129,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
2,STANDARD,Anthony Black,ORL,DET,PA,UNDER,15.5,79.5,0.7951668407840751,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
3,STANDARD,Anthony Black,ORL,DET,PR,UNDER,16.5,82.3,0.8226436976206903,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
4,STANDARD,Anthony Black,ORL,DET,REB,UNDER,3.5,84.1,0.8411989235127598,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
5,STANDARD,Anthony Black,ORL,DET,PTS,UNDER,12.5,80.2,0.801724286509347,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
6,STANDARD,Anthony Black,ORL,DET,RA,UNDER,6.5,84.1,0.8412309255754349,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_151508,2026-05-01 15:18:56
7,STANDARD,Jamal Shead,TOR,CLE,PTS,UNDER,9.5,85.4,0.8544924207725461,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
8,STANDARD,Jamal Shead,TOR,CLE,PR,UNDER,11.5,85.9,0.8587393671447184,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
9,STANDARD,Jamal Shead,TOR,CLE,PRA,UNDER,17.5,88.5,0.8853542845496468,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_151508,2026-05-01 15:18:56
