role_ctx_reason,rows,hit_rate,mean_pred,mean_p_adj,mean_p_cal,gap,abs_gap,brier,logloss
no_outs,24324,0.42390231869758266,0.38609485090533135,0.38569073824346395,0.38609485090533135,-0.037807467792251304,0.037807467792251304,0.21255179288960882,0.6130598621084505
no_beneficiary_match,1490,0.37583892617449666,0.40316431758531146,0.40295771575104883,0.40316431758531146,0.027325391410814803,0.027325391410814803,0.18499663595065133,0.5464342870266312
combo_no_effect,4230,0.4101654846335697,0.3931159550132388,0.3925469808099529,0.3931159550132388,-0.017049529620330905,0.017049529620330905,0.2154961101828998,0.6191082970681913
ok_combo,4470,0.4628635346756152,0.47860971093047294,0.42340118653428477,0.47860971093047294,0.015746176254857747,0.015746176254857747,0.21124298931309057,0.6102010501528536
ok,6408,0.4091760299625468,0.40820647551047484,0.39249687410262857,0.40820647551047484,-0.0009695544520719745,0.0009695544520719745,0.20037877877618884,0.5845760463181912
