stat,direction,rows,hit_rate,mean_pred,mean_p_adj,mean_p_cal,gap,abs_gap,brier,logloss
FG3M,UNDER,134,0.6194029850746269,0.4863149458276453,0.46993018694855,0.4863149458276453,-0.1330880392469816,0.1330880392469816,0.25570389009257916,0.7052641671895911
RA,UNDER,567,0.5291005291005291,0.47349379037594064,0.4579746904212566,0.47349379037594064,-0.055606738724588434,0.055606738724588434,0.25639018109174816,0.707261166796777
PRA,UNDER,938,0.5255863539445629,0.47694502878018075,0.46083187943738513,0.47694502878018075,-0.04864132516438213,0.04864132516438213,0.25431223950163684,0.7033218388657672
REB,UNDER,546,0.5457875457875457,0.49878036857099256,0.48725903265051923,0.49878036857099256,-0.047007177216553175,0.047007177216553175,0.2588331715015528,0.7125147728860294
PA,UNDER,848,0.5200471698113207,0.480595301114369,0.4665141830519721,0.480595301114369,-0.03945186869695172,0.03945186869695172,0.25383967642421174,0.7021070951018116
AST,UNDER,343,0.5131195335276968,0.47541654733241256,0.4701462423282699,0.47541654733241256,-0.03770298619528423,0.03770298619528423,0.24787599531241425,0.689182194856197
PR,UNDER,934,0.5192719486081371,0.48259349504825777,0.4681901689149269,0.48259349504825777,-0.03667845355987931,0.03667845355987931,0.25337522573896487,0.7012108104386029
PR,OVER,4449,0.42121825129242524,0.3889278919732478,0.37777028268460144,0.3889278919732478,-0.03229035931917745,0.03229035931917745,0.20418016367342623,0.5929558984366442
PRA,OVER,5239,0.4390150792135904,0.40825782444185815,0.39563642593416937,0.40825782444185815,-0.030757254771732245,0.030757254771732245,0.22326399483140671,0.6399221902539062
PTS,OVER,6027,0.44267463082794095,0.4141695030019511,0.40848861290773686,0.4141695030019511,-0.02850512782598985,0.02850512782598985,0.21120410870801218,0.6113060500796034
PA,OVER,3754,0.4128929142248269,0.38836430565013175,0.377707549963602,0.38836430565013175,-0.024528608574695132,0.024528608574695132,0.20291939324398295,0.5908063207057496
PTS,UNDER,921,0.5179153094462541,0.5001499795139221,0.4936680720677058,0.5001499795139221,-0.01776532993233193,0.01776532993233193,0.2543260778704717,0.7031695840405954
RA,OVER,4745,0.40273972602739727,0.3873430647232559,0.37651539970623277,0.3873430647232559,-0.015396661304141357,0.015396661304141357,0.20666800726655343,0.6015838150131646
REB,OVER,4844,0.384186622625929,0.3778882796534698,0.3728454048969896,0.3778882796534698,-0.006298342972459181,0.006298342972459181,0.19245522631204434,0.5668977448895712
