n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Aaron Gordon OVER PRA 23.5 (STANDARD) [id:10644390] | Coby White OVER PA 16.5 (STANDARD) [id:10643854],0.912722573110602,6.0,1.0,6.0,5.476335438663612,6.0,atlas,0.9701529847015299,0.13705412405444004,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Aaron Gordon OVER PRA 23.5 (STANDARD) [id:10644390] | Coby White OVER PA 16.5 (STANDARD) [id:10643854],0.0,0.0,0.0,0.0,0.0,0,0.0,5.476335438663612,"['lamelo ball', 'aaron gordon', 'coby white']",1,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873],Aaron Gordon OVER PRA 23.5 (STANDARD) [id:10644390],Coby White OVER PA 16.5 (STANDARD) [id:10643854],0,
3,Jaime Jaquez OVER PRA 21.5 (GOBLIN) [id:10645606] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | James Harden OVER PRA 33.5 (STANDARD) [id:10645158],0.8950867580959485,6.0,1.0,6.0,5.370520548575691,6.0,atlas,0.9637869546378696,0.11354041461199878,Jaime Jaquez OVER PRA 21.5 (GOBLIN) [id:10645606] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | James Harden OVER PRA 33.5 (STANDARD) [id:10645158],0.0,0.0,0.0,0.0,0.0,0,0.0,5.370520548575691,"['jaime jaquez', 'tyler herro', 'james harden']",1,Jaime Jaquez OVER PRA 21.5 (GOBLIN) [id:10645606],Tyler Herro OVER PR 27 (STANDARD) [id:10644162],James Harden OVER PRA 33.5 (STANDARD) [id:10645158],0,
3,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043] | Mitchell Robinson OVER PR 13.5 (STANDARD) [id:10650957] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.8890163025822222,6.0,1.0,6.0,5.334097815493333,6.0,atlas,0.9617871546178716,0.21839924578460615,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043] | Mitchell Robinson OVER PR 13.5 (STANDARD) [id:10650957] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.0,0.0,0.0,0.0,0.0,0,0.0,5.334097815493333,"['bub carrington', 'mitchell robinson', 'kon knueppel']",1,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043],Mitchell Robinson OVER PR 13.5 (STANDARD) [id:10650957],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0,
3,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Ausar Thompson OVER RA 7.5 (STANDARD) [id:10647429] | James Harden OVER PA 27.5 (STANDARD) [id:10645156],0.8864501347563076,6.0,1.0,6.0,5.318700808537846,6.0,atlas,0.9608205846082059,0.2957708206191148,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Ausar Thompson OVER RA 7.5 (STANDARD) [id:10647429] | James Harden OVER PA 27.5 (STANDARD) [id:10645156],0.0,0.0,0.0,0.0,0.0,0,0.0,5.318700808537846,"['bub carrington', 'ausar thompson', 'james harden']",1,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481],Ausar Thompson OVER RA 7.5 (STANDARD) [id:10647429],James Harden OVER PA 27.5 (STANDARD) [id:10645156],0,
3,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0.8860318625370219,6.0,1.0,6.0,5.316191175222132,6.0,atlas,0.9607539246075393,0.08265509127535232,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0.0,0.0,0.0,0.0,0.0,0,0.0,5.316191175222132,"['ajay mitchell', 'tyler herro', 'naz reid']",1,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],0,
3,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Russell Westbrook OVER PRA 26.5 (STANDARD) [id:10650601] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0.880543222269267,6.0,1.0,6.0,5.283259333615602,6.0,atlas,0.9584874845848748,0.09678651053891496,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Russell Westbrook OVER PRA 26.5 (STANDARD) [id:10650601] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0.0,0.0,0.0,0.0,0.0,0,0.0,5.283259333615602,"['rudy gobert', 'russell westbrook', 'tyler herro']",1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Russell Westbrook OVER PRA 26.5 (STANDARD) [id:10650601],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0,
3,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.8796364568460978,6.0,1.0,6.0,5.277818741076587,6.0,atlas,0.9581541845815419,0.099451314287152,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.0,0.0,0.0,0.0,0.0,0,0.0,5.277818741076587,"['miles bridges', 'ajay mitchell', 'lamelo ball']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0,
3,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341] | James Harden OVER PA 27.5 (STANDARD) [id:10645156] | Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029],0.8787394347493883,6.0,1.0,6.0,5.27243660849633,6.0,atlas,0.9578542145785421,0.16055465570506497,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341] | James Harden OVER PA 27.5 (STANDARD) [id:10645156] | Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029],0.0,0.0,0.0,0.0,0.0,0,0.0,5.27243660849633,"['wendell carter', 'james harden', 'shai gilgeous-alexander']",1,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341],James Harden OVER PA 27.5 (STANDARD) [id:10645156],Shai Gilgeous-Alexander OVER PR 36 (STANDARD) [id:10645029],0,
3,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088] | Mitchell Robinson OVER REB 8.5 (STANDARD) [id:10654504] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0.8784677327771314,6.0,1.0,6.0,5.270806396662788,6.0,atlas,0.9579208745792087,0.17149043732250213,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088] | Mitchell Robinson OVER REB 8.5 (STANDARD) [id:10654504] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0.0,0.0,0.0,0.0,0.0,0,0.0,5.270806396662788,"['josh hart', 'mitchell robinson', 'jaylon tyson']",1,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088],Mitchell Robinson OVER REB 8.5 (STANDARD) [id:10654504],Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.877877079212671,6.0,1.0,6.0,5.267262475276026,6.0,atlas,0.9575542445755425,0.06065039799478648,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.0,0.0,0.0,0.0,0.0,0,0.0,5.267262475276026,"['davion mitchell', 'grayson allen', 'lamelo ball']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0,
3,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Andrew Nembhard OVER PRA 22.5 (STANDARD) [id:10650929],0.8763362963867436,6.0,1.0,6.0,5.258017778320461,6.0,atlas,0.9570209645702096,0.12909215346475714,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Andrew Nembhard OVER PRA 22.5 (STANDARD) [id:10650929],0.0,0.0,0.0,0.0,0.0,0,0.0,5.258017778320461,"['jaime jaquez', 'davion mitchell', 'andrew nembhard']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],Andrew Nembhard OVER PRA 22.5 (STANDARD) [id:10650929],0,
