run_id,eval_rows,settled_eval_rows,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,logloss_p_adj,logloss_p_cal,games_used_min,games_used_lt5_share,role_ctx_outs_used_share,questionable_share,q_out_frac_mean,p_cal_equal_p_adj_share
20260312_181254,35,35,0.428571,0.389248,0.400633,0.225167,0.228305,0.637727,0.645035,11.0,0.0,0.264402,0.0,0.0,0.639402
20260312_181601,425,425,0.381176,0.381805,0.391744,0.206529,0.20657,0.599312,0.599397,0.0,0.002386,0.243359,0.0,0.0,0.656434
20260312_181837,2518,2518,0.45552,0.391269,0.398957,0.205442,0.203704,0.595946,0.591681,11.0,0.0,0.163181,0.0,0.0,0.726553
20260312_182119,2937,2937,0.413687,0.383864,0.394176,0.196713,0.197705,0.575152,0.577914,10.0,0.0,0.219811,0.0,0.0,0.681447
20260312_182414,5789,5789,0.407324,0.38328,0.393345,0.203201,0.20306,0.591093,0.590554,0.0,0.006449,0.239802,0.0,0.0,0.660018
20260312_182613,2484,2484,0.419082,0.379596,0.381933,0.213953,0.212958,0.615468,0.612946,31.0,0.0,0.059911,0.0,0.0,0.816844
20260312_182856,5206,5206,0.412601,0.39982,0.413701,0.213781,0.214653,0.61694,0.618566,0.0,0.007025,0.324025,0.0,0.0,0.588514
20260312_183112,2932,2932,0.395634,0.398222,0.39903,0.206229,0.205876,0.597508,0.596652,13.0,0.0,0.023433,0.0,0.0,0.846738
20260312_183340,4354,4354,0.432706,0.393747,0.405532,0.225337,0.225926,0.647152,0.648232,0.0,0.013826,0.273948,0.0,0.0,0.632826
20260312_183611,4361,4361,0.441871,0.407797,0.416258,0.201391,0.200153,0.585866,0.582964,2.0,0.009376,0.185895,0.0,0.0,0.713004
20260312_183828,2935,2935,0.427598,0.388429,0.396757,0.217547,0.217197,0.624961,0.624271,0.0,0.006081,0.188507,0.0,0.0,0.708118
20260312_184106,4765,4765,0.427282,0.409976,0.417398,0.20713,0.205798,0.597189,0.594127,0.0,0.014657,0.172224,0.0,0.0,0.723159
20260312_184316,2181,2181,0.435122,0.360715,0.363972,0.228052,0.228057,0.650447,0.650051,29.0,0.0,0.080932,0.0,0.0,0.801421
