category,mode,n_legs,slip_count,mean_hit_prob,mean_ev_mult,strict_win_rate,mean_q_leg_count
system,ev,3,130,0.297753,2.050519,0.14697,0.0
system,ev,4,130,0.273639,1.970464,0.101876,0.0
system,ev,5,130,0.24782,2.251337,0.079004,0.0
system,winprob,3,130,0.55152,3.309119,0.312121,0.0
system,winprob,4,130,0.441888,4.418876,0.34026,0.0
system,winprob,5,130,0.359116,7.182318,0.272727,0.0
top,ev,3,130,0.297753,2.050519,0.14697,0.0
top,ev,4,130,0.273639,1.970464,0.101876,0.0
top,ev,5,130,0.24782,2.251337,0.079004,0.0
top,winprob,3,130,0.55152,3.309119,0.312121,0.0
top,winprob,4,130,0.441888,4.418876,0.34026,0.0
top,winprob,5,130,0.359116,7.182318,0.272727,0.0
windfall,ev,3,130,0.166222,1.152114,0.156926,0.0
windfall,ev,4,130,0.094303,1.39837,0.115152,0.0
windfall,ev,5,130,0.075597,1.477306,0.045455,0.0
windfall,winprob,3,130,0.46954,2.817241,0.466234,0.0
windfall,winprob,4,130,0.350412,3.504123,0.286364,0.0
windfall,winprob,5,130,0.287517,5.750334,0.187987,0.0
