run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260312_181254,0.428571,0.389248,0.400633,0.225167,0.228305,0.0,0.264402
20260312_181601,0.381176,0.381805,0.391744,0.206529,0.20657,0.002386,0.243359
20260312_181837,0.45552,0.391269,0.398957,0.205442,0.203704,0.0,0.163181
20260312_182119,0.413687,0.383864,0.394176,0.196713,0.197705,0.0,0.219811
20260312_182414,0.407324,0.38328,0.393345,0.203201,0.20306,0.006449,0.239802
20260312_182613,0.419082,0.379596,0.381933,0.213953,0.212958,0.0,0.059911
20260312_182856,0.412601,0.39982,0.413701,0.213781,0.214653,0.007025,0.324025
20260312_183112,0.395634,0.398222,0.39903,0.206229,0.205876,0.0,0.023433
20260312_183340,0.432706,0.393747,0.405532,0.225337,0.225926,0.013826,0.273948
20260312_183611,0.441871,0.407797,0.416258,0.201391,0.200153,0.009376,0.185895
20260312_183828,0.427598,0.388429,0.396757,0.217547,0.217197,0.006081,0.188507
20260312_184106,0.427282,0.409976,0.417398,0.20713,0.205798,0.014657,0.172224
20260312_184316,0.435122,0.360715,0.363972,0.228052,0.228057,0.0,0.080932
