slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.4456,1.931,0.8604,Jakob Poeltl,TOR,CLE,PR,OVER,GOBLIN,11.5,0.7186
3-leg,True,0.4456,1.931,0.8604,Anthony Black,ORL,DET,PR,UNDER,STANDARD,16.5,0.7186
3-leg,True,0.4456,1.931,0.8604,Austin Reaves,LAL,HOU,RA,UNDER,STANDARD,10.0,0.7186
4-leg,True,0.2781,1.897,0.5276,Sam Merrill,CLE,TOR,PA,OVER,GOBLIN,4.5,0.7186
4-leg,True,0.2781,1.897,0.5276,Reed Sheppard,HOU,LAL,REB,OVER,GOBLIN,1.5,0.7186
4-leg,True,0.2781,1.897,0.5276,Dennis Schröder,CLE,TOR,PTS,UNDER,STANDARD,6.5,0.7186
4-leg,True,0.2781,1.897,0.5276,Jamal Shead,TOR,CLE,PA,UNDER,STANDARD,14.5,0.7186
5-leg,False,0.0862,2.145,0.1849,Jarrett Allen,CLE,TOR,PTS,OVER,GOBLIN,8.5,0.7186
5-leg,False,0.0862,2.145,0.1849,Dean Wade,CLE,TOR,RA,OVER,GOBLIN,3.5,0.7186
5-leg,False,0.0862,2.145,0.1849,Tari Eason,HOU,LAL,REB,UNDER,STANDARD,7.0,0.6228
5-leg,False,0.0862,2.145,0.1849,Isaiah Stewart,DET,ORL,PTS,UNDER,STANDARD,5.5,0.7012
5-leg,False,0.0862,2.145,0.1849,Jalen Duren,DET,ORL,PTS,OVER,DEMON,14.5,0.4037
