"projection_id","control_p_adj","variant_p_adj","delta_p_adj","control_hit_prob","variant_hit_prob","delta_hit_prob","control_ev_mult","variant_ev_mult","delta_ev_mult","control_role_ctx_mult","variant_role_ctx_mult","delta_role_ctx_mult"
"9840110","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843767","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834250","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834328","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838341","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838595","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838549","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838586","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843928","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833906","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833922","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838370","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838393","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9839965","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9839966","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9840701","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833921","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834247","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834273","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834277","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834294","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834304","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834314","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834325","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834339","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834345","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837270","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837280","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837282","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837291","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837296","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837495","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837499","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837504","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837506","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837518","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837524","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838368","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838553","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9846346","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834327","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
