game_date,player,team,opp,minutes,pts,reb,ast,fg3m,fga,fta,tov,usg_proxy
10/3/2025,Bronny James,LAL,PHX,24,8,5,2,1,12,6,2,0.693333
10/4/2025,OG Anunoby,NY,PHI,17,13,2,1,3,7,2,1,0.522353
10/4/2025,Karl-Anthony Towns,NY,PHI,17,6,3,1,0,4,4,0,0.338824
10/4/2025,Mitchell Robinson,NY,PHI,13,6,8,0,0,5,2,1,0.529231
10/4/2025,Mikal Bridges,NY,PHI,17,10,2,1,0,4,2,2,0.404706
10/4/2025,Jalen Brunson,NY,PHI,17,14,1,2,1,10,4,0,0.691765
10/4/2025,Matt Ryan,NY,PHI,9,3,1,1,1,4,0,0,0.444444
10/4/2025,Guerschon Yabusele,NY,PHI,15,3,2,2,1,3,0,1,0.266667
10/4/2025,Trey Jemison III,NY,PHI,9,7,3,0,0,5,2,0,0.653333
10/4/2025,Tosan Evbuomwan,NY,PHI,9,7,2,3,1,3,0,1,0.444444
10/4/2025,Pacome Dadiet,NY,PHI,8,0,1,1,0,2,0,0,0.25
10/4/2025,Mohamed Diawara,NY,PHI,9,3,2,0,1,2,0,1,0.333333
10/4/2025,Ariel Hukporti,NY,PHI,10,5,3,1,0,2,2,1,0.388
10/4/2025,Jordan Clarkson,NY,PHI,14,7,1,2,1,5,4,2,0.625714
10/4/2025,Malcolm Brogdon,NY,PHI,12,5,4,1,0,3,3,1,0.443333
10/4/2025,Garrison Mathews,NY,PHI,14,6,0,1,1,5,3,0,0.451429
10/4/2025,Landry Shamet,NY,PHI,9,6,0,0,1,2,3,1,0.48
10/4/2025,Kevin McCullar Jr.,NY,PHI,13,8,2,1,1,7,2,0,0.606154
10/4/2025,Miles McBride,NY,PHI,16,2,3,2,0,3,0,1,0.25
10/4/2025,Tyler Kolek,NY,PHI,14,2,3,1,0,9,0,1,0.714286
10/4/2025,Dominick Barlow,PHI,NY,30,6,2,0,1,6,2,0,0.229333
10/4/2025,Adem Bona,PHI,NY,16,2,1,0,0,2,0,1,0.1875
10/4/2025,Kelly Oubre Jr.,PHI,NY,26,13,5,3,2,13,4,0,0.567692
10/4/2025,Tyrese Maxey,PHI,NY,18,16,2,2,3,10,6,1,0.757778
10/4/2025,VJ Edgecombe,PHI,NY,24,10,2,5,1,9,3,2,0.513333
10/4/2025,Jabari Walker,PHI,NY,19,10,2,2,0,5,4,2,0.461053
10/4/2025,Johni Broome,PHI,NY,15,6,4,0,0,3,0,0,0.2
10/4/2025,Justin Edwards,PHI,NY,26,4,8,2,1,7,2,4,0.456923
10/4/2025,Saint Thomas,PHI,NY,2,0,0,0,0,0,0,0,0.0
10/4/2025,Andre Drummond,PHI,NY,16,7,11,1,1,4,0,2,0.375
10/4/2025,Malcolm Hill,PHI,NY,14,15,1,1,3,9,3,2,0.88
10/4/2025,Kennedy Chandler,PHI,NY,33,15,3,6,0,11,7,5,0.578182
10/4/2025,Anthony Lamb,HAPOEL,BKN,29,13,8,4,2,15,5,2,0.662069
10/4/2025,Yovel Zoosman,HAPOEL,BKN,24,6,1,0,2,7,0,3,0.416667
10/4/2025,Austin Wiley,HAPOEL,BKN,24,14,11,0,0,9,7,1,0.545
10/4/2025,Khadeen Carrington,HAPOEL,BKN,24,13,2,2,0,10,8,2,0.646667
10/4/2025,Jared Harper,HAPOEL,BKN,23,9,1,4,1,5,4,1,0.337391
10/4/2025,Justin Smith,HAPOEL,BKN,21,16,7,2,0,9,3,1,0.539048
10/4/2025,Josiah-Jordan James,HAPOEL,BKN,30,0,2,0,0,4,0,0,0.133333
10/4/2025,Nimrod Levi,HAPOEL,BKN,22,7,3,1,0,10,4,1,0.58
10/4/2025,Dmytro Skapintsev,HAPOEL,BKN,7,2,1,0,0,2,4,0,0.537143
10/4/2025,Roi Huber,HAPOEL,BKN,18,6,0,5,1,3,2,1,0.271111
10/4/2025,Roy Paretsky,HAPOEL,BKN,19,2,2,0,0,3,0,1,0.210526
10/4/2025,Michael Porter Jr.,BKN,HAPOEL,17,13,5,4,2,9,3,0,0.607059
10/4/2025,Nic Claxton,BKN,HAPOEL,15,11,8,0,1,7,1,0,0.496
10/4/2025,Terance Mann,BKN,HAPOEL,19,15,3,0,2,7,2,0,0.414737
10/4/2025,Cam Thomas,BKN,HAPOEL,17,8,2,4,0,7,0,1,0.470588
10/4/2025,Ben Saraf,BKN,HAPOEL,18,9,0,6,1,6,0,1,0.388889
10/4/2025,Drew Timme,BKN,HAPOEL,12,4,5,1,0,6,0,1,0.583333
10/4/2025,Jalen Wilson,BKN,HAPOEL,15,8,2,1,2,5,1,0,0.362667
10/4/2025,Dariq Whitehead,BKN,HAPOEL,8,2,0,0,0,2,0,2,0.5
10/4/2025,E.J. Liddell,BKN,HAPOEL,4,0,1,0,0,0,0,2,0.5
10/4/2025,Ziaire Williams,BKN,HAPOEL,17,7,2,2,1,4,2,1,0.345882
10/4/2025,Noah Clowney,BKN,HAPOEL,16,13,4,2,2,5,3,0,0.395
10/4/2025,Danny Wolf,BKN,HAPOEL,15,5,5,5,0,4,2,2,0.458667
10/4/2025,Day'Ron Sharpe,BKN,HAPOEL,14,7,5,1,1,5,0,1,0.428571
10/4/2025,Tyrese Martin,BKN,HAPOEL,16,3,3,2,1,5,0,1,0.375
10/4/2025,Tyson Etienne,BKN,HAPOEL,8,3,1,0,1,3,0,0,0.375
10/4/2025,Kobe Bufkin,BKN,HAPOEL,11,8,4,1,2,6,0,2,0.727273
10/4/2025,Nolan Traore,BKN,HAPOEL,18,7,2,2,1,6,2,1,0.437778
10/4/2025,Paolo Banchero,ORL,MIA,13,7,3,0,0,7,3,1,0.716923
10/4/2025,Tristan da Silva,ORL,MIA,15,12,3,1,2,9,0,1,0.666667
10/4/2025,Wendell Carter Jr.,ORL,MIA,13,10,5,0,1,7,1,1,0.649231
10/4/2025,Tyus Jones,ORL,MIA,13,3,2,1,1,3,0,1,0.307692
10/4/2025,Desmond Bane,ORL,MIA,13,9,6,3,1,7,2,1,0.683077
10/4/2025,Jonathan Isaac,ORL,MIA,15,4,4,0,0,4,6,0,0.442667
10/4/2025,Jamal Cain,ORL,MIA,16,10,2,1,0,8,1,0,0.5275
10/4/2025,Noah Penda,ORL,MIA,15,6,2,0,0,5,2,2,0.525333
10/4/2025,Goga Bitadze,ORL,MIA,16,6,8,0,1,4,1,4,0.5275
10/4/2025,Colin Castleton,ORL,MIA,5,5,4,0,0,2,2,2,0.976
10/4/2025,Orlando Robinson,ORL,MIA,9,4,2,1,0,3,0,0,0.333333
10/4/2025,Lester Quinones,ORL,MIA,5,2,2,2,0,2,2,0,0.576
10/4/2025,Reece Beekman,ORL,MIA,8,11,0,2,0,4,3,1,0.79
10/4/2025,Alex Morales,ORL,MIA,18,9,6,3,1,7,4,0,0.486667
10/4/2025,Anthony Black,ORL,MIA,21,5,3,3,1,7,4,3,0.56
10/4/2025,Jett Howard,ORL,MIA,19,10,2,2,2,8,0,1,0.473684
10/4/2025,Jase Richardson,ORL,MIA,24,13,4,2,3,11,0,0,0.458333
10/4/2025,Andrew Wiggins,MIA,ORL,12,11,0,2,2,6,2,0,0.573333
10/4/2025,Jaime Jaquez Jr.,MIA,ORL,20,6,4,3,1,7,2,2,0.494
10/4/2025,Nikola Jovic,MIA,ORL,12,10,3,2,1,6,3,0,0.61
10/4/2025,Bam Adebayo,MIA,ORL,13,7,5,1,0,5,8,0,0.655385
