player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Prince, Taurean",prince taurean,QUESTIONABLE,POR,POR,MIL,Injury/Illness - Neck; Surgery
"Youngblood, Chris",chris youngblood,QUESTIONABLE,POR,POR,OKC,G League - Two-Way
