player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Simpson, KJ",kj simpson,OUT,DEN,DEN,CHA,G League - Two-Way Injury/Illness - Right Hamstring;
"Anderson, Kyle",anderson kyle,QUESTIONABLE,MIN,MIN,UTA,Injury/Illness - Right Knee; Soreness
"Kuminga, Jonathan",jonathan kuminga,QUESTIONABLE,ATL,ATL,GSW,Inflammation
"Prince, Taurean",prince taurean,OUT,POR,POR,MIL,Injury/Illness - Neck; Surgery
