player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Isaac,Jonathan",isaac jonathan,QUESTIONABLE,DAL,DAL,ORL,Injury/Illness-LeftKnee;Soreness Injury/Illness-LeftHighAnkle;Sprain
"Wagner,Franz",franz wagner,OUT,DAL,DAL,ORL,injurymanagement Injury/Illness-RightAnkle;Injury management Injury/Illness-LeftKnee;Injury
"Kessler,Walker",kessler walker,OUT,DAL,DAL,UTA,recovery Injury/Illness-RightHip;
"Markkanen,Lauri",lauri markkanen,OUT,DAL,DAL,UTA,Impingement
"George,Kyshawn",george kyshawn,OUT,DAL,DAL,WAS,Injury/Illness-LeftElbow;Sprain
"Gill,Anthony",anthony gill,QUESTIONABLE,DAL,DAL,WAS,Injury/Illness-N/a;Illness
"Sarr,Alex",alex sarr,OUT,DAL,DAL,WAS,Strain
"Vukcevic,Tristan",tristan vukcevic,OUT,DAL,DAL,WAS,Injury/Illness-LeftThigh;Contusion Injury/Illness-LeftAnkle;Foot;
"Watkins,Jamir",jamir watkins,OUT,DAL,DAL,WAS,Sprain Injury/Illness-RightShoulder;Deep
"Whitmore,Cam",cam whitmore,OUT,DAL,DAL,WAS,VeinThrombosis Injury/Illness-LeftPlantarFascia; InjuryManagement
"Etienne,Tyson",etienne tyson,OUT,DAL,DAL,BKN,GLeague-Two-Way
"Johnson,Chaney",chaney johnson,OUT,DAL,DAL,BKN,GLeague-Two-Way
"Liddell,E.J.",e j liddell,OUT,DAL,DAL,BKN,GLeague-Two-Way
"Powell,Drake",drake powell,OUT,DAL,DAL,BKN,"GLeague-OnAssignment MiamiHeat Fontecchio,Simone Out Injury/Illness-LeftGroin;Strain"
"Goldin,Vladislav",goldin vladislav,OUT,DAL,DAL,MIA,GLeague-Two-Way
"Johnson,Keshad",johnson keshad,OUT,DAL,DAL,MIA,GLeague-OnAssignment Injury/Illness-LowBack;Injury
"Larsson,Pelle",larsson pelle,AVAILABLE,DAL,DAL,MIA,Injury/Illness-Left3rdMallet;Finger Injury/Illness-LeftShoulder;
"Mitchell,Davion",davion mitchell,AVAILABLE,DAL,DAL,MIA,Contusion
"Powell,Norman",norman powell,OUT,DAL,DAL,MIA,Injury/Illness-RightGroin;Strain
"Rozier,Terry",rozier terry,OUT,DAL,DAL,MIA,NotWithTeam
"Smith,Dru",dru smith,AVAILABLE,DAL,DAL,MIA,Injury/Illness-LeftAnkle;Soreness Injury/Illness-BilateralKnee;Patellar
"Wiggins,Andrew",andrew wiggins,AVAILABLE,DAL,DAL,MIA,Tendinitis Injury/Illness-LeftSciaticNerve;
"Curry,Seth",curry seth,OUT,DAL,DAL,GSW,Irritation
"Curry,Stephen",curry stephen,OUT,DAL,DAL,GSW,Injury/Illness-RightPatellofemoral; PainSyndrome
"Moody,Moses",moody moses,OUT,DAL,DAL,GSW,Injury/Illness-RightWrist;Sprain Injury/Illness-LeftAnkle;
"Richard,Will",richard will,OUT,DAL,DAL,GSW,"Injury/Illness-RightAnkle;Sprain HoustonRockets Adams,Steven Out Injury/Illness-LeftAnkle;Surgery"
"Newton,Tristen",newton tristen,OUT,DAL,DAL,HOU,GLeague-Two-Way
"Sengun,Alperen",alperen sengun,QUESTIONABLE,DAL,DAL,HOU,Injury/Illness-N/a;Illness
"Tate,Jae'Sean",jae'sean tate,OUT,DAL,DAL,HOU,Injury/Illness-RightKnee;Sprain
"Thompson,Amen",amen thompson,QUESTIONABLE,DAL,DAL,HOU,Injury/Illness-RightAnkle;Sprain
"VanVleet,Fred",fred vanvleet,OUT,DAL,DAL,HOU,Injury/Illness-RightKnee;ACLRepair
"Smith,Tolu",smith tolu,OUT,DAL,DAL,DET,"GLeague-Two-Way SanAntonioSpurs Barnes,Harrison Out Injury/Illness-LeftAnkle;Soreness"
"Ingram,Harrison",harrison ingram,OUT,DAL,DAL,SAS,GLeague-Two-Way
"Miller,Emanuel",emanuel miller,OUT,DAL,DAL,CHI,GLeague-Two-Way ReturntoCompetition
"Plumlee,Mason",mason plumlee,OUT,DAL,DAL,CHA,Reconditioning
"Ingram,Brandon",brandon ingram,QUESTIONABLE,DAL,DAL,TOR,Injury/Illness-LeftThumb;Sprain
"Lawson,A.J.",a j lawson,OUT,DAL,DAL,TOR,GLeague-Two-Way
"Martin,Alijah",alijah martin,OUT,DAL,DAL,TOR,GLeague-Two-Way
"Murray-Boyles,Collin",boyles collin murray,OUT,DAL,DAL,TOR,"Injury/Illness-LeftThumb;Sprain MinnesotaTimberwolves Clark,Jaylen Questionable Injury/Illness-N/A;Illness Injury/Illness-RightFoot;Injury"
"Edwards,Anthony",anthony edwards,QUESTIONABLE,DAL,DAL,MIN,Maintenance
"Freeman,Enrique",enrique freeman,OUT,DAL,DAL,MIN,GLeague-Two-Way
"Ingles,Joe",ingles joe,OUT,DAL,DAL,MIN,PersonalReasons
"Zikarsky,Rocco",rocco zikarsky,OUT,DAL,DAL,MIN,GLeague-Two-Way
"Collins,Zach",collins zach,OUT,DAL,DAL,CHI,Injury/Illness-Right1stToe;Surgery
"Essengue,Noa",essengue noa,OUT,DAL,DAL,CHI,Injury/Illness-LeftShoulder;Surgery
"Giddey,Josh",giddey josh,QUESTIONABLE,DAL,DAL,CHI,Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftPatellofemoral;
