player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Ellis, Keon",ellis keon,AVAILABLE,CLE,CLE,SAC,Fracture
"Youngblood, Chris",chris youngblood,QUESTIONABLE,POR,POR,OKC,G League - Two-Way
