player,old_team,new_team,source
Bennedict Mathurin,IND,LAC,fetch_board
Coby White,CHI,CHA,fetch_board
Nikola Vučević,CHI,BOS,fetch_board
Vít Krejčí,ATL,POR,fetch_board
Robert Williams,,POR,fetch_board
Derrick Jones,,LAC,fetch_board
