n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.09399580559613885,10.0,1.0,10.0,0.9399580559613885,10.0,atlas,0.5546632893130221,0.05274484886904701,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9399580559613885,"['devin booker', 'ayo dosunmu', 'tyler herro', ""kel'el ware""]",1,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325],Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0,
4,Jalen Green OVER RA 5.5 (GOBLIN) [id:10649354] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.09363410343390378,10.0,1.0,10.0,0.9363410343390378,10.0,atlas,0.5547558712875363,0.0513497071120321,Jalen Green OVER RA 5.5 (GOBLIN) [id:10649354] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9363410343390378,"['jalen green', 'ryan kalkbrenner', 'jaime jaquez', 'moussa diabaté']",1,Jalen Green OVER RA 5.5 (GOBLIN) [id:10649354],Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0,
4,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.09286742333857184,10.0,1.0,10.0,0.9286742333857184,10.0,atlas,0.5525682182949172,0.03315895269430118,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9286742333857184,"['brandon miller', 'devin booker', 'jett howard', 'trendon watford']",1,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465],Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0,
4,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.09164910974513546,10.0,1.0,10.0,0.9164910974513546,10.0,atlas,0.5506119179770839,0.03984943509789138,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9164910974513546,"['donte divincenzo', 'grayson allen', ""royce o'neale"", ""de'aaron fox""]",1,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238],Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Devin Booker OVER PTS 27.5 (STANDARD) [id:10649186] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.09153322760042058,10.0,1.0,10.0,0.9153322760042059,10.0,atlas,0.5523359076531954,0.036885506379083305,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Devin Booker OVER PTS 27.5 (STANDARD) [id:10649186] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9153322760042059,"['jaime jaquez', 'kon knueppel', 'devin booker', ""kel'el ware""]",1,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510],Devin Booker OVER PTS 27.5 (STANDARD) [id:10649186],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
4,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Coby White OVER PA 16.5 (STANDARD) [id:10643854],0.09003776318559689,10.0,1.0,10.0,0.9003776318559689,10.0,atlas,0.5480874843049947,0.06032090517549361,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Coby White OVER PA 16.5 (STANDARD) [id:10643854],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9003776318559689,"['kon knueppel', 'lamelo ball', ""royce o'neale"", 'coby white']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Coby White OVER PA 16.5 (STANDARD) [id:10643854],0,
4,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Norman Powell OVER PA 23 (STANDARD) [id:10644081],0.08819120875252952,10.0,1.0,10.0,0.8819120875252952,10.0,atlas,0.5456067539674849,0.053107157198111626,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Norman Powell OVER PA 23 (STANDARD) [id:10644081],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8819120875252952,"['devin booker', 'ryan kalkbrenner', 'jett howard', 'norman powell']",1,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Norman Powell OVER PA 23 (STANDARD) [id:10644081],0,
4,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0.08705475985395425,10.0,1.0,10.0,0.8705475985395426,10.0,atlas,0.5436537295614277,0.04447711071894224,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8705475985395426,"['ryan kalkbrenner', 'coby white', 'shai gilgeous-alexander', 'collin gillespie']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0,
4,Collin Gillespie OVER PA 13.5 (GOBLIN) [id:10652982] | Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.08703725324147699,10.0,1.0,10.0,0.8703725324147699,10.0,atlas,0.5435978495204311,0.045142988774373255,Collin Gillespie OVER PA 13.5 (GOBLIN) [id:10652982] | Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8703725324147699,"['collin gillespie', 'ryan kalkbrenner', 'norman powell', ""royce o'neale""]",1,Collin Gillespie OVER PA 13.5 (GOBLIN) [id:10652982],Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0,
4,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.08643384151338146,10.0,1.0,10.0,0.8643384151338146,10.0,atlas,0.5423812677795875,0.059616606199311487,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8643384151338146,"['coby white', 'norman powell', 'devin booker', ""de'aaron fox""]",1,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0,
