projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10086623|Jaden McDaniels|REB|DEMON|5.5|OVER,10086623,Jaden McDaniels,MIN,REB,REBOUNDS,1,5.5,OVER,DEMON,1,0,5.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T03:50:40.138000+00:00
10087025|Toumani Camara|REB|DEMON|7.5|OVER,10087025,Toumani Camara,POR,REB,REBOUNDS,1,7.5,OVER,DEMON,1,0,7.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T03:50:40.125000+00:00
10071933|Oso Ighodaro|REB|GOBLIN|3.5|OVER,10071933,Oso Ighodaro,PHX,REB,REBOUNDS,1,3.5,OVER,GOBLIN,1,0,3.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-24T03:50:29.295000+00:00
10087727|Anthony Black|AST|STANDARD|4|OVER,10087727,Anthony Black,ORL,AST,ASSISTS,1,4.0,OVER,STANDARD,1,0,4.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:49:25.346000+00:00
10087727|Anthony Black|AST|STANDARD|4|UNDER,10087727,Anthony Black,ORL,AST,ASSISTS,1,4.0,UNDER,STANDARD,0,1,4.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:49:25.346000+00:00
10077517|Jalen Suggs|RA|DEMON|11.5|OVER,10077517,Jalen Suggs,ORL,RA,REBS+ASTS,1,11.5,OVER,DEMON,1,0,11.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T03:49:17.979000+00:00
10086724|Julius Randle|FG3M|STANDARD|1.5|OVER,10086724,Julius Randle,MIN,FG3M,3-PT MADE,1,1.5,OVER,STANDARD,1,0,1.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:48:43.507000+00:00
10086724|Julius Randle|FG3M|STANDARD|1.5|UNDER,10086724,Julius Randle,MIN,FG3M,3-PT MADE,1,1.5,UNDER,STANDARD,0,1,1.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:48:43.507000+00:00
10086753|Julius Randle|REB|STANDARD|7|OVER,10086753,Julius Randle,MIN,REB,REBOUNDS,1,7.0,OVER,STANDARD,1,0,7.0,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:47:59.101000+00:00
10086753|Julius Randle|REB|STANDARD|7|UNDER,10086753,Julius Randle,MIN,REB,REBOUNDS,1,7.0,UNDER,STANDARD,0,1,7.0,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:47:59.101000+00:00
10086513|Donovan Clingan|BS|GOBLIN|1.5|OVER,10086513,Donovan Clingan,POR,BS,BLKS+STLS,1,1.5,OVER,GOBLIN,1,0,1.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T03:47:18.856000+00:00
10077424|Deandre Ayton|REB|DEMON|9.5|OVER,10077424,Deandre Ayton,LAL,REB,REBOUNDS,1,9.5,OVER,DEMON,1,0,9.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T03:45:31.593000+00:00
10086594|Jaden McDaniels|AST|GOBLIN|2.5|OVER,10086594,Jaden McDaniels,MIN,AST,ASSISTS,1,2.5,OVER,GOBLIN,1,0,2.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T03:45:31.277000+00:00
10086464|Anthony Edwards|RA|DEMON|9.5|OVER,10086464,Anthony Edwards,MIN,RA,REBS+ASTS,1,9.5,OVER,DEMON,1,0,9.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T03:42:38.974000+00:00
10087724|Austin Reaves|AST|STANDARD|4|OVER,10087724,Austin Reaves,LAL,AST,ASSISTS,1,4.0,OVER,STANDARD,1,0,4.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:38:25.340000+00:00
10087724|Austin Reaves|AST|STANDARD|4|UNDER,10087724,Austin Reaves,LAL,AST,ASSISTS,1,4.0,UNDER,STANDARD,0,1,4.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:38:25.340000+00:00
10086599|Jaden McDaniels|BLOCKED SHOTS|GOBLIN|0.5|OVER,10086599,Jaden McDaniels,MIN,BLOCKED SHOTS,BLOCKED SHOTS,0,0.5,OVER,GOBLIN,1,0,0.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T03:34:48.123000+00:00
10065729|LeBron James|PTS|GOBLIN|14.5|OVER,10065729,LeBron James,LAL,PTS,POINTS,1,14.5,OVER,GOBLIN,1,0,14.5,0,0,goblin,2026-02-24T22:40:00.000-05:00,2026-02-24T03:34:44.406000+00:00
10087728|Paolo Banchero|AST|STANDARD|5|OVER,10087728,Paolo Banchero,ORL,AST,ASSISTS,1,5.0,OVER,STANDARD,1,0,5.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:32:47.547000+00:00
10087728|Paolo Banchero|AST|STANDARD|5|UNDER,10087728,Paolo Banchero,ORL,AST,ASSISTS,1,5.0,UNDER,STANDARD,0,1,5.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:32:47.547000+00:00
10068021|Desmond Bane|PA|DEMON|34.5|OVER,10068021,Desmond Bane,ORL,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,34.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T03:32:01.430000+00:00
10084746|Anthony Black|BS|DEMON|2.5|OVER,10084746,Anthony Black,ORL,BS,BLKS+STLS,1,2.5,OVER,DEMON,1,0,2.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T03:31:09.151000+00:00
10087513|LeBron James|DUNKS|STANDARD|1|OVER,10087513,LeBron James,LAL,DUNKS,DUNKS,0,1.0,OVER,STANDARD,1,0,1.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:28:27.465000+00:00
10087513|LeBron James|DUNKS|STANDARD|1|UNDER,10087513,LeBron James,LAL,DUNKS,DUNKS,0,1.0,UNDER,STANDARD,0,1,1.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:28:27.465000+00:00
10087510|Anthony Edwards|DUNKS|STANDARD|0.5|OVER,10087510,Anthony Edwards,MIN,DUNKS,DUNKS,0,0.5,OVER,STANDARD,1,0,0.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:28:27.459000+00:00
10087510|Anthony Edwards|DUNKS|STANDARD|0.5|UNDER,10087510,Anthony Edwards,MIN,DUNKS,DUNKS,0,0.5,UNDER,STANDARD,0,1,0.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T03:28:27.459000+00:00
10087725|Luka Dončić|AST|STANDARD|8|OVER,10087725,Luka Dončić,LAL,AST,ASSISTS,1,8.0,OVER,STANDARD,1,0,8.0,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T03:26:59.229000+00:00
