slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.2175,2.145,0.4665,Amen Thompson,HOU,LAL,REB,OVER,GOBLIN,5.5,0.7393
5-leg,True,0.2175,2.145,0.4665,Ausar Thompson,DET,ORL,AST,OVER,GOBLIN,1.5,0.7722
5-leg,True,0.2175,2.145,0.4665,Paolo Banchero,ORL,DET,PA,OVER,STANDARD,28.5,0.841
5-leg,True,0.2175,2.145,0.4665,Jalen Duren,DET,ORL,PTS,OVER,STANDARD,13.5,0.8315
5-leg,True,0.2175,2.145,0.4665,Baylor Scheierman,BOS,PHI,RA,OVER,DEMON,3.5,0.633
4-leg,True,0.3246,1.897,0.616,Austin Reaves,LAL,HOU,PR,OVER,GOBLIN,19.5,0.7156
4-leg,True,0.3246,1.897,0.616,CJ McCollum,ATL,NYK,REB,OVER,GOBLIN,2.5,0.7242
4-leg,True,0.3246,1.897,0.616,VJ Edgecombe,PHI,BOS,PTS,OVER,STANDARD,12.0,0.7904
4-leg,True,0.3246,1.897,0.616,Neemias Queta,BOS,PHI,PTS,OVER,STANDARD,8.0,0.7717
3-leg,True,0.6517,1.931,1.2584,Cade Cunningham,DET,ORL,PTS,OVER,GOBLIN,26.5,0.7901
3-leg,True,0.6517,1.931,1.2584,Jabari Smith,HOU,LAL,PTS,OVER,STANDARD,17.5,0.757
3-leg,True,0.6517,1.931,1.2584,RJ Barrett,TOR,CLE,PTS,OVER,STANDARD,21.5,0.7534
