slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.3559,2.145,0.7632,Alex Caruso,OKC,LAL,PRA,OVER,GOBLIN,7.5,0.7198
5-leg,True,0.3559,2.145,0.7632,Ausar Thompson,DET,CLE,AST,OVER,GOBLIN,2.5,0.9246
5-leg,True,0.3559,2.145,0.7632,Jaxson Hayes,LAL,OKC,PTS,OVER,STANDARD,4.0,0.9611
5-leg,True,0.3559,2.145,0.7632,Jarrett Allen,CLE,DET,PA,OVER,STANDARD,12.5,0.9364
5-leg,True,0.3559,2.145,0.7632,Dean Wade,CLE,DET,AST,OVER,DEMON,1.5,0.6928
4-leg,True,0.3293,1.897,0.6248,Austin Reaves,LAL,OKC,AST,OVER,GOBLIN,3.5,0.7621
4-leg,True,0.3293,1.897,0.6248,Cade Cunningham,DET,CLE,AST,OVER,GOBLIN,6.5,0.7775
4-leg,True,0.3293,1.897,0.6248,Duncan Robinson,DET,CLE,PA,OVER,STANDARD,13.5,0.7787
4-leg,True,0.3293,1.897,0.6248,Sam Merrill,CLE,DET,PRA,OVER,STANDARD,9.5,0.8338
3-leg,True,0.5777,1.931,1.1155,Caris LeVert,DET,CLE,REB,OVER,GOBLIN,0.5,0.7746
3-leg,True,0.5777,1.931,1.1155,Isaiah Joe,OKC,LAL,PRA,OVER,STANDARD,8.5,0.8157
3-leg,True,0.5777,1.931,1.1155,Evan Mobley,CLE,DET,PA,OVER,STANDARD,18.5,0.7441
