team,out_player,beneficiary_player,stat,games,weight,team_u,stat_u,out_canon,ben_canon
CHI,Anfernee Simons,Isaac Okoro,PTS,6,0.00912729131862627,CHI,PTS,anfernee simons,isaac okoro
CHI,Anfernee Simons,Isaac Okoro,REB,6,0.004789614412282959,CHI,REB,anfernee simons,isaac okoro
CHI,Anfernee Simons,Jaden Ivey,AST,4,0.010599842400475233,CHI,AST,anfernee simons,jaden ivey
CHI,Anfernee Simons,Jaden Ivey,PTS,4,0.010229570868203988,CHI,PTS,anfernee simons,jaden ivey
CHI,Anfernee Simons,Jaden Ivey,REB,4,0.005878307023768875,CHI,REB,anfernee simons,jaden ivey
CHI,Anfernee Simons,Jevon Carter,AST,6,0.0022442977565854155,CHI,AST,anfernee simons,jevon carter
CHI,Anfernee Simons,Jevon Carter,PTS,6,0.0026802430746121543,CHI,PTS,anfernee simons,jevon carter
CHI,Anfernee Simons,Jevon Carter,REB,6,0.0013005999681472728,CHI,REB,anfernee simons,jevon carter
CHI,Anfernee Simons,Josh Giddey,AST,6,0.015227776810809102,CHI,AST,anfernee simons,josh giddey
CHI,Anfernee Simons,Josh Giddey,PTS,6,0.01242556093101685,CHI,PTS,anfernee simons,josh giddey
CHI,Anfernee Simons,Josh Giddey,REB,6,0.00725896484179979,CHI,REB,anfernee simons,josh giddey
CHI,Anfernee Simons,Julian Phillips,AST,6,0.0018816138449207986,CHI,AST,anfernee simons,julian phillips
CHI,Anfernee Simons,Julian Phillips,PTS,6,0.0023174400143937328,CHI,PTS,anfernee simons,julian phillips
CHI,Anfernee Simons,Julian Phillips,REB,6,0.0012815286781224274,CHI,REB,anfernee simons,julian phillips
CHI,Anfernee Simons,Kevin Huerter,AST,6,0.006575566214375157,CHI,AST,anfernee simons,kevin huerter
CHI,Anfernee Simons,Kevin Huerter,PTS,6,0.007172999474622529,CHI,PTS,anfernee simons,kevin huerter
CHI,Anfernee Simons,Kevin Huerter,REB,6,0.003907128932741507,CHI,REB,anfernee simons,kevin huerter
