game_date,player,team,opp,minutes,pts,reb,ast,fg3m,fga,fta,tov,usg_proxy
3/17/2026,Kel'el Ware,MIA,CHA,28,7,8,1,0,10,2,0,0.388571
3/17/2026,Norman Powell,MIA,CHA,31,17,6,3,1,17,6,0,0.633548
3/17/2026,Davion Mitchell,MIA,CHA,26,4,3,5,0,7,0,1,0.307692
3/17/2026,Tyler Herro,MIA,CHA,31,20,8,5,1,11,9,4,0.611613
3/17/2026,Pelle Larsson,MIA,CHA,28,14,2,0,1,7,8,4,0.518571
3/17/2026,Simone Fontecchio,MIA,CHA,24,10,2,1,1,9,4,0,0.448333
3/17/2026,Myron Gardner,MIA,CHA,4,0,3,0,0,2,0,1,0.75
3/17/2026,Keshad Johnson,MIA,CHA,20,15,5,1,3,12,0,2,0.7
3/17/2026,Jaime Jaquez Jr.,MIA,CHA,20,6,1,6,0,3,2,1,0.244
3/17/2026,Vladislav Goldin,MIA,CHA,2,0,0,0,0,0,0,0,0
3/17/2026,Dru Smith,MIA,CHA,8,4,3,2,0,3,0,1,0.5
3/17/2026,Jahmir Young,MIA,CHA,4,3,0,0,0,2,1,1,0.86
3/17/2026,Kasparas Jakucionis,MIA,CHA,15,6,2,2,0,6,2,0,0.458667
3/17/2026,Miles Bridges,CHA,MIA,31,14,10,2,2,12,0,1,0.419355
3/17/2026,Moussa Diabate,CHA,MIA,31,8,13,4,0,6,0,2,0.258065
3/17/2026,Brandon Miller,CHA,MIA,26,16,2,2,4,15,0,0,0.576923
3/17/2026,LaMelo Ball,CHA,MIA,33,30,6,13,4,22,5,5,0.884848
3/17/2026,Kon Knueppel,CHA,MIA,24,22,2,2,2,14,4,0,0.656667
3/17/2026,Grant Williams,CHA,MIA,19,8,2,2,1,3,2,1,0.256842
3/17/2026,Xavier Tillman,CHA,MIA,2,0,0,0,0,0,0,0,0
3/17/2026,Ryan Kalkbrenner,CHA,MIA,14,6,3,1,0,4,0,1,0.357143
3/17/2026,Pat Connaughton,CHA,MIA,2,4,1,0,1,1,2,0,0.94
3/17/2026,Coby White,CHA,MIA,20,24,3,3,3,15,6,0,0.882
3/17/2026,Josh Green,CHA,MIA,14,0,2,0,0,1,0,1,0.142857
3/17/2026,Tre Mann,CHA,MIA,4,2,0,1,0,1,2,0,0.47
3/17/2026,Sion James,CHA,MIA,18,2,4,2,0,2,0,2,0.222222
3/17/2026,Isaiah Hartenstein,OKC,ORL,16,0,7,8,0,2,0,1,0.1875
3/17/2026,Chet Holmgren,OKC,ORL,33,20,12,1,0,14,5,0,0.490909
3/17/2026,Shai Gilgeous-Alexander,OKC,ORL,36,40,5,2,3,27,11,3,0.967778
