n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.4427277757576141,6.0,1.0,6.0,2.6563666545456845,6.0,atlas,0.65,0.0318580943524523,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,2,0.6666666666666666,0.717727775757614,"['julius randle', 'luke kornet', 'ayo dosunmu']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],2,Julius Randle | Ayo Dosunmu
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.4382034351105753,6.0,1.0,6.0,2.629220610663452,6.0,atlas,0.65,0.026059224444257418,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,2,0.6666666666666666,0.7132034351105753,"['naz reid', 'luke kornet', 'ayo dosunmu']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],2,Naz Reid | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.43522871490439713,6.0,1.0,6.0,2.6113722894263827,6.0,atlas,0.65,0.028482916234532005,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.722728714904397,"['julius randle', 'ayo dosunmu', 'jose alvarado']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],2,Julius Randle | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.43229265916839094,6.0,1.0,6.0,2.5937559550103457,6.0,atlas,0.65,0.029037148354691702,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.719792659168391,"['julius randle', 'ayo dosunmu', 'jose alvarado']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],2,Julius Randle | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.431286076918223,6.0,1.0,6.0,2.587716461509338,6.0,atlas,0.65,0.030416281882701596,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.718786076918223,"['julius randle', 'jose alvarado', 'ayo dosunmu']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],2,Julius Randle | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.39355360316513527,6.0,1.0,6.0,2.3613216189908117,6.0,atlas,0.65,0.017774290374455343,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5435536031651352,"['julius randle', 'luke kornet', 'jose alvarado']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],1,Julius Randle
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.3895317851065289,6.0,1.0,6.0,2.3371907106391734,6.0,atlas,0.65,0.011975420466260454,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.5270317851065289,"['naz reid', 'luke kornet', 'jose alvarado']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],1,Naz Reid
3,Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273] | Luke Kornet OVER RA 5.5 (DEMON) [id:11894426],0.3177813580409487,6.0,1.0,6.0,1.906688148245692,6.0,atlas,0.6258251603445725,0.01068744400635329,Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273] | Luke Kornet OVER RA 5.5 (DEMON) [id:11894426],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.3052813580409487,"['kelly oubre', 'andre drummond', 'luke kornet']",1,Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930],Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273],Luke Kornet OVER RA 5.5 (DEMON) [id:11894426],0,
3,Karl-Anthony Towns OVER REB 7.5 (GOBLIN) [id:11895965] | Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273] | Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0.31091211401180474,6.0,1.0,6.0,1.8654726840708284,6.0,atlas,0.636354227998161,0.021414726522608913,Karl-Anthony Towns OVER REB 7.5 (GOBLIN) [id:11895965] | Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273] | Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.31091211401180474,"['karl-anthony towns', 'andre drummond', 'stephon castle']",1,Karl-Anthony Towns OVER REB 7.5 (GOBLIN) [id:11895965],Andre Drummond OVER PRA 5.5 (STANDARD) [id:11893273],Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0,
3,Keldon Johnson OVER PTS 4.5 (GOBLIN) [id:11882652] | Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159] | Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0.2975127962805517,6.0,1.0,6.0,1.7850767776833103,6.0,atlas,0.6170299006406129,0.0733499388471045,Keldon Johnson OVER PTS 4.5 (GOBLIN) [id:11882652] | Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159] | Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.2850127962805517,"['keldon johnson', 'mikal bridges', 'stephon castle']",1,Keldon Johnson OVER PTS 4.5 (GOBLIN) [id:11882652],Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159],Stephon Castle OVER FG3M 1.5 (DEMON) [id:11881592],0,
