source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Cade Cunningham,AST,2026-05-01 22:30:22,9.5,0.7,0.4651,0.5349,,,,n_books=7
oddsapi,NBA,Paolo Banchero,AST,2026-05-01 22:30:22,5.5,0.7,0.4976,0.5024,,,,n_books=7
oddsapi,NBA,Jalen Suggs,AST,2026-05-01 22:30:22,4.5,0.7,0.5109,0.4891,,,,n_books=7
oddsapi,NBA,Ausar Thompson,AST,2026-05-01 22:30:22,2.5,0.6,0.5896,0.4104,,,,n_books=6
oddsapi,NBA,Anthony Black,AST,2026-05-01 22:30:22,2.5,0.7,0.5813,0.4187,,,,n_books=7
oddsapi,NBA,Desmond Bane,AST,2026-05-01 22:30:22,2.5,0.7,0.5598,0.4402,,,,n_books=7
oddsapi,NBA,Wendell Carter Jr,AST,2026-05-01 22:30:22,1.5,0.7,0.6112,0.3888,,,,n_books=7
oddsapi,NBA,Jalen Duren,AST,2026-05-01 22:30:22,1.5,0.5,0.5818,0.4182,,,,n_books=5
oddsapi,NBA,Tobias Harris,AST,2026-05-01 22:30:22,1.5,0.7,0.582,0.418,,,,n_books=7
oddsapi,NBA,Duncan Robinson,AST,2026-05-01 22:30:22,1.5,0.6,0.5477,0.4523,,,,n_books=6
oddsapi,NBA,Cade Cunningham,PTS,2026-05-01 22:30:22,29.5,0.5,0.5109,0.4891,,,,n_books=5
oddsapi,NBA,Paolo Banchero,PTS,2026-05-01 22:30:22,23.5,0.7,0.5032,0.4968,,,,n_books=7
oddsapi,NBA,Desmond Bane,PTS,2026-05-01 22:30:22,19.5,0.6,0.4997,0.5003,,,,n_books=6
oddsapi,NBA,Tobias Harris,PTS,2026-05-01 22:30:22,16.5,0.7,0.526,0.474,,,,n_books=7
oddsapi,NBA,Jalen Suggs,PTS,2026-05-01 22:30:22,14.5,0.7,0.4971,0.5029,,,,n_books=7
oddsapi,NBA,Jalen Duren,PTS,2026-05-01 22:30:22,13.5,0.6,0.53,0.47,,,,n_books=6
oddsapi,NBA,Anthony Black,PTS,2026-05-01 22:30:22,12.5,0.7,0.5084,0.4916,,,,n_books=7
oddsapi,NBA,Wendell Carter Jr,PTS,2026-05-01 22:30:22,10.5,0.7,0.514,0.486,,,,n_books=7
oddsapi,NBA,Ausar Thompson,PTS,2026-05-01 22:30:22,9.5,0.7,0.511,0.489,,,,n_books=7
oddsapi,NBA,Duncan Robinson,PTS,2026-05-01 22:30:22,9.5,0.7,0.5166,0.4834,,,,n_books=7
oddsapi,NBA,Jamal Cain,PTS,2026-05-01 22:30:22,7.5,0.6,0.532,0.468,,,,n_books=6
oddsapi,NBA,Caris LeVert,PTS,2026-05-01 22:30:22,6.5,0.7,0.4824,0.5176,,,,n_books=7
oddsapi,NBA,Isaiah Stewart II,PTS,2026-05-01 22:30:22,5.5,0.7,0.511,0.489,,,,n_books=7
oddsapi,NBA,Tristan da Silva,PTS,2026-05-01 22:30:22,5.5,0.7,0.5044,0.4956,,,,n_books=7
oddsapi,NBA,Jalen Duren,REB,2026-05-01 22:30:22,9.5,0.7,0.5193,0.4807,,,,n_books=7
oddsapi,NBA,Paolo Banchero,REB,2026-05-01 22:30:22,8.5,0.7,0.4579,0.5421,,,,n_books=7
oddsapi,NBA,Wendell Carter Jr,REB,2026-05-01 22:30:22,7.5,0.6,0.5424,0.4576,,,,n_books=6
oddsapi,NBA,Ausar Thompson,REB,2026-05-01 22:30:22,7.5,0.7,0.4789,0.5211,,,,n_books=7
oddsapi,NBA,Tobias Harris,REB,2026-05-01 22:30:22,6.5,0.6,0.439,0.561,,,,n_books=6
oddsapi,NBA,Cade Cunningham,REB,2026-05-01 22:30:22,5.5,0.5,0.5503,0.4497,,,,n_books=5
oddsapi,NBA,Desmond Bane,REB,2026-05-01 22:30:22,4.5,0.8,0.4603,0.5397,,,,n_books=8
oddsapi,NBA,Jalen Suggs,REB,2026-05-01 22:30:22,4.5,0.6,0.4276,0.5724,,,,n_books=6
oddsapi,NBA,Jamal Cain,REB,2026-05-01 22:30:22,3.5,0.6,0.5744,0.4256,,,,n_books=6
oddsapi,NBA,Isaiah Stewart II,REB,2026-05-01 22:30:22,3.5,0.7,0.5126,0.4874,,,,n_books=7
oddsapi,NBA,Anthony Black,REB,2026-05-01 22:30:22,3.5,0.7,0.4815,0.5185,,,,n_books=7
oddsapi,NBA,Duncan Robinson,REB,2026-05-01 22:30:22,2.5,0.6,0.4144,0.5856,,,,n_books=6
oddsapi,NBA,Desmond Bane,FG3M,2026-05-01 22:30:22,2.5,0.7,0.4665,0.5335,,,,n_books=7
oddsapi,NBA,Jalen Suggs,FG3M,2026-05-01 22:30:22,2.5,0.7,0.437,0.563,,,,n_books=7
oddsapi,NBA,Cade Cunningham,FG3M,2026-05-01 22:30:22,2.5,0.7,0.4272,0.5728,,,,n_books=7
oddsapi,NBA,Duncan Robinson,FG3M,2026-05-01 22:30:22,2.5,0.7,0.4159,0.5841,,,,n_books=7
oddsapi,NBA,Paolo Banchero,FG3M,2026-05-01 22:30:22,1.5,0.8,0.4355,0.5645,,,,n_books=8
oddsapi,NBA,Anthony Black,FG3M,2026-05-01 22:30:22,1.5,0.7,0.3908,0.6092,,,,n_books=7
oddsapi,NBA,Tobias Harris,FG3M,2026-05-01 22:30:22,1.5,0.7,0.3842,0.6158,,,,n_books=7
oddsapi,NBA,Wendell Carter Jr,FG3M,2026-05-01 22:30:22,0.5,0.3,0.5515,0.4485,,,,n_books=3
oddsapi,NBA,Daniss Jenkins,AST,2026-05-01 22:30:22,2.5,0.1,0.3602,0.6398,,,,n_books=1
