projection_id,player_name,stat,line,p_adj,hit_prob,ev_mult,role_ctx_mult,rank
9837263,Unknown,Pts+Rebs+Asts,49.5,0.5,0.5,1.0,1.0,1
9837255,Unknown,Pts+Asts,44.5,0.5,0.5,1.0,1.0,2
9837261,Unknown,Pts+Rebs+Asts,44.5,0.5,0.5,1.0,1.0,3
9837276,Unknown,Pts+Rebs+Asts,44.5,0.5,0.5,1.0,1.0,4
9838593,Unknown,Pts+Rebs,44.5,0.5,0.5,1.0,1.0,5
9837253,Unknown,Pts+Asts,39.5,0.5,0.5,1.0,1.0,6
9837259,Unknown,Pts+Rebs,39.5,0.5,0.5,1.0,1.0,7
9837262,Unknown,Pts+Rebs+Asts,39.5,0.5,0.5,1.0,1.0,8
9837269,Unknown,Pts+Asts,39.5,0.5,0.5,1.0,1.0,9
9837275,Unknown,Pts+Rebs+Asts,39.5,0.5,0.5,1.0,1.0,10
9833901,Unknown,Pts+Rebs+Asts,37.5,0.5,0.5,1.0,1.0,11
9838432,Unknown,Pts+Rebs+Asts,37.5,0.5,0.5,1.0,1.0,12
9838120,Unknown,Points (Combo),36.5,0.5,0.5,1.0,1.0,13
9838123,Unknown,Points (Combo),35.5,0.5,0.5,1.0,1.0,14
9839471,Unknown,Pts+Rebs+Asts,35.5,0.5,0.5,1.0,1.0,15
9833908,Unknown,Pts+Rebs+Asts,34.5,0.5,0.5,1.0,1.0,16
9834286,Unknown,Points,34.5,0.5,0.5,1.0,1.0,17
9837254,Unknown,Pts+Asts,34.5,0.5,0.5,1.0,1.0,18
9837258,Unknown,Pts+Rebs,34.5,0.5,0.5,1.0,1.0,19
9837260,Unknown,Pts+Rebs+Asts,34.5,0.5,0.5,1.0,1.0,20
9837268,Unknown,Pts+Asts,34.5,0.5,0.5,1.0,1.0,21
9837273,Unknown,Pts+Rebs,34.5,0.5,0.5,1.0,1.0,22
9837284,Unknown,Pts+Rebs,34.5,0.5,0.5,1.0,1.0,23
9837287,Unknown,Pts+Rebs+Asts,34.5,0.5,0.5,1.0,1.0,24
9838338,Unknown,Pts+Rebs,34.5,0.5,0.5,1.0,1.0,25
9833899,Unknown,Pts+Asts,32.5,0.5,0.5,1.0,1.0,26
9840713,Unknown,Pts+Rebs+Asts,32.5,0.5,0.5,1.0,1.0,27
9833900,Unknown,Pts+Rebs,31.5,0.5,0.5,1.0,1.0,28
9838121,Unknown,Points (Combo),31.5,0.5,0.5,1.0,1.0,29
9838433,Unknown,Pts+Rebs+Asts,31.5,0.5,0.5,1.0,1.0,30
9843929,Unknown,Pts+Asts,31.5,0.5,0.5,1.0,1.0,31
9838124,Unknown,Points (Combo),30.5,0.5,0.5,1.0,1.0,32
9838125,Unknown,Points (Combo),30.5,0.5,0.5,1.0,1.0,33
9838410,Unknown,Points,30.5,0.5,0.5,1.0,1.0,34
9838453,Unknown,Pts+Rebs+Asts,30.5,0.5,0.5,1.0,1.0,35
9838118,Unknown,Points (Combo),30,0.5,0.5,1.0,1.0,36
9833907,Unknown,Pts+Asts,29.5,0.5,0.5,1.0,1.0,37
9834285,Unknown,Points,29.5,0.5,0.5,1.0,1.0,38
9834296,Unknown,Points,29.5,0.5,0.5,1.0,1.0,39
9837252,Unknown,Pts+Asts,29.5,0.5,0.5,1.0,1.0,40
9837257,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,41
9837272,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,42
9837274,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,43
9837283,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,44
9837286,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,45
9837295,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,46
9837298,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,47
9837493,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,48
9837509,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,49
9837522,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,50
9838339,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,51
9840107,Unknown,Pts+Rebs,29.5,0.5,0.5,1.0,1.0,52
9840341,Unknown,Pts+Asts,29.5,0.5,0.5,1.0,1.0,53
9841125,Unknown,Pts+Rebs+Asts,29.5,0.5,0.5,1.0,1.0,54
9838126,Unknown,Points (Combo),29,0.5,0.5,1.0,1.0,55
