projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9797045,Jaden Ivey,PRA,27.5,OVER,DEMON,1,0,27.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:38.250000+00:00,0,0,demon,CHI,2026-02-09,,0,1.0,0.01909618076384723,0.017296540691861626,0.0,0.0,False,0.0,19.65,5.6769269856146645,0.6617336267400322,0.21880896091860394,20,OK,0.01833233353329334,0.0,0,,0.03
9795669,Isaac Okoro,AST,1.5,OVER,STANDARD,1,0,1.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:37.851000+00:00,0,0,standard,CHI,2026-02-09,,0,0.6,0.4994001199760048,0.4876024795040992,0.0,0.0,False,0.0,27.65,4.932291556670185,0.05408837527790368,0.04974621253984362,20,OK,0.4994001199760048,0.0,0,,0.03
9795669,Isaac Okoro,AST,1.5,UNDER,STANDARD,0,1,1.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:37.851000+00:00,0,0,standard,CHI,2026-02-09,,0,0.6,0.5005998800239952,0.5123975204959008,0.02302439024390234,0.011797640471905568,False,0.0,27.65,4.932291556670185,0.05408837527790368,0.04974621253984362,20,OK,0.4505398920215957,0.0,0,,0.03
9798063,Jaren Jackson,PA,19.5,OVER,STANDARD,1,0,19.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:15.675000+00:00,0,0,standard,UTA,2026-02-09,BKN,1,1.0,0.7011597680463907,0.6937612477504499,0.0,0.0,False,0.0,31.85,2.632014437650372,0.718407370518499,0.19681493229242777,20,OK,0.7011597680463907,0.0,0,,0.03
9798063,Jaren Jackson,PA,19.5,UNDER,STANDARD,0,1,19.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:15.675000+00:00,0,0,standard,UTA,2026-02-09,BKN,1,1.0,0.29884023195360926,0.3062387522495501,0.024159320927195672,0.007398520295940847,False,0.0,31.85,2.632014437650372,0.718407370518499,0.19681493229242777,20,OK,0.2689562087582483,0.0,0,,0.03
9808960,Russell Westbrook,PR,14.5,OVER,GOBLIN,1,0,14.5,2026-02-09T20:10:00.000-05:00,2026-02-09T15:45:07.688000+00:00,0,0,goblin,SAC,2026-02-09,BOS,0,1.0,0.8473305338932213,0.849130173965207,0.0021193924408336607,0.001799640071985631,False,0.0,29.65,5.415487051041669,0.6824728587264165,0.140400383432888,20,OK,0.8473305338932213,0.0,0,,0.03
9809797,Ryan Rollins,PA,22.5,OVER,GOBLIN,1,0,22.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:45:06.030000+00:00,0,0,goblin,MIL,2026-02-09,,0,1.0,0.4444111177764447,0.4396120775844831,0.0,0.0,True,0.0,33.0,4.527692569068709,0.6519753183588853,0.20617826289141436,20,OK,0.4444111177764447,0.04161157927599527,1,rotowire,0.03
9800358,Gary Payton,PTS,5.5,OVER,GOBLIN,1,0,5.5,2026-02-09T22:10:00.000-05:00,2026-02-09T15:44:30.402000+00:00,0,0,goblin,GSW,2026-02-09,,0,0.6,0.5975804839032194,0.5849830033993202,0.0,0.0,False,0.0,14.25,3.433292880020579,0.47575401335850265,0.3103659376088321,20,OK,0.5975804839032194,0.0,0,,0.03
9797041,Jaden Ivey,PTS,16.5,OVER,DEMON,1,0,16.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:44:25.831000+00:00,0,0,demon,CHI,2026-02-09,,0,0.6,0.07688462307538492,0.07328534293141371,0.0,0.0,False,0.0,19.65,5.6769269856146645,0.44388134960303216,0.20673757479476726,20,OK,0.07688462307538492,0.0,0,,0.03
9804061,Terance Mann,REB,4.5,OVER,DEMON,1,0,4.5,2026-02-09T19:40:00.000-05:00,2026-02-09T15:44:20.620000+00:00,0,0,demon,BKN,2026-02-09,UTA,0,0.6,0.15166966606678664,0.14407118576284744,0.0,0.0,False,0.0,24.1,5.048762224545736,0.12760679784967177,0.04694579287087957,20,OK,0.15166966606678664,0.0,0,rotowire,0.03
