run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260313_050310,0.428571,0.389248,0.400756,0.225167,0.228257,0.0,0.264402
20260313_050550,0.381176,0.381805,0.391879,0.206529,0.206529,0.002386,0.243359
20260313_050800,0.45552,0.391269,0.399084,0.205442,0.203696,0.0,0.163181
20260313_051013,0.413687,0.383864,0.3943,0.196713,0.197691,0.0,0.219811
20260313_051252,0.407324,0.38328,0.393476,0.203201,0.203054,0.006449,0.239802
20260313_051447,0.419082,0.379596,0.382063,0.213953,0.212958,0.0,0.059911
20260313_051726,0.412601,0.39982,0.413825,0.213781,0.214652,0.007025,0.324025
20260313_051941,0.395634,0.398222,0.399154,0.206229,0.205855,0.0,0.023433
20260313_052210,0.432706,0.393747,0.40566,0.225337,0.225925,0.013826,0.273948
20260313_052440,0.441871,0.407797,0.41637,0.201391,0.200149,0.009376,0.185895
20260313_052705,0.427598,0.388429,0.396881,0.217547,0.217196,0.006081,0.188507
20260313_053033,0.427282,0.409976,0.417514,0.20713,0.205784,0.014657,0.172224
