category,mode,n_legs,slip_count,mean_hit_prob,mean_ev_mult,strict_win_rate,mean_q_leg_count
system,ev,3,130,0.282319,1.982913,0.244156,0.0
system,ev,4,130,0.268126,1.933149,0.123968,0.0
system,ev,5,130,0.246174,2.217904,0.292532,0.0
system,winprob,3,130,0.564904,3.389423,0.360606,0.0
system,winprob,4,130,0.455906,4.559064,0.29127,0.0
system,winprob,5,130,0.370524,7.410481,0.303139,0.0
top,ev,3,130,0.282319,1.982913,0.244156,0.0
top,ev,4,130,0.268126,1.933149,0.123968,0.0
top,ev,5,130,0.246174,2.217904,0.292532,0.0
top,winprob,3,130,0.564904,3.389423,0.360606,0.0
top,winprob,4,130,0.455906,4.559064,0.29127,0.0
top,winprob,5,130,0.370524,7.410481,0.303139,0.0
windfall,ev,3,130,0.170538,1.160626,0.083333,0.0
windfall,ev,4,130,0.096527,1.42549,0.025253,0.0
windfall,ev,5,130,0.076296,1.478768,0.0,0.0
windfall,winprob,3,130,0.476146,2.856877,0.463636,0.0
windfall,winprob,4,130,0.357065,3.570645,0.116883,0.0
windfall,winprob,5,130,0.294478,5.889569,0.210606,0.0
