n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.17965937691990996,6.0,1.0,6.0,1.0779562615194598,6.0,atlas,0.5643444726217751,0.06007441661741624,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0779562615194598,"['rudy gobert', 'davion mitchell', 'ryan kalkbrenner']",1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883],Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0,
3,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.17907341599422658,6.0,1.0,6.0,1.0744404959653595,6.0,atlas,0.5636938442785927,0.07012743002407562,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0744404959653595,"['lamelo ball', 'devin booker', 'davion mitchell']",1,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0,
3,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.17897518081045646,6.0,1.0,6.0,1.0738510848627387,6.0,atlas,0.5635900952424976,0.06986644080003254,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0738510848627387,"['jaime jaquez', 'miles bridges', 'ryan kalkbrenner']",1,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0,
3,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0.1782570136137113,6.0,1.0,6.0,1.0695420816822678,6.0,atlas,0.5628010362702257,0.08082068848241476,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0695420816822678,"['grant williams', 'lamelo ball', 'norman powell']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0,
3,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Collin Gillespie OVER PRA 21.5 (DEMON) [id:10649147],0.17795373260664124,6.0,1.0,6.0,1.0677223956398474,6.0,atlas,0.5625162982750528,0.07025072716876445,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Collin Gillespie OVER PRA 21.5 (DEMON) [id:10649147],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0677223956398474,"['davion mitchell', 'norman powell', 'collin gillespie']",1,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Collin Gillespie OVER PRA 21.5 (DEMON) [id:10649147],0,
3,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.1777431862208151,6.0,1.0,6.0,1.0664591173248907,6.0,atlas,0.5622954495515495,0.07164060782259114,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0664591173248907,"['miles bridges', 'jordan goodwin', 'davion mitchell']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0,
3,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.1777148979179887,6.0,1.0,6.0,1.0662893875079322,6.0,atlas,0.5622346438292793,0.07115565595432549,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0662893875079322,"['bam adebayo', 'collin gillespie', 'jordan goodwin']",1,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
3,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Grant Williams OVER PTS 6.5 (STANDARD) [id:10643908] | Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0.17766891219100403,6.0,1.0,6.0,1.0660134731460242,6.0,atlas,0.5622175750241305,0.060311713426156016,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Grant Williams OVER PTS 6.5 (STANDARD) [id:10643908] | Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0660134731460242,"['rudy gobert', 'grant williams', 'grayson allen']",1,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Grant Williams OVER PTS 6.5 (STANDARD) [id:10643908],Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0,
3,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Isaiah Hartenstein OVER REB 9.5 (DEMON) [id:10645003],0.17681344534938262,6.0,1.0,6.0,1.0608806720962958,6.0,atlas,0.5613302603542901,0.06762225840941431,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Isaiah Hartenstein OVER REB 9.5 (DEMON) [id:10645003],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0608806720962958,"['collin gillespie', 'norman powell', 'isaiah hartenstein']",1,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Isaiah Hartenstein OVER REB 9.5 (DEMON) [id:10645003],0,
3,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968] | Rudy Gobert OVER REB 13.5 (DEMON) [id:10652372],0.17643560856256435,6.0,1.0,6.0,1.058613651375386,6.0,atlas,0.5609865586430293,0.05964014279950191,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968] | Rudy Gobert OVER REB 13.5 (DEMON) [id:10652372],0.0,0.0,0.0,0.0,0.0,0,0.0,1.058613651375386,"['bam adebayo', 'kon knueppel', 'rudy gobert']",1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968],Rudy Gobert OVER REB 13.5 (DEMON) [id:10652372],0,
3,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0.1745316991570119,6.0,1.0,6.0,1.0471901949420714,6.0,atlas,0.5588705536983589,0.05459357626183989,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0471901949420714,"['bam adebayo', 'tristan silva', 'naz reid']",1,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0,
3,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.17434296677708602,6.0,1.0,6.0,1.046057800662516,6.0,atlas,0.5586594692775829,0.043767108808423806,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.0,0.0,0.0,0.0,0.0,0,0.0,1.046057800662516,"['miles bridges', 'tristan silva', 'grayson allen']",1,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0,
3,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.17395902820306688,6.0,1.0,6.0,1.0437541692184014,6.0,atlas,0.5583016229326101,0.07187885103090168,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0437541692184014,"['ayo dosunmu', 'grant williams', 'devin booker']",1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0,
3,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.1738786569311672,6.0,1.0,6.0,1.043271941587003,6.0,atlas,0.5581780644631565,0.04494326648278731,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.0,0.0,0.0,0.0,0.0,0,0.0,1.043271941587003,"['grant williams', 'tristan silva', 'grayson allen']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0,
