n_legs,legs,hit_prob,payout_mult,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_total,score_adj,players,leg_1,leg_2,leg_3
3,Reed Sheppard OVER FG3M 1.5 (GOBLIN) [id:10206820] | Amen Thompson UNDER PA 21.5 (STANDARD) [id:10198446] | De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326],0.739296123480747,6.0,4.435776740884482,6.0,atlas,0.9044982765497372,0.06297661334753195,Reed Sheppard OVER FG3M 1.5 (GOBLIN) [id:10206820] | Amen Thompson UNDER PA 21.5 (STANDARD) [id:10198446] | De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326],0.01,0.006,0.016,26.598660445306894,"['reed sheppard', 'amen thompson', ""de'anthony melton""]",Reed Sheppard OVER FG3M 1.5 (GOBLIN) [id:10206820],Amen Thompson UNDER PA 21.5 (STANDARD) [id:10198446],De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326]
3,LeBron James OVER REB 4.5 (GOBLIN) [id:10197701] | Reed Sheppard OVER PRA 21.5 (STANDARD) [id:10198788] | Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634],0.7376707216159173,6.0,4.426024329695504,6.0,atlas,0.9038378039249118,0.0629912669846112,LeBron James OVER REB 4.5 (GOBLIN) [id:10197701] | Reed Sheppard OVER PRA 21.5 (STANDARD) [id:10198788] | Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634],0.01,0.0,0.01,26.54614597817302,"['lebron james', 'reed sheppard', 'josh okogie']",LeBron James OVER REB 4.5 (GOBLIN) [id:10197701],Reed Sheppard OVER PRA 21.5 (STANDARD) [id:10198788],Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634]
3,Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | Tyler Herro OVER AST 4.5 (DEMON) [id:10198855],0.7373741457574694,6.0,4.424244874544817,6.0,atlas,0.9036977331532693,0.06380191581811763,Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | Tyler Herro OVER AST 4.5 (DEMON) [id:10198855],0.01,0.006,0.016,26.5294692472689,"['pelle larsson', 'al horford', 'tyler herro']",Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817],Al Horford OVER REB 5 (STANDARD) [id:10201000],Tyler Herro OVER AST 4.5 (DEMON) [id:10198855]
3,Reed Sheppard OVER PR 16.5 (GOBLIN) [id:10203904] | Austin Reaves UNDER REB 4 (STANDARD) [id:10201001] | Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634],0.736341718213947,6.0,4.418050309283682,6.0,atlas,0.9033140200219067,0.06316826665588532,Reed Sheppard OVER PR 16.5 (GOBLIN) [id:10203904] | Austin Reaves UNDER REB 4 (STANDARD) [id:10201001] | Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634],0.01,0.0,0.01,26.498301855702092,"['reed sheppard', 'austin reaves', 'josh okogie']",Reed Sheppard OVER PR 16.5 (GOBLIN) [id:10203904],Austin Reaves UNDER REB 4 (STANDARD) [id:10201001],Josh Okogie OVER FG3M 1.5 (DEMON) [id:10198634]
3,Josh Okogie OVER FG3M 0.5 (GOBLIN) [id:10198633] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | De'Anthony Melton OVER REB 3.5 (DEMON) [id:10192330],0.7352179569249697,6.0,4.411307741549818,6.0,atlas,0.9028929270410492,0.05445107478330275,Josh Okogie OVER FG3M 0.5 (GOBLIN) [id:10198633] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | De'Anthony Melton OVER REB 3.5 (DEMON) [id:10192330],0.01,0.006,0.016,26.451846449298912,"['josh okogie', 'al horford', ""de'anthony melton""]",Josh Okogie OVER FG3M 0.5 (GOBLIN) [id:10198633],Al Horford OVER REB 5 (STANDARD) [id:10201000],De'Anthony Melton OVER REB 3.5 (DEMON) [id:10192330]
3,Reed Sheppard OVER FG3M 2.5 (GOBLIN) [id:10198762] | Amen Thompson UNDER REB 7 (STANDARD) [id:10205168] | De'Anthony Melton OVER PRA 27.5 (DEMON) [id:10197565],0.7348880740101623,6.0,4.409328444060974,6.0,atlas,0.9029075614097325,0.06336014100925966,Reed Sheppard OVER FG3M 2.5 (GOBLIN) [id:10198762] | Amen Thompson UNDER REB 7 (STANDARD) [id:10205168] | De'Anthony Melton OVER PRA 27.5 (DEMON) [id:10197565],0.01,0.0,0.01,26.44597066436584,"['reed sheppard', 'amen thompson', ""de'anthony melton""]",Reed Sheppard OVER FG3M 2.5 (GOBLIN) [id:10198762],Amen Thompson UNDER REB 7 (STANDARD) [id:10205168],De'Anthony Melton OVER PRA 27.5 (DEMON) [id:10197565]
3,Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817] | Austin Reaves UNDER REB 4 (STANDARD) [id:10201001] | Tyler Herro OVER FG3M 2.5 (DEMON) [id:10198852],0.7335301903109142,6.0,4.401181141865485,6.0,atlas,0.9020966463603329,0.06249735122456176,Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817] | Austin Reaves UNDER REB 4 (STANDARD) [id:10201001] | Tyler Herro OVER FG3M 2.5 (DEMON) [id:10198852],0.01,0.0,0.01,26.397086851192906,"['pelle larsson', 'austin reaves', 'tyler herro']",Pelle Larsson OVER PR 10.5 (GOBLIN) [id:10206817],Austin Reaves UNDER REB 4 (STANDARD) [id:10201001],Tyler Herro OVER FG3M 2.5 (DEMON) [id:10198852]
3,Pelle Larsson OVER RA 5.5 (GOBLIN) [id:10206819] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326],0.7335675413514249,6.0,4.401405248108549,6.0,atlas,0.9021122038397302,0.06543648212073509,Pelle Larsson OVER RA 5.5 (GOBLIN) [id:10206819] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326],0.01,0.006,0.016,26.392431488651297,"['pelle larsson', 'al horford', ""de'anthony melton""]",Pelle Larsson OVER RA 5.5 (GOBLIN) [id:10206819],Al Horford OVER REB 5 (STANDARD) [id:10201000],De'Anthony Melton OVER PTS 24.5 (DEMON) [id:10192326]
3,Reed Sheppard OVER RA 4.5 (GOBLIN) [id:10206824] | Kristaps Porziņģis UNDER PTS 11.5 (STANDARD) [id:10192370] | Jaxson Hayes OVER REB 4.5 (DEMON) [id:10197680],0.7331274448362657,6.0,4.398764669017594,6.0,atlas,0.9019376092053953,0.06555832299135157,Reed Sheppard OVER RA 4.5 (GOBLIN) [id:10206824] | Kristaps Porziņģis UNDER PTS 11.5 (STANDARD) [id:10192370] | Jaxson Hayes OVER REB 4.5 (DEMON) [id:10197680],0.0,0.006,0.006,26.386588014105563,"['reed sheppard', 'kristaps porziņģis', 'jaxson hayes']",Reed Sheppard OVER RA 4.5 (GOBLIN) [id:10206824],Kristaps Porziņģis UNDER PTS 11.5 (STANDARD) [id:10192370],Jaxson Hayes OVER REB 4.5 (DEMON) [id:10197680]
3,Pelle Larsson OVER PR 11.5 (GOBLIN) [id:10202469] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | Jaxson Hayes OVER REB 6.5 (DEMON) [id:10197682],0.7325406494827199,6.0,4.39524389689632,6.0,atlas,0.9017048163596154,0.06543648212073509,Pelle Larsson OVER PR 11.5 (GOBLIN) [id:10202469] | Al Horford OVER REB 5 (STANDARD) [id:10201000] | Jaxson Hayes OVER REB 6.5 (DEMON) [id:10197682],0.0,0.006,0.006,26.365463381377918,"['pelle larsson', 'al horford', 'jaxson hayes']",Pelle Larsson OVER PR 11.5 (GOBLIN) [id:10202469],Al Horford OVER REB 5 (STANDARD) [id:10201000],Jaxson Hayes OVER REB 6.5 (DEMON) [id:10197682]
3,Al Horford OVER PTS 6.5 (GOBLIN) [id:10204037] | Pelle Larsson OVER AST 3.5 (STANDARD) [id:10198720] | Moussa Diabaté OVER AST 2.5 (DEMON) [id:10193621],0.7309296258289464,6.0,4.385577754973678,6.0,atlas,0.9011505396119471,0.06562498605602544,Al Horford OVER PTS 6.5 (GOBLIN) [id:10204037] | Pelle Larsson OVER AST 3.5 (STANDARD) [id:10198720] | Moussa Diabaté OVER AST 2.5 (DEMON) [id:10193621],0.0,0.024,0.024,26.28946652984207,"['al horford', 'pelle larsson', 'moussa diabaté']",Al Horford OVER PTS 6.5 (GOBLIN) [id:10204037],Pelle Larsson OVER AST 3.5 (STANDARD) [id:10198720],Moussa Diabaté OVER AST 2.5 (DEMON) [id:10193621]
