projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9870104,Bobby Portis,PR,16.5,OVER,STANDARD,1,0,16.5,2026-02-12T19:40:00.000-05:00,2026-02-12T18:58:45.315000+00:00,0,0,standard,MIL,2026-02-12,,0,1.0,0.7565486902619476,0.759748050389922,0.004211080405316474,0.0031993601279743933,False,0.0,26.4,6.887670143089025,0.8534208331610825,0.2177197631339877,20,OK,0.804743918464099,1,0.9,0.17879976468676528,0.7,0.9,1.0,0.999933917940125,1,rotowire,0.03
9870104,Bobby Portis,PR,16.5,UNDER,STANDARD,0,1,16.5,2026-02-12T19:40:00.000-05:00,2026-02-12T18:58:45.315000+00:00,0,0,standard,MIL,2026-02-12,,0,1.0,0.2434513097380524,0.24025194961007798,0.0,0.0,False,0.0,26.4,6.887670143089025,0.8534208331610825,0.2177197631339877,20,OK,0.1897900899268426,1,0.1,-0.16226319315447202,0.7,0.9,1.0,0.0,0,rotowire,0.03
9870756,Cody Williams,PTS,7.5,OVER,STANDARD,1,0,7.5,2026-02-12T21:10:00.000-05:00,2026-02-12T18:58:25.670000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,0.6,0.5135972805438912,0.5067986402719457,0.0,0.0,False,0.0,25.1,7.334166619323561,0.3175754725441414,0.14285095559383051,20,OK,0.5095180963807239,1,0.5,0.0,0.7,0.9,1.0,0.0,0,,0.03
9870756,Cody Williams,PTS,7.5,UNDER,STANDARD,0,1,7.5,2026-02-12T21:10:00.000-05:00,2026-02-12T18:58:25.670000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,0.6,0.4864027194561088,0.4932013597280544,0.01378471518345832,0.0067986402719456,False,0.0,25.1,7.334166619323561,0.3175754725441414,0.14285095559383051,20,OK,0.4564337132573486,1,0.5,5.551115123125783e-17,0.7,0.9,1.0,0.0,0,,0.03
9868784,Austin Reaves,PA,31.5,OVER,STANDARD,1,0,31.5,2026-02-12T22:10:00.000-05:00,2026-02-12T18:57:26.592000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.382623475304939,0.39162167566486705,0.022976767934643934,0.008998200359928044,False,0.0,32.25,7.495832175282475,0.89420127930662,0.27407685322340425,20,OK,0.32857773872039686,1,0.3,-0.1275124199900864,0.7,0.9,1.0,0.0,0,rotowire,0.03
9868784,Austin Reaves,PA,31.5,UNDER,STANDARD,0,1,31.5,2026-02-12T22:10:00.000-05:00,2026-02-12T18:57:26.592000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.617376524695061,0.608378324335133,0.0,0.0,False,0.0,32.25,7.495832175282475,0.89420127930662,0.27407685322340425,20,OK,0.6354583333711051,1,0.7,0.13787303259030959,0.7,0.9,1.0,-0.9997446787274342,1,rotowire,0.03
9880572,Caleb Martin,PA,10.5,OVER,DEMON,1,0,10.5,2026-02-12T22:10:00.000-05:00,2026-02-12T18:55:25.002000+00:00,0,0,demon,DAL,2026-02-12,,0,1.0,0.260247950409918,0.2626474705058988,0.009135896459840193,0.0023995200959808227,False,0.0,19.45,8.387341652752676,0.3740459505361062,0.23066634645858683,20,OK,0.258805350861758,1,0.3,-0.09440181687672414,0.7,0.9,1.0,0.0,0,,0.03
9879942,Myles Turner,PR,17.5,OVER,GOBLIN,1,0,17.5,2026-02-12T19:40:00.000-05:00,2026-02-12T18:54:55.035000+00:00,0,0,goblin,MIL,2026-02-12,,0,1.0,0.5775844831033793,0.5703859228154369,0.0,0.0,False,0.0,27.85,4.174625731727337,0.6762384325607955,0.20404832581249585,20,OK,0.698104277708262,1,0.8,0.20542162790842355,0.7,0.9,1.0,0.9934754643429344,1,rotowire,0.03
9869823,Kyle Kuzma,PA,14.5,OVER,STANDARD,1,0,14.5,2026-02-12T19:40:00.000-05:00,2026-02-12T18:54:18.347000+00:00,0,0,standard,MIL,2026-02-12,,0,1.0,0.4936012797440512,0.48780243951209756,0.0,0.0,False,0.0,26.85,5.588157120196245,0.5440825097795439,0.248659286417524,20,OK,0.5967322550927212,1,0.7,0.1445876561026933,0.7,0.9,1.0,0.9709934567819629,1,rotowire,0.03
9869823,Kyle Kuzma,PA,14.5,UNDER,STANDARD,0,1,14.5,2026-02-12T19:40:00.000-05:00,2026-02-12T18:54:18.347000+00:00,0,0,standard,MIL,2026-02-12,,0,1.0,0.5063987202559488,0.5121975604879024,0.011321491313683468,0.00579884023195365,False,0.0,26.85,5.588157120196245,0.5440825097795439,0.248659286417524,20,OK,0.3714540500330915,1,0.3,-0.1393959196116517,0.7,0.9,1.0,0.0,0,rotowire,0.03
