n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928],0.19475340048647055,6.0,1.0,6.0,1.1685204029188232,6.0,atlas,0.580755350290042,0.012424606802120807,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1685204029188232,"['jaylon tyson', 'cameron payne', 'jaime jaquez']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928],0,
3,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945],0.19447496775333364,6.0,1.0,6.0,1.166849806520002,6.0,atlas,0.5804590514295352,0.012424606802120807,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945],0.0,0.0,0.0,0.0,0.0,0,0.0,1.166849806520002,"['jaylon tyson', 'cameron payne', 'jaime jaquez']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832],Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945],0,
3,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.19279063885653477,6.0,1.0,6.0,1.1567438331392086,6.0,atlas,0.579121146310278,0.012021561140964058,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1567438331392086,"['ivica zubac', 'donovan mitchell', ""de'aaron fox""]",1,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939],Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0,
3,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043] | Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0.19249803707552185,6.0,1.0,6.0,1.1549882224531312,6.0,atlas,0.5791970761635593,0.019865457539887884,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043] | Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1549882224531312,"['bub carrington', 'pelle larsson', 'cameron payne']",1,Bub Carrington OVER PA 9.5 (GOBLIN) [id:10649043],Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0,
3,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991] | Donte DiVincenzo UNDER REB 4.5 (STANDARD) [id:10652148],0.19240313634843062,6.0,1.0,6.0,1.1544188180905837,6.0,atlas,0.5784797607282737,0.020260898920916856,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991] | Donte DiVincenzo UNDER REB 4.5 (STANDARD) [id:10652148],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1544188180905837,"['bub carrington', 'chet holmgren', 'donte divincenzo']",1,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481],Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],Donte DiVincenzo UNDER REB 4.5 (STANDARD) [id:10652148],0,
3,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],0.19124323808135998,6.0,1.0,6.0,1.1474594284881598,6.0,atlas,0.5773354729988368,0.021287110753976036,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1474594284881598,"['alex sarr', 'jaime jaquez', 'donovan mitchell']",1,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394],Jaime Jaquez UNDER AST 4.5 (STANDARD) [id:10643928],Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],0,
3,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0.190620021888626,6.0,1.0,6.0,1.143720131331756,6.0,atlas,0.5766766975495348,0.021287110753976036,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0.0,0.0,0.0,0.0,0.0,0,0.0,1.143720131331756,"['alex sarr', 'jaime jaquez', 'miles bridges']",1,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394],Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945],Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0,
3,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004] | OG Anunoby UNDER PTS 16.5 (STANDARD) [id:10650202],0.18994942610623922,6.0,1.0,6.0,1.1396965566374353,6.0,atlas,0.5760064302998721,0.021287110753976036,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004] | OG Anunoby UNDER PTS 16.5 (STANDARD) [id:10650202],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1396965566374353,"['alex sarr', ""de'aaron fox"", 'og anunoby']",1,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10654394],De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],OG Anunoby UNDER PTS 16.5 (STANDARD) [id:10650202],0,
3,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.18933883516052993,6.0,1.0,6.0,1.1360330109631795,6.0,atlas,0.5758085102305014,0.019791306384175488,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1360330109631795,"['tim hardaway', 'miles bridges', 'lamelo ball']",1,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890],Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0,
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | Jaime Jaquez UNDER PTS 14 (STANDARD) [id:10643937],0.18931974923288808,6.0,1.0,6.0,1.1359184953973285,6.0,atlas,0.5751092109534552,0.013194238277355268,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | Jaime Jaquez UNDER PTS 14 (STANDARD) [id:10643937],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1359184953973285,"['james harden', 'donovan mitchell', 'jaime jaquez']",1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],Jaime Jaquez UNDER PTS 14 (STANDARD) [id:10643937],0,
3,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.18923074711643423,6.0,1.0,6.0,1.1353844826986053,6.0,atlas,0.5758273258505332,0.020751787569471287,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1353844826986053,"['coby white', 'alex caruso', 'chet holmgren']",1,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963],Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0,
3,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.18909194119959122,6.0,1.0,6.0,1.1345516471975472,6.0,atlas,0.575316916140201,0.012670388693354968,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1345516471975472,"['jaylon tyson', 'aaron gordon', 'lamelo ball']",1,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825],LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0,
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382] | Russell Westbrook UNDER PTS 14.5 (STANDARD) [id:10651002],0.18798586510121185,6.0,1.0,6.0,1.127915190607271,6.0,atlas,0.5737672096972177,0.013194238277355268,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382] | Russell Westbrook UNDER PTS 14.5 (STANDARD) [id:10651002],0.0,0.0,0.0,0.0,0.0,0,0.0,1.127915190607271,"['james harden', 'lamelo ball', 'russell westbrook']",1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],Russell Westbrook UNDER PTS 14.5 (STANDARD) [id:10651002],0,
