n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.08984806640998647,10.0,1.0,10.0,0.8984806640998646,10.0,atlas,0.5490109207288176,0.032162909929747706,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8984806640998646,"['lamelo ball', 'norman powell', 'nique clifford', 'trendon watford']",1,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224],Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0,
4,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.08917710796009223,10.0,1.0,10.0,0.8917710796009224,10.0,atlas,0.5472208219537775,0.032498721624768315,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8917710796009224,"['miles bridges', 'collin gillespie', 'jared mccain', ""de'aaron fox""]",1,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027],Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.08813244422890455,10.0,1.0,10.0,0.8813244422890455,10.0,atlas,0.5456076826526557,0.03997057226391289,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8813244422890455,"['ayo dosunmu', 'coby white', 'nikola jokić', ""de'aaron fox""]",1,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198],Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0,
4,Jalen Green OVER PRA 24.5 (GOBLIN) [id:10652488] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Dennis Schröder UNDER PRA 14.5 (STANDARD) [id:10645782] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],0.08807790303982868,10.0,1.0,10.0,0.8807790303982868,10.0,atlas,0.5466171435154976,0.040271909042087474,Jalen Green OVER PRA 24.5 (GOBLIN) [id:10652488] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Dennis Schröder UNDER PRA 14.5 (STANDARD) [id:10645782] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8807790303982868,"['jalen green', 'collin gillespie', 'dennis schröder', ""kel'el ware""]",1,Jalen Green OVER PRA 24.5 (GOBLIN) [id:10652488],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Dennis Schröder UNDER PRA 14.5 (STANDARD) [id:10645782],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],0,
4,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0.08735832435457488,10.0,1.0,10.0,0.8735832435457489,10.0,atlas,0.5441811754412561,0.031205392648935,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8735832435457489,"['ryan kalkbrenner', 'jaime jaquez', 'jared mccain', 'nikola jokić']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0,
4,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Pelle Larsson OVER PRA 19.5 (STANDARD) [id:10644574] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.08700976183162328,10.0,1.0,10.0,0.8700976183162328,10.0,atlas,0.545506518462895,0.05325580089482843,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Pelle Larsson OVER PRA 19.5 (STANDARD) [id:10644574] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8700976183162328,"['devin booker', 'davion mitchell', 'pelle larsson', ""kel'el ware""]",1,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Pelle Larsson OVER PRA 19.5 (STANDARD) [id:10644574],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
4,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0.0858270378810096,10.0,1.0,10.0,0.8582703788100959,10.0,atlas,0.5417351186460837,0.03132431070175698,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8582703788100959,"['kon knueppel', 'rudy gobert', 'nikola jokić', 'karl-anthony towns']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0,
4,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0.08499033709381175,10.0,1.0,10.0,0.8499033709381175,10.0,atlas,0.5417860427596155,0.06047636022322226,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8499033709381175,"['ayo dosunmu', 'collin gillespie', 'trendon watford', 'lamelo ball']",1,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198],Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0,
4,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Rudy Gobert UNDER PA 14.5 (STANDARD) [id:10649550],0.08437471685508896,10.0,1.0,10.0,0.8437471685508896,10.0,atlas,0.5407707001542638,0.036684292274387506,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Rudy Gobert UNDER PA 14.5 (STANDARD) [id:10649550],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8437471685508896,"['jaylon tyson', 'grayson allen', 'moussa diabaté', 'rudy gobert']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Rudy Gobert UNDER PA 14.5 (STANDARD) [id:10649550],0,
4,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Norman Powell OVER PR 25 (STANDARD) [id:10644082] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],0.08382111419159627,10.0,1.0,10.0,0.8382111419159627,10.0,atlas,0.5387523037899798,0.04478804116069131,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Norman Powell OVER PR 25 (STANDARD) [id:10644082] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8382111419159627,"['tyler herro', 'kon knueppel', 'norman powell', 'jared mccain']",1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510],Norman Powell OVER PR 25 (STANDARD) [id:10644082],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],0,
