category,mode,n_legs,slip_count,mean_hit_prob,mean_ev_mult,strict_win_rate,mean_q_leg_count
system,ev,3,230,0.288903,2.010921,0.20131,0.0
system,ev,4,230,0.279685,1.984268,0.159167,0.0
system,ev,5,230,0.240458,2.213573,0.081085,0.0
system,winprob,3,230,0.535455,3.212733,0.326474,0.0
system,winprob,4,230,0.429089,4.290889,0.294841,0.0
system,winprob,5,230,0.350327,7.006532,0.31164,0.0
top,ev,3,230,0.288903,2.010921,0.20131,0.0
top,ev,4,230,0.279685,1.984268,0.159167,0.0
top,ev,5,230,0.240458,2.213573,0.081085,0.0
top,winprob,3,230,0.535455,3.212733,0.326474,0.0
top,winprob,4,230,0.429089,4.290889,0.294841,0.0
top,winprob,5,230,0.350327,7.006532,0.31164,0.0
windfall,ev,3,230,0.16319,1.139962,0.149452,0.0
windfall,ev,4,230,0.091612,1.37955,0.091062,0.0
windfall,ev,5,230,0.074566,1.459535,0.062143,0.0
windfall,winprob,3,230,0.465934,2.795601,0.361073,0.0
windfall,winprob,4,230,0.342357,3.423572,0.22381,0.0
windfall,winprob,5,230,0.28187,5.637393,0.203929,0.0
