date,n,brier_p_cal_v5cD,brier_p_adj_raw,delta_mB,status
2026-04-30,2967,0.1807367839270191,0.18603221347510224,5.295429548083125,OK
2026-05-01,3200,0.19340609922606802,0.19435728593994278,0.9511867138747576,OK
2026-05-02,2753,0.2026944278070363,0.20179119766952255,-0.9032301375137552,OK
2026-05-03,2457,0.18005450300944853,0.1848520770155485,4.79757400609998,OK
2026-05-04,2931,0.16774840991938947,0.17607353959177005,8.325129672380582,OK
2026-05-05,3026,0.16656163687059528,0.1731083948780914,6.546758007496129,OK
2026-05-06,2950,0.16804513981319796,0.17644832006843603,8.403180255238063,OK
2026-05-07,2934,0.18031466855196893,0.18324089816013756,2.926229608168629,OK
2026-05-08,2902,0.17620440891874098,0.1785690882918212,2.364679373080214,OK
2026-05-09,777,0.174833405145873,0.17996205155427392,5.128646408400911,OK
