n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.11004294803039913,10.0,1.0,10.0,1.1004294803039913,10.0,atlas,0.5796947084102306,0.032024967294447954,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1004294803039913,"['norman powell', 'bam adebayo', 'moussa diabaté', 'tristan silva']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
4,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.10822053179784466,10.0,1.0,10.0,1.0822053179784465,10.0,atlas,0.5779320950319362,0.039995860409252584,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0822053179784465,"['collin gillespie', 'coby white', 'moussa diabaté', 'tristan silva']",1,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150],Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
4,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.09585833309835877,10.0,1.0,10.0,0.9585833309835877,10.0,atlas,0.5603068445222631,0.03998748020384067,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9585833309835877,"['tyler herro', 'bam adebayo', 'tristan silva', 'julius randle']",1,Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731],Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0,
4,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.09032670678820251,10.0,1.0,10.0,0.9032670678820252,10.0,atlas,0.5525041439331304,0.05219901077103496,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9032670678820252,"['jaime jaquez', 'miles bridges', 'tyler herro', 'tristan silva']",1,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0,
4,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.08936296696398435,10.0,1.0,10.0,0.8936296696398436,10.0,atlas,0.5477396295427953,0.0238302402948124,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8936296696398436,"['ryan kalkbrenner', 'davion mitchell', ""kel'el ware"", ""royce o'neale""]",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],0,
4,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939],0.08892773047054339,10.0,1.0,10.0,0.8892773047054339,10.0,atlas,0.5505124542358029,0.059390608607538795,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8892773047054339,"['tyler herro', 'ryan kalkbrenner', 'tristan silva', 'jaime jaquez']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939],0,
4,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.08870180112618023,10.0,1.0,10.0,0.8870180112618022,10.0,atlas,0.5471321330886905,0.023692301386644334,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8870180112618022,"['ayo dosunmu', 'kon knueppel', ""de'aaron fox"", ""kel'el ware""]",1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613],De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
4,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Norman Powell OVER PR 23.5 (GOBLIN) [id:10652266] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.08425787582999442,10.0,1.0,10.0,0.8425787582999442,10.0,atlas,0.5399829079882743,0.031634466924934705,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Norman Powell OVER PR 23.5 (GOBLIN) [id:10652266] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8425787582999442,"['jordan goodwin', 'norman powell', ""kel'el ware"", 'shai gilgeous-alexander']",1,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490],Norman Powell OVER PR 23.5 (GOBLIN) [id:10652266],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0,
4,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0.08366759346682981,10.0,1.0,10.0,0.8366759346682981,10.0,atlas,0.538919011290228,0.03215160565944051,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8366759346682981,"['kon knueppel', 'davion mitchell', ""kel'el ware"", 'nikola jokić']",1,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615],Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Nikola Jokić UNDER PTS 28.5 (STANDARD) [id:10644402],0,
4,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238] | Grayson Allen OVER PR 14.5 (GOBLIN) [id:10652207] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.08188023787515407,10.0,1.0,10.0,0.8188023787515407,10.0,atlas,0.5363045385921942,0.03960987043690527,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238] | Grayson Allen OVER PR 14.5 (GOBLIN) [id:10652207] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8188023787515407,"['donte divincenzo', 'grayson allen', 'julius randle', ""kel'el ware""]",1,Donte DiVincenzo OVER PRA 19.5 (GOBLIN) [id:10649238],Grayson Allen OVER PR 14.5 (GOBLIN) [id:10652207],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0,
4,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.0805676682761652,10.0,1.0,10.0,0.8056766827616519,10.0,atlas,0.5331225832245704,0.032185393025753704,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8056766827616519,"['lamelo ball', 'tyler herro', ""royce o'neale"", ""de'aaron fox""]",1,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Tyler Herro OVER PRA 28.5 (GOBLIN) [id:10652731],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0,
