n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.1252284797397999,10.0,1.0,10.0,1.252284797397999,10.0,atlas,0.5990895639835132,0.03174887980879515,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.252284797397999,"['tyler herro', 'coby white', ""kel'el ware"", 'tristan silva']",1,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160],Coby White OVER PA 14.5 (GOBLIN) [id:10644471],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
4,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.12369393635476127,10.0,1.0,10.0,1.2369393635476127,10.0,atlas,0.5979850329208883,0.039966442013155835,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2369393635476127,"['oso ighodaro', 'davion mitchell', 'moussa diabaté', 'tristan silva']",1,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241],Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
4,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.10966436779782572,10.0,1.0,10.0,1.0966436779782571,10.0,atlas,0.5797477023445247,0.04013313774813157,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0966436779782571,"['davion mitchell', 'brandon miller', 'tristan silva', 'trendon watford']",1,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0,
4,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.10207084452871837,10.0,1.0,10.0,1.0207084452871837,10.0,atlas,0.5700202670734554,0.06027563688163444,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0207084452871837,"['davion mitchell', 'tyler herro', 'grayson allen', 'tristan silva']",1,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527],Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0,
4,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.10057848818240409,10.0,1.0,10.0,1.005784881824041,10.0,atlas,0.5680923633418022,0.060191427603991265,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.0,0.0,0.0,0.0,0.0,0,0.0,1.005784881824041,"['ryan kalkbrenner', 'grant williams', 'tristan silva', 'jaime jaquez']",1,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0,
4,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.099809370357003,10.0,1.0,10.0,0.99809370357003,10.0,atlas,0.5635298879919338,0.04024953134352368,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.0,0.0,0.0,0.0,0.0,0,0.0,0.99809370357003,"['bam adebayo', 'tyler herro', ""royce o'neale"", 'moussa diabaté']",1,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0,
4,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0.09536120018495976,10.0,1.0,10.0,0.9536120018495976,10.0,atlas,0.5570567372924246,0.031362886881187935,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9536120018495976,"['rudy gobert', 'grayson allen', ""kel'el ware"", 'trendon watford']",1,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Grayson Allen OVER PR 15.5 (GOBLIN) [id:10652989],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0,
4,Grant Williams OVER PRA 8.5 (GOBLIN) [id:10645596] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.09499511340244399,10.0,1.0,10.0,0.9499511340244399,10.0,atlas,0.5563898468160173,0.040208500022057,Grant Williams OVER PRA 8.5 (GOBLIN) [id:10645596] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9499511340244399,"['grant williams', 'norman powell', ""kel'el ware"", ""de'aaron fox""]",1,Grant Williams OVER PRA 8.5 (GOBLIN) [id:10645596],Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0,
4,Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.09291261450335896,10.0,1.0,10.0,0.9291261450335896,10.0,atlas,0.5536990096724046,0.03964801035339517,Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9291261450335896,"['grayson allen', 'grant williams', 'trendon watford', 'moussa diabaté']",1,Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988],Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0,
4,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.09153950394124513,10.0,1.0,10.0,0.9153950394124513,10.0,atlas,0.5505003875407992,0.03214997171709743,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9153950394124513,"['lamelo ball', 'davion mitchell', 'shai gilgeous-alexander', ""de'aaron fox""]",1,LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0915288954377692,10.0,1.0,10.0,0.915288954377692,10.0,atlas,0.5511608369427137,0.02332642187538761,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,0.915288954377692,"['brandon miller', 'collin gillespie', 'nikola jokić', ""kel'el ware""]",1,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0,
