n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Ryan Kalkbrenner OVER PRA 19.5 (DEMON) [id:10650511],0.17057115682204027,6.0,1.0,6.0,1.0234269409322416,6.0,atlas,0.5570447798603497,0.05583954356935957,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Ryan Kalkbrenner OVER PRA 19.5 (DEMON) [id:10650511],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0234269409322416,"['brandon miller', 'moussa diabaté', 'ryan kalkbrenner']",1,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Ryan Kalkbrenner OVER PRA 19.5 (DEMON) [id:10650511],0,
3,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.16920433465630635,6.0,1.0,6.0,1.0152260079378381,6.0,atlas,0.553769318586369,0.04245723439886471,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0152260079378381,"['ayo dosunmu', ""de'aaron fox"", 'coby white']",1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Coby White OVER PRA 24.5 (DEMON) [id:10644477],0,
3,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.16831923247116018,6.0,1.0,6.0,1.009915394826961,6.0,atlas,0.5531058043992552,0.04277868358354011,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.0,0.0,0.0,0.0,0.0,0,0.0,1.009915394826961,"['rudy gobert', 'jett howard', 'lamelo ball']",1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0,
3,Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | LaMelo Ball OVER PA 34.5 (DEMON) [id:10644525],0.1678995752310739,6.0,1.0,6.0,1.0073974513864434,6.0,atlas,0.5541989963019566,0.056133743132026515,Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | LaMelo Ball OVER PA 34.5 (DEMON) [id:10644525],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0073974513864434,"['brandon miller', ""kel'el ware"", 'lamelo ball']",1,Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],LaMelo Ball OVER PA 34.5 (DEMON) [id:10644525],0,
3,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.16594663986800173,6.0,1.0,6.0,0.9956798392080104,6.0,atlas,0.551290125139403,0.05485292683591281,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9956798392080104,"['norman powell', ""kel'el ware"", 'davion mitchell']",1,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0,
3,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.16569651030113464,6.0,1.0,6.0,0.9941790618068078,6.0,atlas,0.5500586245034055,0.053113637145111324,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9941790618068078,"['bam adebayo', ""de'aaron fox"", 'ryan kalkbrenner']",1,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.1652617969458538,6.0,1.0,6.0,0.9915707816751228,6.0,atlas,0.5500502516537087,0.03400930179919826,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9915707816751228,"['ryan kalkbrenner', 'jett howard', 'grayson allen']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Coby White OVER PTS 15.5 (DEMON) [id:10645580],0.1649392563759177,6.0,1.0,6.0,0.9896355382555062,6.0,atlas,0.5486762637850925,0.032524120871111575,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Coby White OVER PTS 15.5 (DEMON) [id:10645580],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9896355382555062,"['jaime jaquez', 'shai gilgeous-alexander', 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],Coby White OVER PTS 15.5 (DEMON) [id:10645580],0,
3,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.16478756709600756,6.0,1.0,6.0,0.9887254025760454,6.0,atlas,0.548617831347277,0.042243518570534794,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9887254025760454,"['lamelo ball', 'shai gilgeous-alexander', 'coby white']",1,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000],Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028],Coby White OVER PR 19.5 (DEMON) [id:10644475],0,
3,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.16454996598793398,6.0,1.0,6.0,0.9872997959276039,6.0,atlas,0.5485008931367045,0.0428395342674309,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9872997959276039,"['jaime jaquez', 'shai gilgeous-alexander', 'ryan kalkbrenner']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501],Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531],Ryan Kalkbrenner OVER REB 5.5 (DEMON) [id:10644134],0,
3,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.16261172853794137,6.0,1.0,6.0,0.9756703712276482,6.0,atlas,0.5471617187488633,0.0437445332654595,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9756703712276482,"['jaime jaquez', 'jett howard', 'donte divincenzo']",1,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0,
3,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.1611233307758838,6.0,1.0,6.0,0.9667399846553029,6.0,atlas,0.5447577193380895,0.04418895697434038,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9667399846553029,"['miles bridges', 'jared mccain', 'davion mitchell']",1,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.16106491267992665,6.0,1.0,6.0,0.9663894760795599,6.0,atlas,0.5445740000844045,0.03240439117622689,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9663894760795599,"['davion mitchell', 'trendon watford', 'tyler herro']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
3,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.15974010766855046,6.0,1.0,6.0,0.9584406460113027,6.0,atlas,0.5433628745671152,0.055612265978914055,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9584406460113027,"['bam adebayo', 'shai gilgeous-alexander', 'devin booker']",1,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531],Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0,
