n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.04196000790559235,20.0,1.0,20.0,0.839200158111847,20.0,atlas,0.5320188243237441,0.04328650218606904,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.0,0.0,0.0,0.0,0.0,0,0.0,0.839200158111847,"['miles bridges', 'grayson allen', 'shai gilgeous-alexander', 'moussa diabaté', 'devin booker']",1,Miles Bridges OVER PTS 14.5 (GOBLIN) [id:10644027],Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232],Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0,
5,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Norman Powell OVER PTS 22.5 (DEMON) [id:10645649],0.04121760712444768,20.0,1.0,20.0,0.8243521424889535,20.0,atlas,0.5292534591058453,0.03629861619679263,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Norman Powell OVER PTS 22.5 (DEMON) [id:10645649],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8243521424889535,"['jaden mcdaniels', 'ryan kalkbrenner', 'jared mccain', ""royce o'neale"", 'norman powell']",1,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Norman Powell OVER PTS 22.5 (DEMON) [id:10645649],0,
5,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0.040301950665352144,20.0,1.0,20.0,0.8060390133070429,20.0,atlas,0.5271757116868929,0.04931311981824722,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8060390133070429,"['grayson allen', 'bam adebayo', ""de'aaron fox"", 'shai gilgeous-alexander', 'grant williams']",1,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204],Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0,
5,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.03930996859879014,20.0,1.0,20.0,0.7861993719758029,20.0,atlas,0.5239762602130288,0.03538042810616922,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7861993719758029,"['jaime jaquez', 'davion mitchell', 'trendon watford', ""de'aaron fox"", 'grayson allen']",1,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604],Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479],Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864],Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0,
5,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0.038607817867223254,20.0,1.0,20.0,0.7721563573444651,20.0,atlas,0.5222271986362399,0.04274086726169808,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7721563573444651,"['miles bridges', 'ryan kalkbrenner', ""de'aaron fox"", 'shai gilgeous-alexander', 'grant williams']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864],Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028],Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0,
5,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.037801377661729564,20.0,1.0,20.0,0.7560275532345913,20.0,atlas,0.5197515991536547,0.04180754696348471,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7560275532345913,"['norman powell', 'kon knueppel', 'trendon watford', 'karl-anthony towns', 'ryan kalkbrenner']",1,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559],Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0,
5,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0.03779125033426206,20.0,1.0,20.0,0.7558250066852412,20.0,atlas,0.5198165335218382,0.04850572209840964,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7558250066852412,"['davion mitchell', 'miles bridges', 'julius randle', ""de'aaron fox"", 'grayson allen']",1,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767],Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987],Grayson Allen OVER PRA 24.5 (DEMON) [id:10649765],0,
5,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.036854255078797395,20.0,1.0,20.0,0.7370851015759479,20.0,atlas,0.5169938850784547,0.04265604629212528,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7370851015759479,"['bam adebayo', 'miles bridges', ""royce o'neale"", 'nikola jokić', 'davion mitchell']",1,Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0,
5,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0.036519105441298036,20.0,1.0,20.0,0.7303821088259608,20.0,atlas,0.5167868021597334,0.035960429470406834,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7303821088259608,"['jaden mcdaniels', 'kon knueppel', ""de'aaron fox"", 'cameron payne', 'jordan goodwin']",1,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866],Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0,
5,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Adem Bona UNDER AST 0.5 (STANDARD) [id:10646999] | Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0.03572233279895394,20.0,1.0,20.0,0.7144466559790787,20.0,atlas,0.5143209667714892,0.04282028795178674,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Adem Bona UNDER AST 0.5 (STANDARD) [id:10646999] | Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7144466559790787,"['bam adebayo', 'jaden mcdaniels', 'jared mccain', 'adem bona', 'brandon miller']",1,Bam Adebayo OVER RA 11.5 (GOBLIN) [id:10650525],Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Adem Bona UNDER AST 0.5 (STANDARD) [id:10646999],Brandon Miller OVER PRA 32.5 (DEMON) [id:10645573],0,
