projection_id,player_name,stat,line,league,start_time
9837263,Unknown,Pts+Rebs+Asts,49.5,,2026-02-11T19:10:00.000-05:00
9837255,Unknown,Pts+Asts,44.5,,2026-02-11T19:10:00.000-05:00
9837261,Unknown,Pts+Rebs+Asts,44.5,,2026-02-11T19:10:00.000-05:00
9837276,Unknown,Pts+Rebs+Asts,44.5,,2026-02-11T19:10:00.000-05:00
9838593,Unknown,Pts+Rebs,44.5,,2026-02-11T19:10:00.000-05:00
9837253,Unknown,Pts+Asts,39.5,,2026-02-11T19:10:00.000-05:00
9837259,Unknown,Pts+Rebs,39.5,,2026-02-11T19:10:00.000-05:00
9837262,Unknown,Pts+Rebs+Asts,39.5,,2026-02-11T19:10:00.000-05:00
9837269,Unknown,Pts+Asts,39.5,,2026-02-11T19:10:00.000-05:00
9837275,Unknown,Pts+Rebs+Asts,39.5,,2026-02-11T19:10:00.000-05:00
9833901,Unknown,Pts+Rebs+Asts,37.5,,2026-02-11T19:10:00.000-05:00
9838432,Unknown,Pts+Rebs+Asts,37.5,,2026-02-11T19:10:00.000-05:00
9838120,Unknown,Points (Combo),36.5,,2026-02-11T19:10:00.000-05:00
9838123,Unknown,Points (Combo),35.5,,2026-02-11T19:10:00.000-05:00
9839471,Unknown,Pts+Rebs+Asts,35.5,,2026-02-11T19:10:00.000-05:00
9833908,Unknown,Pts+Rebs+Asts,34.5,,2026-02-11T19:10:00.000-05:00
9834286,Unknown,Points,34.5,,2026-02-11T19:10:00.000-05:00
9837254,Unknown,Pts+Asts,34.5,,2026-02-11T19:10:00.000-05:00
9837258,Unknown,Pts+Rebs,34.5,,2026-02-11T19:10:00.000-05:00
9837260,Unknown,Pts+Rebs+Asts,34.5,,2026-02-11T19:10:00.000-05:00
9837268,Unknown,Pts+Asts,34.5,,2026-02-11T19:10:00.000-05:00
9837273,Unknown,Pts+Rebs,34.5,,2026-02-11T19:10:00.000-05:00
9837284,Unknown,Pts+Rebs,34.5,,2026-02-11T19:10:00.000-05:00
9837287,Unknown,Pts+Rebs+Asts,34.5,,2026-02-11T19:10:00.000-05:00
9838338,Unknown,Pts+Rebs,34.5,,2026-02-11T19:10:00.000-05:00
9833899,Unknown,Pts+Asts,32.5,,2026-02-11T19:10:00.000-05:00
9840713,Unknown,Pts+Rebs+Asts,32.5,,2026-02-11T19:10:00.000-05:00
9833900,Unknown,Pts+Rebs,31.5,,2026-02-11T19:10:00.000-05:00
9838121,Unknown,Points (Combo),31.5,,2026-02-11T19:10:00.000-05:00
9838433,Unknown,Pts+Rebs+Asts,31.5,,2026-02-11T19:10:00.000-05:00
9843929,Unknown,Pts+Asts,31.5,,2026-02-11T19:10:00.000-05:00
9838124,Unknown,Points (Combo),30.5,,2026-02-11T19:10:00.000-05:00
9838125,Unknown,Points (Combo),30.5,,2026-02-11T19:10:00.000-05:00
9838410,Unknown,Points,30.5,,2026-02-11T19:10:00.000-05:00
9838453,Unknown,Pts+Rebs+Asts,30.5,,2026-02-11T19:10:00.000-05:00
9838118,Unknown,Points (Combo),30,,2026-02-11T19:10:00.000-05:00
9833907,Unknown,Pts+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9834285,Unknown,Points,29.5,,2026-02-11T19:10:00.000-05:00
9834296,Unknown,Points,29.5,,2026-02-11T19:10:00.000-05:00
9837252,Unknown,Pts+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9837257,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9837272,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9837274,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9837283,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9837286,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9837295,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9837298,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9837493,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9837509,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9837522,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9838339,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9840107,Unknown,Pts+Rebs,29.5,,2026-02-11T19:10:00.000-05:00
9840341,Unknown,Pts+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9841125,Unknown,Pts+Rebs+Asts,29.5,,2026-02-11T19:10:00.000-05:00
9838126,Unknown,Points (Combo),29,,2026-02-11T19:10:00.000-05:00
9833915,Unknown,Pts+Rebs+Asts,28.5,,2026-02-11T19:10:00.000-05:00
9838587,Unknown,Pts+Rebs+Asts,28.5,,2026-02-11T19:10:00.000-05:00
9844421,Unknown,Pts+Asts,28.5,,2026-02-11T19:10:00.000-05:00
9838340,Unknown,Pts+Rebs+Asts,27.5,,2026-02-11T19:10:00.000-05:00
9833898,Unknown,Points,26.5,,2026-02-11T19:10:00.000-05:00
9834297,Unknown,Pts+Rebs,26.5,,2026-02-11T19:10:00.000-05:00
9838430,Unknown,Points,26.5,,2026-02-11T19:10:00.000-05:00
9833914,Unknown,Pts+Rebs,25.5,,2026-02-11T19:10:00.000-05:00
9838342,Unknown,Pts+Rebs+Asts,25.5,,2026-02-11T19:10:00.000-05:00
9838454,Unknown,Pts+Rebs+Asts,25.5,,2026-02-11T19:10:00.000-05:00
9838472,Unknown,Pts+Rebs+Asts,25.5,,2026-02-11T19:10:00.000-05:00
9838491,Unknown,Pts+Rebs+Asts,25.5,,2026-02-11T19:10:00.000-05:00
9839681,Unknown,Points,25.5,,2026-02-11T19:10:00.000-05:00
9834248,Unknown,Points,24.5,,2026-02-11T19:10:00.000-05:00
9834284,Unknown,Points,24.5,,2026-02-11T19:10:00.000-05:00
9834295,Unknown,Points,24.5,,2026-02-11T19:10:00.000-05:00
9834305,Unknown,Points,24.5,,2026-02-11T19:10:00.000-05:00
9834346,Unknown,Points,24.5,,2026-02-11T19:10:00.000-05:00
9837256,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837267,Unknown,Pts+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837271,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837281,Unknown,Pts+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837285,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837292,Unknown,Pts+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837294,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837297,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837494,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837505,Unknown,Pts+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837507,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837508,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837517,Unknown,Pts+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9837520,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9837523,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9838550,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9839468,Unknown,Pts+Rebs+Asts,24.5,,2026-02-11T19:10:00.000-05:00
9840110,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9843767,Unknown,Pts+Rebs,24.5,,2026-02-11T19:10:00.000-05:00
9834250,Unknown,Pts+Rebs,23.5,,2026-02-11T19:10:00.000-05:00
9834328,Unknown,Pts+Rebs+Asts,23.5,,2026-02-11T19:10:00.000-05:00
9838341,Unknown,Pts+Rebs+Asts,23.5,,2026-02-11T19:10:00.000-05:00
9838595,Unknown,Pts+Rebs+Asts,23.5,,2026-02-11T19:10:00.000-05:00
9838549,Unknown,Pts+Rebs+Asts,22.5,,2026-02-11T19:10:00.000-05:00
9838586,Unknown,Pts+Rebs+Asts,22.5,,2026-02-11T19:10:00.000-05:00
9843928,Unknown,Points,22.5,,2026-02-11T19:10:00.000-05:00
9833906,Unknown,Points,21.5,,2026-02-11T19:10:00.000-05:00
9833922,Unknown,Pts+Rebs+Asts,21.5,,2026-02-11T19:10:00.000-05:00
9838370,Unknown,Pts+Rebs+Asts,21.5,,2026-02-11T19:10:00.000-05:00
9838393,Unknown,Pts+Rebs+Asts,21.5,,2026-02-11T19:10:00.000-05:00
9839965,Unknown,Pts+Rebs+Asts,20.5,,2026-02-11T19:10:00.000-05:00
9839966,Unknown,Pts+Rebs+Asts,20.5,,2026-02-11T19:10:00.000-05:00
9840701,Unknown,Pts+Rebs+Asts,20.5,,2026-02-11T19:10:00.000-05:00
9833921,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9834247,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834273,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834277,Unknown,Pts+Rebs+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9834294,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834304,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834314,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834325,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834339,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9834345,Unknown,Points,19.5,,2026-02-11T19:10:00.000-05:00
9837270,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9837280,Unknown,Pts+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9837282,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9837291,Unknown,Pts+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9837296,Unknown,Pts+Rebs+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9837495,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9837499,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9837504,Unknown,Pts+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9837506,Unknown,Pts+Rebs,19.5,,2026-02-11T19:10:00.000-05:00
9837518,Unknown,Pts+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9837524,Unknown,Pts+Rebs+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9838368,Unknown,Pts+Rebs+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9838553,Unknown,Pts+Rebs+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9846346,Unknown,Pts+Asts,19.5,,2026-02-11T19:10:00.000-05:00
9834327,Unknown,Pts+Rebs,18.5,,2026-02-11T19:10:00.000-05:00
9838337,Unknown,Pts+Asts,18.5,,2026-02-11T19:10:00.000-05:00
9838431,Unknown,Points,18.5,,2026-02-11T19:10:00.000-05:00
9838519,Unknown,Pts+Rebs+Asts,18.5,,2026-02-11T19:10:00.000-05:00
9838596,Unknown,Pts+Rebs+Asts,18.5,,2026-02-11T19:10:00.000-05:00
