slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.2961,2.145,0.635,Ayo Dosunmu,MIN,SAS,PRA,OVER,GOBLIN,13.5,0.9051
5-leg,True,0.2961,2.145,0.635,De'Aaron Fox,SAS,MIN,PA,OVER,GOBLIN,19.5,0.7211
5-leg,True,0.2961,2.145,0.635,Terrence Shannon,MIN,SAS,PTS,OVER,STANDARD,9.0,0.9529
5-leg,True,0.2961,2.145,0.635,Devin Vassell,SAS,MIN,REB,OVER,STANDARD,4.0,0.9431
5-leg,True,0.2961,2.145,0.635,Jalen Brunson,NYK,PHI,RA,OVER,DEMON,10.5,0.6275
4-leg,True,0.448,1.897,0.8501,Dylan Harper,SAS,MIN,PTS,OVER,GOBLIN,7.5,0.97
4-leg,True,0.448,1.897,0.8501,Jaden McDaniels,MIN,SAS,PR,OVER,GOBLIN,17.5,0.7108
4-leg,True,0.448,1.897,0.8501,Julian Champagnie,SAS,MIN,PA,OVER,STANDARD,10.0,0.8412
4-leg,True,0.448,1.897,0.8501,Quentin Grimes,PHI,NYK,PTS,OVER,STANDARD,8.5,0.7507
3-leg,True,0.6985,1.931,1.3488,Jose Alvarado,NYK,PHI,AST,OVER,GOBLIN,0.5,0.9587
3-leg,True,0.6985,1.931,1.3488,VJ Edgecombe,PHI,NYK,REB,OVER,STANDARD,5.0,0.821
3-leg,True,0.6985,1.931,1.3488,Rudy Gobert,MIN,SAS,PA,OVER,STANDARD,9.5,0.7395
