n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
3,Isaiah Joe OVER FG3M 2.5 (DEMON) [id:11870799] | Javonte Green OVER PRA 8.5 (DEMON) [id:11872282] | James Harden OVER REB 5.5 (DEMON) [id:11862569],0.055191717546134236,6.0,1.2878265543446603,7.726959326067962,0.4264641566148107,6.0,pp_kernel,0.38094770138723066,0.008257878373132492,Isaiah Joe OVER FG3M 2.5 (DEMON) [id:11870799] | Javonte Green OVER PRA 8.5 (DEMON) [id:11872282] | James Harden OVER REB 5.5 (DEMON) [id:11862569],0.0,0.0,0.0004128939186566246,0.0,0.0,0.0004128939186566246,0.0,1,0.3333333333333333,0.576051262696154,"['isaiah joe', 'javonte green', 'james harden']",0.4264641566148107,1,Isaiah Joe OVER FG3M 2.5 (DEMON) [id:11870799],Javonte Green OVER PRA 8.5 (DEMON) [id:11872282],James Harden OVER REB 5.5 (DEMON) [id:11862569],,0,
4,Cason Wallace OVER RA 5.5 (DEMON) [id:11832408] | Luke Kennard OVER AST 2.5 (DEMON) [id:11834729] | Dean Wade OVER FG3M 1.5 (DEMON) [id:11862509] | Tobias Harris OVER RA 10.5 (DEMON) [id:11863814],0.030278076939481247,10.0,0.6848788147267969,6.848788147267969,0.2073681344651868,10.0,pp_kernel,0.4194472025367964,0.017459226763582,Cason Wallace OVER RA 5.5 (DEMON) [id:11832408] | Luke Kennard OVER AST 2.5 (DEMON) [id:11834729] | Dean Wade OVER FG3M 1.5 (DEMON) [id:11862509] | Tobias Harris OVER RA 10.5 (DEMON) [id:11863814],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3573681344651868,"['cason wallace', 'luke kennard', 'dean wade', 'tobias harris']",0.2073681344651868,1,Cason Wallace OVER RA 5.5 (DEMON) [id:11832408],Luke Kennard OVER AST 2.5 (DEMON) [id:11834729],Dean Wade OVER FG3M 1.5 (DEMON) [id:11862509],Tobias Harris OVER RA 10.5 (DEMON) [id:11863814],0,
